question,offer,experience,interview,difficulty,source
 Asked me for a phone screening interview.   ,No Offer,Negative Experience,,Average Interview,Shopee
,No Offer,Neutral Experience,,Average Interview,Shopee
 Do you know how Shopee makes money   ,No Offer,Neutral Experience,"It was 2 rounds, the first round was the phone call with the HR. The HR was nice and the interview ended very smoothly. The second round was the user interview, the user was very rude but he explained about the job description really nice.",Average Interview,Shopee
,Declined Offer,Positive Experience,,Average Interview,Shopee
 Can you tell me more about you?   ,No Offer,Negative Experience,"It was weird. I felt it was all starting out fine but when I mentioned that I read in some online postings that their team actually is very accommodating and assist their applicants in finding the right position --it started going south. I was told to re apply externally and that a different recruited might be assigned to me instead. I just clarified and said ""oh okey"" , out of respect to the system of the comapny. But it is my first time to experience this. I get an initial interview and asked to re apply externally. I don't know so I just followed the recruiter's instructions and re applied.",Easy Interview,Shopee
 How many supplies must you recommend?   ,No Offer,Positive Experience,,Average Interview,Shopee
,No Offer,Negative Experience,,Average Interview,Shopee
,Accepted Offer,Neutral Experience,,Easy Interview,Shopee
" Given limited resources, how will u manage a project   ",No Offer,Positive Experience,,Difficult Interview,Shopee
 Tell me about your experiences   ,No Offer,Negative Experience,,Easy Interview,Shopee
 How to market an existing product   ,No Offer,Neutral Experience,"4 rounds of 1 hour interviews with each individual member of the team. Started with HR thorough questions on background, experience, motivation, relevant internships etc. Interview structure typically first 30 mins on background, next 30 mins on case question.",Average Interview,Shopee
 Tell me about yourself   ,Accepted Offer,Positive Experience,,Average Interview,Shopee
 What do you think is a day for a project manger   ,No Offer,Positive Experience,,Easy Interview,Shopee
" After the test, I feel like it seems like two easy level leetcode problems. But with camera and mic on, I was kind of nervous in the first place. The description of the problem is long, but can be concluded into very short sentence. Finish both but only one get to run correctly, the first one cost me some time.   ",No Offer,Positive Experience,"It was actually a good experience with Shopee, though I actually do not pass the online test. I actually miss the first test but was contacted by the HR team friendly.",Average Interview,Shopee
 Why do you want to be a product manager?   ,No Offer,Positive Experience,,Easy Interview,Shopee
,Declined Offer,Positive Experience,,,Shopee
 why did i leave my previous job   ,No Offer,Neutral Experience,1st stage . Brief and short. just summary of the Resume . standard questions on why i left my previous job. and what i did in my previous jobs. the caller was kind to answer my questions on how was it like working for the company. quick 15 minute call .,Average Interview,Shopee
 How to design a dynamic array in Java   ,No Offer,Negative Experience,One technical round. The interviewer provided a false link at the beginning. The interviewer does not even know Java and he kept asking how to design a dynamic size array in Java without reallocation. This is utterly disgusting.,Easy Interview,Shopee
" basically the questions are position-related,for example a situation/e-mail from customer that need to deal with.   ",Accepted Offer,Positive Experience,,Average Interview,Shopee
 What do you know about the role?   ,No Offer,Positive Experience,,Average Interview,Shopee
 tell me about yourself and experiences   ,Accepted Offer,Positive Experience,,Average Interview,Shopee
 Why do you want to apply for the role   ,No Offer,Negative Experience,,Average Interview,Shopee
 Tell me about yourself   ,No Offer,Negative Experience,"Bad experience, got 2 stage interview, first is phone and second is video interview. After that, no reply, no update, even email the HR so many time also no reply on application status and didn't get any feedback at all. So dissapointed on Shopee Malaysia. Not professional at all.",Average Interview,Shopee
,No Offer,Positive Experience,,,Shopee
 What’s your fav prodyct and why？   ,No Offer,Neutral Experience,3 rounds of interview. The process took 2 weeks. The questions are easy in general. The recruiter is very friendly and she will explain to you how the company views the position.,Average Interview,Shopee
 Why you want to work here?   ,No Offer,Positive Experience,,Average Interview,Shopee
" Leetcode easy involving arrays, and one medium question involving recursion and data structures   ",No Offer,Negative Experience,"I interviewed with multiple teams remotely. The recruiter was very friendly. However, one of the hiring managers were extremely rude. He showed up late for the interview even when it was rescheduled. The interview felt like a one-way process where they throw the candidate into the deep end. Furthermore, the hiring manager mocked my solution when it was incorrect and said that it was a complete waste of effort, then acted as if I was wasting his time. It was very disrespectful.",Average Interview,Shopee
 What's the minimum salary you would take the offer for?   ,Accepted Offer,Neutral Experience,"The interview was a month long process. A recruiter of the specific department you applied for will reach out to you. They can only process one application at a time so you have to choose your best interest. Once you pass the screening, you'll take a skills assessment test according to your job application. Then a final interview with the head of your department.",Average Interview,Shopee
 Code test ask about merge range on a given array   ,No Offer,Positive Experience,"HR contacted me within a few of my application submission and arranged a code test. The interview process was fast and efficient. I did not recieved an offer as I did not prepared myself well. However, I will still give a try in the future",Average Interview,Shopee
 Introduce yourself   ,No Offer,Negative Experience,"The overall interview process is bad. Arranged a skype interview with the HR and the interview ended within 5 mins, just because I’m not a local. Please be specific before arranging the interview as you are wasting the candidate’s time.",Easy Interview,Shopee
,No Offer,Positive Experience,"I submitted my application online and was contacted by a recruiter. The first interview was a phone interview with the recruiter. They were pretty quick to respond. Unfortunately, I didn't make it to the next round.",Average Interview,Shopee
,No Offer,Positive Experience,"HR is very nice, only ask some base background and a quick introduction. Then HR ask why I applied this position which is not really match with my previous experience. Finally, ask some technical questions.",Average Interview,Shopee
 To convince brand partner to apply more promotions to their products.   ,No Offer,Positive Experience,"Situational questions on leadership, competence, and previous job employments. One on one via zoom meeting. Ended the interview with a case study asking how brand partners should be encouraged to apply more promotions to their products.",Average Interview,Shopee
,No Offer,Negative Experience,,Average Interview,Shopee
 Situational questions - What will you do if the engineer on the project is not performing at the level that he/she is expected to be?   ,No Offer,Neutral Experience,First round phone screen with the recruiter. Second round 1-1 interview with same level as the position applying for. Final round with manager and skip-level manager. Both second and third round on the same day.,Average Interview,Shopee
,Declined Offer,Neutral Experience,,Easy Interview,Shopee
" In your opinion, what is the strength and weakness that Shopee has? How would you recommend for improvement?   ",Accepted Offer,Positive Experience,"I applied through LinkedIn, then after around 3 days, I was invited by email for joining math test the next day. The test is a general mathematics test you learnt in school. If you pass the test, you will be invited for the HR panel interview session about 1 hour later. The interview regards with your resumé and daily activity. In less than 2 hours later, you will receive Ms. Excel test invitation if you pass the HR interview session. This is a 6 sheets tests, from beginner to advanced level, and you need to finish it within 30 mins. Then, you will accept the user interview invitation within less than a week if you pass the test. This is deeper than the previous interview, the user may ask you things about your organizational challenge, your personality and knowledge in regards to the company and role in the division, as well as commitment and recommendation. However, I did not pass the test, so I was allocated to other users and finally got the offer after 3 days from the interview.",Average Interview,Shopee
,No Offer,Negative Experience,,Difficult Interview,Shopee
 Its more about your resume   ,Accepted Offer,Positive Experience,It was brief. Just basic questions about your previous jobs. Why did you left. What made you decide to apply in their company. After the initial interview you have to wait for another email or call if you ae qualified for the next round.,Average Interview,Shopee
 How do you implement a set?   ,No Offer,Positive Experience,"Had a non-technical phone screen before moving on to technical interview a few weeks later. For technical interview, topics covered includes databases, operating systems, networking algo and data structures as well as a coding question.",Easy Interview,Shopee
 Walk me through your resume   ,No Offer,Neutral Experience,,Difficult Interview,Shopee
" basic questions about yourself like education, internship etc   ",Declined Offer,Negative Experience,"The HR is completely unprofessional, maybe she is too young I don't know but at first everything was okay then coming to user interview, she was the one who kept changing the day and time until the day we agreed for user interview, there was nothing happened, no one gives the information nor email and she just messaged me 2 hours later to move the interview to another day, how stupid was it? I Completely wasting my time and I had fully prepared for that user interview and when I was another day (because I had many things to do) she never replied my message and disappeared. Completely worst experience. the initial name of the HR is SA, based at Jakarta office, if there is a senior HR here, you have to look carefully for your employees.",Easy Interview,Shopee
,Accepted Offer,Positive Experience,,Easy Interview,Shopee
 Find out why there's a rising number of complaints in longer delivery times   ,Accepted Offer,Neutral Experience,,Average Interview,Shopee
,Accepted Offer,Positive Experience,"You have to pass an online exam before qualifying for the interview. Each interview is around 15-20 min. 1st is a phone interview with a recruiter, then 2 interviews with different hiring manager thru video call.",Easy Interview,Shopee
 Availablr for internship in office?   ,No Offer,Positive Experience,,Average Interview,Shopee
,No Offer,Positive Experience,,,Shopee
 Innovations to explore new digital business and the steps needed to achieve the outcome   ,Declined Offer,Neutral Experience,,Average Interview,Shopee
,Accepted Offer,Positive Experience,,Average Interview,Shopee
 Tell me about your latest eexperience and its workflow?   ,No Offer,Positive Experience,"The interview is done in a quite serious and last for an hour, the interviewer asked you nicely and urge you to answer in a more detailed answers. Some questions are the usual interview questions but some are analitics questions",Difficult Interview,Shopee
 What was your work experience   ,Accepted Offer,Neutral Experience,,Average Interview,Shopee
 What is your favourite product in your company?   ,No Offer,Negative Experience,HR will not ask you things that are already in your resume and asks mostly situation based questions. HR postponed the interview several times as well which was a little unprofessional in my opinion.,Difficult Interview,Shopee
,Accepted Offer,Positive Experience,"I applied through the company's website, few weeks later I got an invitation for a Math test consisted of 20 multiple choice questions that should be finished within 20 minutes. I did the test at 10 am, then at 12pm I got the invitation for HR interview. The interview took place 1 hour after the invitation was sent (1 pm), few hours later they invited me to attend a user interview for the following day. The offer came to me few hours after the user interview.",Easy Interview,Shopee
 CS fundamentals and algorithm / data structure coding   ,Accepted Offer,Positive Experience,,Average Interview,Shopee
 Its GMAT test. 20 questions in 30 minutes.   ,No Offer,Neutral Experience,,Difficult Interview,Shopee
 Network questions were pretty hard   ,No Offer,Positive Experience,Did the coding test only but before that the recruiters were very friendly and helpful in the whole process. The network and OS questions were pretty hard and you have to study a fair bit for it but the coding questions were manageable,Average Interview,Shopee
,No Offer,Positive Experience,,,Shopee
 Talk about your previous project.   ,No Offer,Neutral Experience,First-round just a few simple questions about yourself and our previous projects. The second round will be a python test on pandas. It requires you to know about functions in Pandas but not from scratch.,Difficult Interview,Shopee
 Why Shopee.   ,No Offer,Negative Experience,"Filling up of roles deemed as important to recruiter prioritised over what you initially stated for, resulting in misalignment. Interview with team was not conducted professionally. Interviewer was more keen on digging dirt on decision my job hunt despite clear, objective reasons stated. Questions were asked in relation to best practices and SOPs, as though they were seeking answers on how to do their job (they stated that there were 'relatively new').",Easy Interview,Shopee
 What do you know about Shopee?   ,Accepted Offer,Positive Experience,,Average Interview,Shopee
" Elaborate on previous experience, projects and skills   ",Declined Offer,Neutral Experience,"Fast processing, from phone screening, to technical test and hiring manager interview. Phone screening will involve background checking and availability. They prefer longer work period as an intern. Background checking will ask about your past projects, internships and skills. It will then followed by an online technical test.",,Shopee
" why shopee, why me, and the basic information   ",No Offer,Positive Experience,,,Shopee
,No Offer,Positive Experience,"The first step is an online assessment regarding reading comprehension and MS Excel. The next would be an interview with HR and, if you pass this phase, you'll move on to your first interview with a hiring manager. The last interview would be with a Senior Relationship Manager (which I have yet to take).",Average Interview,Shopee
 what are you expected from this position   ,No Offer,Neutral Experience,,Difficult Interview,Shopee
 Why do you want to be a product manager?   ,No Offer,Neutral Experience,The interview was quick (Around 15 mins). The overall experience was pleasant though the interviewer was not really friendly. This Shopee is based in Shenzhen and the interview was fully conducted in Chinese.,Difficult Interview,Shopee
,No Offer,Positive Experience,,Easy Interview,Shopee
,No Offer,Neutral Experience,,Average Interview,Shopee
" project experience, working experience, why data analyst   ",No Offer,Positive Experience,,,Shopee
 Some estimation question like how many buses are there in SG   ,Declined Offer,Negative Experience,"During the salary negotiation phase, HR will keep low-balling you. And I mean LOW-BALL. Felt very insulted by the pay offered during the negotiation phase. Already stated my expected pay at the start but knowing that they couldn’t reach it, they still continued and wasted my time. Very bad experience. If you can’t afford people then don’t continue with the interview and waste people’s time.",Easy Interview,Shopee
,No Offer,Neutral Experience,,Average Interview,Shopee
 what's the biggest challenge till date   ,No Offer,Negative Experience,,Average Interview,Shopee
 Explain the SSL handshake protocol. Different caching strategy for a mobile app. How React's virtual DOM help improve performance?   ,Accepted Offer,Positive Experience,,Average Interview,Shopee
,No Offer,Negative Experience,,Average Interview,Shopee
 What would you do if you were stuck on a problem you couldn't solve?   ,Accepted Offer,Positive Experience,,Average Interview,Shopee
" We want to determine the success of our sales campaigns, how do you prove we are doing better than our competitor? How do we get the data?   ",No Offer,Negative Experience,"1 GMAT test for 30 minutes followed by 8 SQL questions on excel format, followed by general interview by HR, and then the user (BI lead). User interview is average, the SQL test and GMAT test are hard. I didn't expect to have any company would expect you to do a GMAT test.",Difficult Interview,Shopee
 Why do you want to work in shopee?   ,Accepted Offer,Positive Experience,,Easy Interview,Shopee
 Favorite/ least favorite shopee feature   ,No Offer,Negative Experience,"I've interviewed with Shopee 3x over the past 2 years for different roles, and each of those three times have been a poor experience. Rude recruitment team, slow and disorganized, interviews felt more like an interrogation vs a conversation, told me that they are moving me to the case study round only to ghost me for 3+ weeks.",Average Interview,Shopee
 Find the shortest hop between 2 nodes in a graph   ,No Offer,Positive Experience,,Difficult Interview,Shopee
 Why do I want to work in Shopee   ,Declined Offer,Positive Experience,"The interview process took a lot of time-- around 4-5 weeks in total. Recruiter and hiring managers were not intimidating and really took the time to get to know me, as an applicant.",Easy Interview,Shopee
 how would you improve shopee’s current product?   ,Accepted Offer,Positive Experience,had a phone interview with recruiter then a video call interview with department head. most of the questions were standard interview ones. but they put a lot of stress on making sure you put in enough time for their company,Average Interview,Shopee
,No Offer,Negative Experience,,Average Interview,Shopee
 What do you expect to gain from this position?   ,No Offer,Positive Experience,Basic self introduction of the candidates and afterwards an in-depth study or work experience (past & present) background check along with the job scope that comes with it. Candidates who passes the preliminary interview will be called again for another interview with the Hiring Manager on the next day.,Average Interview,Shopee
 Mental Math Questions during the interview   ,Accepted Offer,Positive Experience,"Hr will contact you. You'll take an exam if needed. If exam is okay, you'll be interviewed by hr. If okay, need is team lead and final is the department head.",Easy Interview,Shopee
" duties in former employment, reason for being interested in the post   ",Declined Offer,Neutral Experience,,Easy Interview,Shopee
 HR: Ask some questions about the complexity   ,No Offer,Positive Experience,,Average Interview,Shopee
 Questions regarding technical support. What would you do when user has reported a problem?   ,No Offer,Positive Experience,"First stage would be a phone call from the HR to know you better and ask a few questions regarding the job and to test your logic. Next, there is a written test for you to answer their question posted either by a flowchart or in words etc. Finally, the team lead will contact you for next interview to know you better and to see if you are a good fit for the position.",Average Interview,Shopee
 Why do you choose Shopee?   ,No Offer,Positive Experience,,Average Interview,Shopee
 Why do you want to work with Shopee   ,No Offer,Neutral Experience,It took about 4- weeks. HR will not contact you immediately about the feedback. You'll wait for a week. They also did not inform us that the interview is going to be a video call which left me unprepared.,Average Interview,Shopee
,No Offer,Positive Experience,"I applied online and the next 2 weeks I got an email to take a Math Test. After a few hours, I got an email again that said passed Math Test and going to have a phone interview with HR in the next 2 days. The interview went so well",Average Interview,Shopee
" Merge two sorted lists, parse arithmetic expressions and evaluate them(includes brackets, eg: ((5*3)+15), some BST space/level questions and some Python syntax questions.   ",No Offer,Neutral Experience,"Online glider.ai assessment, screen and video recorded. Easy leetcode questions along with 6 MCQs testing on Networks, OS, DSA and Databases. Next round is a phone call with HR asking about resume and work experience, then 1.5 hour technical interview with a Senior Software Engineer. I got a leetcode hard question, along with 3-4 logical Data structures/Algo questions - one answer but need to think. Didn't make it to the next round but was told that it would be a system design interview, open ended questions.",Average Interview,Shopee
 Programming fundamentals and code trick question.   ,No Offer,Negative Experience,"There are in total 4 interviews, 1 HR interview and 3 technical review. I was rejected after the first technical interview. It was a bad experience for me. The interview couldn't speak English very well and was generally uninterested in the discussion, trying to cut short the discussion time and time again.",Average Interview,Shopee
" If Company X was your client, what would your marketing campaign be?   ",No Offer,Neutral Experience,,Average Interview,Shopee
,No Offer,Negative Experience,,Easy Interview,Shopee
 Coding + Behaviour questions.   ,Declined Offer,Negative Experience,Arrogant hiring manager claiming a senior data scientist in another well-established company that I’m working for (I have more than 5ys experiences) is equivalent to a data scientist in Shopee and a Sr. Data scientist in shopee is higher than a principal data scientist role in whatever companies. This happened in the final round of negotiations.,Easy Interview,Shopee
 Tell me more about your previous experience   ,Accepted Offer,Positive Experience,"I applied online on Kalibrr and it only took 2 days for them to finally contacted me thru email. You will have three stages of selections; 1) Online Assessment, which the test will relate to your chosen functional, 2) HR Interview, 3) User Interview",Easy Interview,Shopee
 What do you see yourself doing in 10 years   ,No Offer,Neutral Experience,"There are 4 stages in the interview, first was the HR interview then you’ll have an excel exam, if you pass both, you’ll have interviews with the supervisors. The process usually takes about 3 weeks before you get to the interview with the supervisors/trainers",Average Interview,Shopee
,Accepted Offer,Positive Experience,,Easy Interview,Shopee
