offer,experience,difficulty,interview,question,source
No Offer,Neutral Experience,Average Interview,, find isolated islands in matrix   ,Amazon
No Offer,Positive Experience,Difficult Interview,," Permutations, removing certain letters from strings, switching them, etc.   ",Amazon
Accepted Offer,Positive Experience,Easy Interview,,,Amazon
No Offer,Negative Experience,Difficult Interview,"Non-existent. Seriously, I've applied to this place close to 50 times (for a variety of positions) -yes, that I'm qualified for. Complete and utter radio silence. I even went so far as to reach out to one of their hiring/recruiting professionals. Again, absolutely no response.", I never made it past submitting an application.   ,Amazon
No Offer,Neutral Experience,Easy Interview,, There is no question. Just show up to the orientation.   ,Amazon
No Offer,Positive Experience,Average Interview,"The 1st round was a 30 min phone interview with HR. Several days after, I had a technical interview for 1 hour. Technical interview was not too difficult but I dont think I answered clearly.",,Amazon
No Offer,Positive Experience,Average Interview,,,Amazon
Declined Offer,Positive Experience,Average Interview,, Standard questions for a job like this   ,Amazon
No Offer,Neutral Experience,Difficult Interview,"Began with a process of getting to know you then jumped straight into LP related questions. Customer Obsession, Are right, a lot and Earn Trust seemed to be the biggest factor when they were interviewing for the Vendor Manager position.", Tell me about a time where you've had to resolve a conflict. What actions did you take and what consequences led to your actions.   ,Amazon
Declined Offer,Positive Experience,Average Interview,, Cannot disclose due to NDA`   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,, None other than have you committed any felonies.   ,Amazon
No Offer,Negative Experience,Average Interview,, Whats RTO and RPO?   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,, 2 forms of identification Must be originals   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,,,Amazon
No Offer,Negative Experience,Average Interview,,,Amazon
Accepted Offer,Negative Experience,Easy Interview,, Do you have any criminal charges ?   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,," Nothing, there is no interview. Submit app online and get hired.   ",Amazon
Accepted Offer,Positive Experience,Easy Interview,," ""there were not many if any quiestions asked""   ",Amazon
Accepted Offer,Positive Experience,Difficult Interview,,,Amazon
No Offer,Positive Experience,Difficult Interview,," Behavioral questions, coding questions on data structures   ",Amazon
Accepted Offer,Positive Experience,Average Interview,, How would you react to a disagreement with a fellow employee?   ,Amazon
Accepted Offer,Neutral Experience,Average Interview,"Depends on who interviews you, if you work for a big facility you have a better chance at advancing. Smaller facilities already know who they want. So if you were asked to apply you should be good. They have a GIANT page of interview questions that aline with ther 11 principles so as long as you have 5 stories that intertwine you'll be fine. The hire positions ask you more situational questions so you better be experienced within that position beforehand. Ask questions, plenty of them.",,Amazon
Accepted Offer,Positive Experience,Average Interview,," This is something I can't say. This is one of the things remain confidential. However, there are resources on the Amazon Jobs website that help you prepare for an interview.   ",Amazon
Declined Offer,Positive Experience,Average Interview,, What makes you different from other candidates?   ,Amazon
No Offer,Neutral Experience,Average Interview,two back to back 45 min interviews with all behavioral questions. your answers to previous questions determine your next question. be prepared to reference times of leadership roles and scenarios, give a time you were a leading a team and you were faced with a problem and how you solved that problem   ,Amazon
Accepted Offer,Positive Experience,Average Interview,"Simple board interview of 4 leaders. Initial interview is with a recruiter for about 35 minutes to talk about the position, company and get to know and your skills to make sure you are good fit for the role", Star method questions from past experiences   ,Amazon
No Offer,Positive Experience,Average Interview,"2 interviews back to back, the first guy i had was very straightforward and to the point, the second guy was very relatable and it was a great experience. They want you to answer every question in the STAR format and implement amazons leadership principles in the interview"," Have you ever been on a team with a group member that was not keeping up with their work/contributing to the group, and how did you handle/overcome this?   ",Amazon
Accepted Offer,Positive Experience,Difficult Interview,"First phone screening from hiring manager directly then the following Tuesday got notice for final round of interviews (6 people in a day). The whole process took a month including salary negotiation, very efficient. All interviewers are super nice and patient. Take your time and don’t be panic if you got stuck on any question, you can choose to skip the question.",,Amazon
No Offer,Negative Experience,Average Interview,,,Amazon
Accepted Offer,Positive Experience,Average Interview,"Pretty standard to what we've seen with some of the players in the same category. I went through an online assessment, followed by 1 phone (technical) interview, then a panel of 4 folks (in-person, but virtual due to covid-19). 2 tech 2 behavioral for the panel."," Can't go into detail due to non-disclosure, but let me tell you that every interview tip that you read on glass door--and all the help people have offered with sample questions, take them seriously. I prepped for the position solely based on the info I found on glassdoor, which is also why I felt it was important for me to provide feedback. :)   ",Amazon
No Offer,Negative Experience,Difficult Interview,,,Amazon
Accepted Offer,Positive Experience,Easy Interview,, It was all over the internet. no interview at all   ,Amazon
No Offer,Positive Experience,Average Interview,I was reached out by the recruiter on LinkedIn. A week later I took the phone interview and got the result on the same day. 3 weeks later I took the video onsite interview., Object oriented design about inventory   ,Amazon
Accepted Offer,Positive Experience,Average Interview,"OA with 3 rounds (had 1 syntax part, 1 part was on algorithmic questions, 1 part was on work environment and logic puzzles) then 1 phone screen. Overall process took 2 months.", Was given 1 LeetCode Medium for the phone screen   ,Amazon
Accepted Offer,Positive Experience,Average Interview,, tell us about a project   ,Amazon
No Offer,Negative Experience,Average Interview,," data structure ,star questions , string.   ",Amazon
No Offer,Neutral Experience,Difficult Interview,," You do know this isn't a job that requires you to wear high heels, right?   ",Amazon
No Offer,Negative Experience,Average Interview,"Incredibly one sided, the interview process in a perfect situation should feel comfortable for both the applicant and to the employer but this was not the case. First stage was a screening call with a recruiter where they just inquire about your past experience. The next stage/interview you would expect to be with someone who is either on the team that you will be joining or with someone who has a plethora of experience in the field/vertical you're going into but this wasn't the case. I was interviewed by someone new to advertising field and was mostly asked behavioral question and told to strictly adhere to their ""STAR"" method. Although i prepared examples to match their leadership principles using the STAR method it still felt as though i was being tested on how well i could conform my behavior and line of thinking to the ""amazon way' and not being assessed on the skills and applicable experience i bring to the table. If you're comfortable conforming for the sake of working for a large brand such as amazon then this shouldn't be a problem, but the process itself felt robotic and cold which leads me to believe that the experience i would have had if i received an offer would've been the same."," Tell me about a time when you had to complete a task outside of the responsibilities of your role? (need to strictly adhere to the STAR method or everything you say is irrelevant),   ",Amazon
Accepted Offer,Positive Experience,Difficult Interview,"Very rigorous, however I enjoyed the long process and all the individuals I got to meet throughout. Plenty of breaks, great conversations and casual environment to answering questions. Definitely followed the leadership principle structure and bar raiser interview portion.", Describe a time where you disagreed with a coworker or management but worked to resolve the issue?   ,Amazon
Accepted Offer,Positive Experience,Average Interview,, What is your biggest weakness?   ,Amazon
Declined Offer,Negative Experience,Easy Interview,,,Amazon
Accepted Offer,Positive Experience,Easy Interview,, there’s no questions   ,Amazon
No Offer,Positive Experience,Average Interview,, Describe a time when you showed leadership qualities   ,Amazon
No Offer,Positive Experience,,, what is your availability during the week   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,, What has been your biggest obstacle?   ,Amazon
Accepted Offer,Positive Experience,Average Interview,"There are 3 rounds of OA. The first one is very easy, then the second one is some coding problems, and the last one is the behavior questions. After this will be a video interview which is less than 45 mins.", What is the most difficult situation you have ever met at work?   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,, What are you research projects?   ,Amazon
Accepted Offer,Positive Experience,Average Interview,Be able to explain internet stack and how the internet works as a whole. There were a lot of personality questions and some algorithm questions. there were 3 interviews then a conversation around the offer package, What is tcp?   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,Pretty easy just show up and pass your drug test and you’re good. As Wyoming will take a test about your personality the key to passing is simply just either strongly agree or strongly disagree and you’ll be fine., Personality test and where time do you prefer to work   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,," Describe a time when I had to get something done in a limited time frame, and how did you go about accomplishing it?   ",Amazon
Accepted Offer,Positive Experience,Easy Interview,"None, just submit your info. They want you to have a college degree I think. I also think you need US work authorization but it was strange because sometimes it didn't seem like that... anyways, very easy.", Do you have a high school diploma?   ,Amazon
No Offer,Positive Experience,Easy Interview,complete a series of coding challenges and video responses. Duration: Each interview session usually lasts from 45 minutes to an hour. Lunch: We will provide lunch if your interview is scheduled during the lunch hour.,,Amazon
Accepted Offer,Positive Experience,,I didn't have to have a interview. I was offered the role shortly after Amazon Career Day. The role is seasonal and contingent upon need. It is a work-from-home position and equipment is provided.,,Amazon
Accepted Offer,Positive Experience,Difficult Interview,Phone screening followed by code screening . Coding needs thorough review and logic . Clear understanding of complexity run time. Time management. Behavioral and technical onsite. HR team is amazing and responsive gets time and interview scheduled as per convenience., Coding / complexity/ debugging/ data structure   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,, no questions were asked at all.   ,Amazon
No Offer,Positive Experience,Average Interview,"I got two technical phone calls. One was about my education, degrees, theses topics etc and the next one was about some applied quantitative problem. Given some scenarios, you have to propose some methods and techniques to solve them."," My educational background, some applied quantitative problem   ",Amazon
Declined Offer,Positive Experience,Easy Interview,"very casual virtual interview for covid. contacted about a week in advance to set up my interview. day of my interview there was a 15 min pre-brief where a recruiter talked to a group of 6 of us who were about to interview. we all introduced ourselves. first interview was scheduled to be 45 min but lasted about 30 for me. it was with an operations manager and he didn't ask many follow up questions. second interview was about the same length with a logistics manager from a delivery center who asked lots of follow up questions. both had the same type of behavioral questions (""tell me about a time when..."") that are supposed to be answer in STAR format. only asked about 4 questions each and lots of time to ask your own questions at the end. also one situational question",,Amazon
Accepted Offer,Positive Experience,Easy Interview,Very relaxed and organized. Easy to talk to. Very relational and personal. Nothing to stress about! Told a little about themselves to you and then asked a little bit about yourself. About 5 questions per interviewer. One case question. Use STAR method and know the leadership principles and incorporate them into your answers. Bring good questions to answer the recruiters.,,Amazon
Accepted Offer,Neutral Experience,Difficult Interview,, Tell me about a time you dove deep   ,Amazon
Accepted Offer,Positive Experience,Average Interview,There was a 3 round online assessment—two coding related and one was a business simulation type of interview. The final round was a video interview with behavioral and coding question., A few behavioral questions and a coding question about arrays.   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,Hiring Orientation Oral Same Day Drug Test No interviews Long Hiring Process Dress Comfortably Prepare for long lines. Arrive Early. Wear Mask. Practice 6 Feet. Easy process start asap Long hours," Easy, no interview questions. Just a easy New Hire Orientation   ",Amazon
Accepted Offer,Positive Experience,Easy Interview,," Considering there was no interview, only questions asked were about your identity and schedule.   ",Amazon
Declined Offer,Negative Experience,Average Interview,, Describe a situation where you went the extra mile for the customer.   ,Amazon
Accepted Offer,Positive Experience,Average Interview,,,Amazon
Declined Offer,Positive Experience,Average Interview,The Amazon first interview consisted a telephone conversation with one of the department managers. The employer rescheduled the call a couple of times. The conversation was specific and the content was promising but the ongoing / overall disorganized HR process made it tough to imagine maintaining day to day enthusiasm as an employee in what should be a very dynamic role., what can you tell me about your experience?   ,Amazon
Accepted Offer,Positive Experience,Average Interview,"There was a 3 step online process which involved debugging, coding challenges, and a workplace simulation spaced a few days apart. Finally, there was a phone interview I was asked behavioral and technical questions.", How to find the edit distance of a string from a base string?   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,There was no interview process for the fulfillment center. You just apply for a job on their website and follow all the steps they give you and complete a few documents and go through orientation., There were no interview questions.   ,Amazon
No Offer,Positive Experience,Difficult Interview,, Write a library to analyze the best way to route amazon trucks given warehouses and customers.   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,,,Amazon
No Offer,Neutral Experience,Average Interview,Smooth and successful. Unfortunately Amazon (just like the other top companies) was not really hiring out of a real need. They were rather shopping around to see how would their current employees fit in the in the skill set offered in the market., Write efficient Fibonacci series generating function that is linear in time and space   ,Amazon
Accepted Offer,Positive Experience,Average Interview,, Why do you want to work at Amazon?   ,Amazon
No Offer,Positive Experience,Average Interview,, How will you handle reporting multiple projects when some of them are falling behind in schedule.   ,Amazon
Accepted Offer,Positive Experience,Average Interview,," Asked, general interview/standard behavioral question. Also ask you direct questions related to things on your resume.   ",Amazon
Accepted Offer,Positive Experience,Difficult Interview,, Describe a situation where you disagreed with a co-worker. What did you do   ,Amazon
No Offer,Negative Experience,Difficult Interview,, Behavioral questions requiring a STAR response   ,Amazon
No Offer,Negative Experience,Easy Interview,,,Amazon
No Offer,Negative Experience,Average Interview,,,Amazon
Declined Offer,Positive Experience,Easy Interview,"No traditional interview, it's real easy as long as you can pass a background and drug test. Prior to the meeting you will take a simple test and then be given a chance to apply to a position if they are available."," There are no questions, it's more of a ""meeting""   ",Amazon
No Offer,Negative Experience,Average Interview,,,Amazon
Accepted Offer,Positive Experience,,, There are scenario based questions. The interviewer will ask you how you would react to a scenario .   ,Amazon
No Offer,Neutral Experience,Difficult Interview,, A typical medium level algorithm you’d find on LeetCode or Hackerrank.   ,Amazon
Accepted Offer,Positive Experience,Average Interview,, 2. Tell me about a problem you had to solve that required in-depth thought and analysis?   ,Amazon
Accepted Offer,Positive Experience,,, Name a project you were involved with?   ,Amazon
Accepted Offer,Positive Experience,,,,Amazon
Declined Offer,Neutral Experience,Easy Interview,"you go the the location, you have to wait for your turn, then go to the office, and wacth some videos about he proceess just basic information, and computer videos about the job positions. but will be easy.", they will ask you about basic information.   ,Amazon
No Offer,Negative Experience,Average Interview,"5 rounds: excel exercise + 3 behaviors + explain what you did for Excel. Too much to do in very limited time, chaotic logistics, hardly any break for 5 hours."," Why Amazon? A lot of questions on how did you handle negative situations (biggest mistake, difficult teammate, etc.)   ",Amazon
No Offer,Positive Experience,Average Interview,"When I applied, I got three online assessments one after another. First one was debugging round which had 7 debugging questions, Second one had coding challenge (2 programs). Third one was logical reasoning and virtual simulation round covering behavioral. I gave 90% plus performance in the three OAs but still got a reject. Cleared first round with all 7 questions being correct. In second round, I did one program perfectly and the second one (unfortunately could not pass all test cases) . Third round again I did very well. I expected I will at least get three rounds of interview instead of one as how it happens every year for amazon new grad process. But I ended up getting a reject. Very disappointed.",,Amazon
Accepted Offer,Positive Experience,Average Interview,2 phone interviews. 45 minutes a piece. Process fairly simple and straight forward. Focus on leaderships principles during the interview. Make every example you give related to the leadership principles and the role you’re applying for.,,Amazon
No Offer,Neutral Experience,,," Experience, typical stuff and resume.   ",Amazon
Accepted Offer,Positive Experience,,, Q: tell me about a time you worked on a team   ,Amazon
No Offer,Negative Experience,Easy Interview,," Some basic machine learning questions, a coding interview and a couple behavioural questions.   ",Amazon
No Offer,Negative Experience,Easy Interview,,,Amazon
No Offer,Negative Experience,Difficult Interview,Got to the last stage but cancelled my interview at a week before it happened. Then the recruiter ghosted me and I still don't know why it was cancelled in the first place., They didn't ask me anything.   ,Amazon
No Offer,Negative Experience,Average Interview,"I applied to Amazon internship through employee referral. The first three rounds were online one after another within a period of one to two weeks. The three parts were debugging, coding and work simulation. The next step was the final interview. The final interview has behavioral questions revolving around leadership principles and coding question (leetcode helps) . I was disappointed with the overall process mostly because the emphasis was on speed and memory rather than on thought process originality.", leetcode questions and behavioral questions based on leadership principles   ,Amazon
Declined Offer,Positive Experience,Average Interview,Started with phone interview which was 45 minutes. Easy questions on that one. Took about two weeks to get scheduled for the 2nd interview which is 2 separate 45 min interview, Share a time that you failed at a task.   ,Amazon
Accepted Offer,Positive Experience,Average Interview,The interview was fairly simple. They use the star method for both interviews. Also you have a couple case study interview questions. Both interviews were 40 minutes each. Via zoom., Name a time where you had to deal with a difficult person in a group setting?   ,Amazon
No Offer,Negative Experience,Easy Interview,Started at the school career fair and got an email to complete an assessment. After completing the assessment I moved to the next stage which was back-to-back virtual interviews and was told that I was going to receive the outcome of the process. Because I was black and very good at what I do they decided to ghost me. Well systemic racism is still real.," Tell me about yourself, name a time you failed.   ",Amazon
Accepted Offer,Positive Experience,Easy Interview,It was two one on one interviews online and there was two separate people that I had to talk to and it did not go bad and both ended earlier than planned., What is something you’ve done good   ,Amazon
Accepted Offer,Positive Experience,Average Interview,Virtual interview through Amazon's video conference app Chime. Pre-briefed by recruiter prior to two separate interviews with an Ops and area manager. The interview consisted of a scenario question and then traditional interview questions., Describe a time you used an out of the box solution to solve a problem   ,Amazon
No Offer,Positive Experience,Average Interview,"It was one of the more intense interview processes I have been involved in. That's a good thing though, they are very thorough and make sure you know what to expect for your interview. They give you tools to prepare thoroughly for the interview.", What is an example of you influencing the companies thinking at your previous experiences?   ,Amazon
Accepted Offer,Positive Experience,Average Interview,"A very detailed and very efficient process of interview. Time frames are met as promised, great interviewers, recruiters were great in outlining the process. HR staff had a little difficulty placing without n states but they ask ahead of time to be expecting a possibility of relocation.", Situational and behavioral questions typical to an interview   ,Amazon
No Offer,Positive Experience,Average Interview,"There will be a 15 minutes orientation for the recruiter to test the candidate’s audio and camera. Then there are 2’s 45 minutes interview. Very structural and professional. At the end, the interviewer will ask the candidates if they have any additional questions.", Why did you choose amazon.   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,"NO INTERVIEW WAS CONDUCTED. The hiring process was easy, quick, and the drug test was simple. I was able to get hired within 4 hours after the drug test was completed."," Standard questions online regarding US citizen status, if I do drugs, if I have a criminal background, etc.   ",Amazon
No Offer,Negative Experience,Difficult Interview,Multiple rounds of 1:1 screening plus in-depth phone interviews as well as 7 hour long in-person interviews. Also requires written responses for preview as well as studying interview questions from a list of 200+ potential questions, Time where you were challenged and how did you handle   ,Amazon
No Offer,Neutral Experience,Easy Interview,"A recruiter reached out to me on LinkedIn about the position and I asked to learn more. About a day later, I received an email to set up time for a phone interview. They asked for an initial intro/elevator speech, several STAR questions, and a ""case study"" at the end. I had looked through interviews on Glassdoor prior and seen that these are the same questions they usually ask for this position. My recruiter was straight forward and asked follow-up questions to each answer I provided. The interview process itself was fine but I rolled my eyes a little at the recruiter's follow up. They specifically ask you in the email NOT to ask for feedback which should never be the case.",,Amazon
No Offer,Positive Experience,Easy Interview,"I was asked to open the camera. In the beginning, it's self-introduction and an introduction of their group, then I was asked three behavior questions, followed by a coding question.",,Amazon
No Offer,Negative Experience,Average Interview,,,Amazon
No Offer,Positive Experience,Difficult Interview,"I initially passed the assessment and bypassed the initial Phone Interviews. I had good upfront information from the Hiring team, good process, and they provide good prep calls that you should take advantage of. An overall positive and impressive experience. They don't provide feedback about your interview.", Tell us about a time where you had to make a decision and didn't ask your manager first?   ,Amazon
No Offer,Neutral Experience,Average Interview,, NDA signed. Technical questions are extremely deep.   ,Amazon
