interview,question,offer,experience,difficulty,source
"Started with the basic phone interview, followed by a phone interview with the hiring manager. Finally, there was an onsite interview that consisted of 6 interviews each lasting about 45-50minutes. The onsite interview was all situational. The interviewers have a preset list of questions and type away rarely engaging except to ask a follow-up from the computer.",,Declined Offer,Neutral Experience,Difficult Interview,Amazon
"I had very high expectation about Amazon and was very excited interviewing with them. I had a phone interview which went very well followed by face-to-face interviews. At the on-site interview, I was interviewed by 5 different people. The first two face-to-face interviews were technical and I found the questions rather easy. It seemed to me that the next three people who interviewed me had for mission (to say it gently “F”) “mess with my mind” they insisted in knowing about times when I screwed up projects or let my team down. In the heat of the moment I sincerely couldn’t come up with any. Then they got very personal insisting in knowing personal goals I failed to reach in the past. When I could not come up with any they told me that everybody has some failure in life and kept insisting until I had to tell them something. I found the experience shocking, unprofessional, demeaning, and despicable, but I maintained my cool and kept my smile through this. I promise myself, next time an employer dares to put me through this I will just walk away.", Systems and network troubleshooting questions.   ,No Offer,Negative Experience,Easy Interview,Amazon
, What are you afraid of?   ,No Offer,Positive Experience,Difficult Interview,Amazon
," given a dictionary and a character string, try to write a function segmenting the character string into a sequence of words listed in the dictionary   ",No Offer,Neutral Experience,Difficult Interview,Amazon
"Firstly, I was asked to finish an online test. After that, I got a phone interview. Finally I went to on-site interview. They didn't ask the typical algorithm questions. Instead, they asked a lot of design questions.", Some questions related to Amazon principles   ,No Offer,Positive Experience,Average Interview,Amazon
"A couple of HR interviews over the phone to go over experience and outline of the role. A couple of technical interviews over the phone, these go over resume background and projects worked on etc Some tech questions and problems to be answered. Then we discussed alternative methods and other solutions to the problem.", Tel me more about project X you worked on.   ,Declined Offer,Positive Experience,Average Interview,Amazon
"The best way to get on at Amazon is through your local temp service that has a relationship with amazon..Integrity Staffing is the temp service i used to get my foot in the door at amazon. Once you get hired at Amazon through Integrity, apply for a conversion to full time employee immediately or ASAP to ensure you become a full time employee with full benefits if you plan on staying there long term.", Whats your availabilty ???   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
"There really isn't an interview when applying for a warehouse position. You submit your resume, go inn for a drug test, go over benefits and available shift/work hours, bring two forms of identification. If you pass the drug test, you're in.", Would you prefer to work night shift of day shift?   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
"No interview, there was an online assessment. It asked basic questions about your self, and then they emailed you to come in and take a tour of the warehouse. and from there you started as early as the next day.", Basic ethics and moral questions and work ethics   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
The interview was very simple. Meaning that their was not really an interview. Hr just asked general questions like my name and if I could lift up to 50 lbs., They asked if i could lift more than 50lb.   ,Accepted Offer,Neutral Experience,Easy Interview,Amazon
When you get called for an interview. Bring in your diploma and birth certificate. They drug test you. They tell you if you are hired the same day before you leave., Do you have a high school diploma?   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
"Short, fast, easy. There wasn't really an interview. Just answered questions online when I got there. But overall it was super easy. The test determines you getting hired. Also did a drug test and a background test. You pass them, you're hired.", Not really any questions. Only online.   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
"The interview was simple. It was kind of like a walk through about the company. They call you in, make you watch a video about Amazon. Then a background check and a drug test.", Can you lift 50-70 pounds?   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
"I applied online and got a reply the next day to schedule an appointment for the hiring event. For it's warehouse jobs, it's interview process is the assessment. That is what determines if you fit the job. The hiring event is just a drug test."," If the manager needed some help, and you're behind on your own work what do you do?   ",Accepted Offer,Neutral Experience,Easy Interview,Amazon
"application online, oreientation invite, its a group orientation no interview if you pass the drug test (swab) you get the job what i dont like is they blatantly lie about flexible schedules and they force you into one of their preset schedules",,Accepted Offer,Negative Experience,Easy Interview,Amazon
no interview instant hire from a third party.We were hired as a group and no one on one interview . maybe those were the ones that were hired for permanant stauts while other ha to work for it,,Accepted Offer,Positive Experience,Easy Interview,Amazon
"Applied online, waited like 2 months to get an email that would lead me to schedule an orientation/drug test date, waited a few more weeks, got called to go to my first day/2nd orientation, and then started the job the upcoming week.", no questions just a bunch of important stuff   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
"Applied online, received online coding challenge through hacker rank, 2 challenges to complete in 2 hours, short 15 mins telephone technical interview with recruiter and then 4 hour onsite interview with 3 people. They took care of all expenses hotel/travel/food.", I will you implement restaurant reservation system?   ,No Offer,Positive Experience,Average Interview,Amazon
"technical phone interview. The interviewer had couple of programming questions which required coding on a online website. The browser based tool was terrible because you are basically coding on a textpad from scratch. If you are used to using IDE, you will have some difficulties. Debugging the code is nightmare since you cannot put any breakpoints to test your code."," Work experiences, linked list, double linked list, binary search tree. Big O   ",No Offer,Negative Experience,Average Interview,Amazon
," Can&#039;t discuss specific questions due to NDA. I&#039;d recommend practicing answering behavior questions, and brushing up on basics (graphs, trees, OO design).   ",No Offer,Positive Experience,Average Interview,Amazon
"Basic phone interview with one of the Ops Managers at one of their other facilities. Started out with him laying out the agenda for the 30 min interview. Then went into the 3 behavioral questions focused on motivation, leadership and I think development. After that there was a man power planning math question (you need X amount of product out, how many employees do you need to complete the job?). He then went over the Case question, which you have to complete in order to get the phone interview. At the end I asked a few questions about the company and that was about it."," You have 30 people working under you with 2 working indirect. Each employee can do 150 units/hour. Each work day has two 15 min breaks and one 30 min lunch. In a 5 day work week, how many total units can you complete? Follow up: 10,000 additional units need to be completed this week. How many additional employees will you need?   ",No Offer,Neutral Experience,Average Interview,Amazon
"4 panel pod interview. Each interviewer was from a different area of the company...HR, Statistics, General Manager, and Sr Operations. The interview was fairly easy. I didn't do well on the second part of the workflow math question.", why Amazon   ,No Offer,Negative Experience,Difficult Interview,Amazon
"A friend referred me to this position. After two days, I received a phone interview invitation email. The interview is arranged two weeks after that and they changed the time and interviewer once. Finally, they asked for my portfolio.",,No Offer,Neutral Experience,Easy Interview,Amazon
Applied online and received an email from HR within two days to set up a phone interview. The phone interview was one week later. Two weeks after the phone interview I received an email from HR saying they decided to go with other candidates., Something about binary search trees   ,No Offer,Neutral Experience,Difficult Interview,Amazon
"I was contacted by a recruiter first through email. After a phone call with the recruiter, he put me in touch with Amazon's recruiting department. Through them, I set up an hour long phone interview.","I was asked about my background as well as a few technical questions. One technical question related to binary trees that had to be solved using CodePair. A quick question related to scalability. Finally, I was given a few minutes to ask the interviewer some questions. I asked about Amazon's culture and what it was like to work for them, and asked a little bit about the consumables division.  ",No Offer,Positive Experience,Average Interview,Amazon
"Was very challenging and a lot of fun, mostly CS stuff :) Several roationions with other developers writing code on the white board. Time and space complexity questions.", LRU cache implementation   ,Accepted Offer,Positive Experience,Difficult Interview,Amazon
"Recruiting Manager ""preps"" you for the call with a Hiring Manager. Hiring Manager goes through job description, responsibilities and asks you questions about your background. There will be another phone interview, then they fly you to HQ for a live interview.", Tell me about challenges you have overcome   ,Declined Offer,Positive Experience,Average Interview,Amazon
"There was no per say interview, they do a group hiring session, were people fill out an application online or at the facility. They drug test & take your pic for your ID & run background checks. If your background check & drug test comes back ok your hired. Then they send you an email for orientation.", No questions asked nor was there an interview.   ,Accepted Offer,Negative Experience,Easy Interview,Amazon
"Cannot comment on the process in accordance with the non disclosure they have you sign at the onset. Overall, everyone was very professional and courteous. Answered all of the question promptly and the recruiters were fantastic.",,Accepted Offer,Positive Experience,Difficult Interview,Amazon
, Describe a complicated troubleshooting session for us with as much detail as possible.   ,No Offer,Neutral Experience,Average Interview,Amazon
"Very positive experience. The hiring manager was very responsive and transparent, did an awesome job in preparing me on what to expect during the interview. The interviewers were kind and friendly, with a positive attitude", Competency based question   ,Declined Offer,Positive Experience,Difficult Interview,Amazon
The interview process was really fast. It was a phone interview and they only gave you about 30-45 seconds to answer a question before they moved onto the next. My whole interview lasted at most 10 minutes., When was a time you had to help a frustrated customer   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
"When you arrive , you go straight to Hr, she then brings you into the office to complete and fill out application forms, once completeed you get a quick interview and then they will set another interview once your background and drug screen results are in. Then you go back in a few days to complete process if hired on.", Was I lookong for full or temp position   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
"I had 2 phone screening interviews, both interviews were generic behaviourial questions and they dug deeper into my resume. So if they ask you a question and you answer it, they would ask you why you did this or what did you learn out of it, what better way is there to deal with it.", Explain a scenario where you made a mistake and had to rectify it.   ,No Offer,Positive Experience,Difficult Interview,Amazon
Virtual Interview through a computer software and Phone interview where the virtual interview was recorded and you had to answer few questions as they popped up. After that I had a phone interview with the manager who was easy going and just asked me simple questions about my background and why I decided to do this role., How will you host events?   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
Based mostly on behavioral question. It will ask you a lot about a leadership experience. They will give you case from previous ambassador's experiences which I thought it was cool. This is very rewarding position as you get to work with one of the fastest growing company, what kind of connection do you have within the school to make your job as brand ambassadors easier?   ,Accepted Offer,Positive Experience,Average Interview,Amazon
2 rounds of phone call. there was a panel over phone that asked several qestions and gave scenario to bring out my understanding. asked me to send them my work samples to check my skills. asked me to wrote sql queries.," past experience, career objectives, skills   ",Declined Offer,Positive Experience,Average Interview,Amazon
,,Accepted Offer,Positive Experience,Easy Interview,Amazon
There are no interviews!!! Just go to hiring event pass drug and background check and you will get the job. Once you receive the email that they moved on in your application process just consider yourself that you already have a job, No interview questions!!!!   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
"Apply online, finish application make sure to take the assessment well because thats the only thing that'll land you the job. If you vet an email for orientation then you have the job as long as you pass the drug test, background, hs diploma/ equivalent.",,Accepted Offer,Positive Experience,Easy Interview,Amazon
"Easiest interview possible, they hire everyone possible because of their extremely hire turn over rate. No need to dress up, whatsoever. They do a swab drug test on site which can detect certain drugs if you have used them in the last few days. They let you choose what shift you work make sure you pick the shift that works best for you because you can't switch for three months,"," Just basic question, if you have a way to get to work ect.   ",Accepted Offer,Positive Experience,Easy Interview,Amazon
"Applied online, and would continually get updated via email messaging. This process took a few steps, but eventually I was hired on within a couple of weeks, If you get past the 2-4 weeks point, then you probably are not going to be hired. Once hired, employment is contingent on passing a on-site drug test.", Why do you want to work at Amazon?   ,Accepted Offer,Negative Experience,Easy Interview,Amazon
"Applied online via their website. Within a week I received an email to schedule an interview. It was a group interview with about 20 people. I was required to submit proof of education (Diploma), they took a headshot for an ID badge and gave me an oral drug test. I started working within a week and underwent an entire 8-10 hours training.", No questions were asked..   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
, Do you have a HS diploma   ,Accepted Offer,Neutral Experience,Easy Interview,Amazon
, What are the resks of the Marketplace?   ,No Offer,Positive Experience,Average Interview,Amazon
"SQL Analytical questions based on a scenario ...to find Top 10 rows etc..I applied as the job profile has Business objects, Tableau etc... NO Questions from what i do. But what i didnt.", Find Top 10 best performing Airline routes based on an scenario.   ,No Offer,Negative Experience,Difficult Interview,Amazon
There was no interview. I took a assessment test after I filled out the application. If you have a high school diploma and passed the assessment test. The drug screen is when they told us we were hired providing you past the drug test. They contact you by email only., They did not ask me any questions. I took there assessment test.   ,Accepted Offer,Positive Experience,Average Interview,Amazon
"There is no reak interview, you come in, they give you your schedule and ask if you accept or not, You take your badge picture and then take your drug test. If you pass the drug test your in.", Do you accept this schedule?   ,Accepted Offer,Neutral Experience,Easy Interview,Amazon
I was contacted via LinkedIn for a different position. There was a lot of encouragement to have a phone interview even though I was not that interested and I didn't feel that I was a good fit. As expected I was not technically a good fit but that brought forward the interview for the SE position which also was not what I was looking for. The second phone interview was with two people on a really very poor speaker phone and I struggled to hear them well through the room echo and muffled mic. They focused on an area of my resume which is clearly more than five years in the past asking specific system command questions that I could only vaguely answer. All of my current experience was ignored. I had expressed that I have been in a technical lead / architect role for quite some time but the position seemed to be for a lower level grunt that would follow direction instead of a role that creates direction., Mostly Linux operating and kernel tuning questions.   ,No Offer,Negative Experience,Average Interview,Amazon
"First round conversation is with recruiter, who is quick in response and very professional. The question was focused around why you are interested in the position. The second round was phone interview with a team member from the group - questions are typical PM questions and pretty much all originated from the Amazon leadership principle. The third round was phone interview with the hiring managers. For this round the questions was very specific to the skillset called out in the JD, and it went very technical (though the job itself was claimed non-tech PM).", Typical PM interview questions   ,No Offer,Positive Experience,Difficult Interview,Amazon
"there isn't one. you apply, they email you back and tell you to show up at their center 3 weeks later. its a group presentation, you sit in a room with 25-30 other people and wait. it's a lot of waiting. They don't even tell you what job you'll be doing until you show up on your 2nd day...", they didn&amp;#039;t. They literally gave everyone a contingent offer of employment   ,Accepted Offer,Negative Experience,Easy Interview,Amazon
"I filled out an online application form that included general information, work history, and a personality assessment. I only included my most recent job. I did not include my entire job history. I received an email invite to attend an online seminar. After attending the seminar, I got an email offering the position. I completed a drug test in my current state.", Which 3 positions would you want to work?   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
"Applied and got a reply after like 2 weeks. Started with some basic questions which consisted of personal questions about visa, degree etc. Asked some basic question on cloud computing then moved to amazon web services questions.", Do you have any experience working with AWS?   ,No Offer,Positive Experience,Difficult Interview,Amazon
"Applied online. Called in for group interview / orientation / drug test. Showed up for the group interview where we reviewed our application, provided ID. Orientation consisted of the history of Amazon, job responsibilities and shift scheduling and pay.", Asked about the head of Amazon - What was his name?   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
," How would you design or create twitter now, if you had never used it? How would you determine the key features and how would you design the back end of it? How would you determine what to cut if your team was running behind, and how would you message that delay to your stakeholders?   ",Accepted Offer,Positive Experience,Average Interview,Amazon
"The interview process consisted of an entire ""Assessment Day"" from 8am until 4pm. The company is very interested in the way you interact with others as well as your problem solving skills. As you participate in the assessment day with other candidates -- you partake in a single individual problem solving exercise and then two group problem solving exercises. Each of the exercises are not so much interested in exact numbers calculate -- but more of the thought process that you took to arrive at such numbers after analyzing the data they presented to you. Overall, they are interested in your instincts and thought process.",,Accepted Offer,Positive Experience,Average Interview,Amazon
,,Declined Offer,Negative Experience,Average Interview,Amazon
," Every question was ""tell me about a time..."". the key is to bring up the right examples while not using the same ones over and over because you speak with 6 different people who all take notes.   ",Declined Offer,Neutral Experience,Difficult Interview,Amazon
"Interviews involve 3-5 people in 45 min. sessions for each interview who will ask you specific questions as it relates to Amazon's leadership principles. You should be able to provide concrete, relate-able examples that show what actions you took in addition to the results that have unfolded based on your actions. Make sure to answer the interviewer's questions.", Tell me an example where you simplified a complex problem and how you went about doing this.   ,No Offer,Neutral Experience,Difficult Interview,Amazon
"A phone interview with the hiring manager. She was very pleasant. Typical stuff in the beginning. She asked me to recount my educational and professional background, and told me about the work the group does. Then she asked me a number of specialized questions about economic modeling. I had covered those topics in graduate school, but was a bit rusty on the details. She told me that most of my answers were reasonable, but she was looking for someone with more experience in that specific area who could hit the ground running and be a thought leader for the team. Fair enough. She encouraged me to explore other opportunities in her division at Amazon that would be a closer match to my expertise."," If you were to predict daily demand for a particular product category over the course of a year, how would you go about doing it?   ",No Offer,Positive Experience,Difficult Interview,Amazon
, Tell me about a time when you disagree with your boss?   ,Accepted Offer,Positive Experience,Average Interview,Amazon
"the first round was a phone interview. Go through the resume and asked in details the experience in the resume, and asked me to briefly introduce the use of snort. After all the technical questions, he asked some behavior questions such as tell me a time that you handle pressure. great interview experience", How do handle pressure?   ,No Offer,Positive Experience,Average Interview,Amazon
"There was a recruiter hiring for SDE's and posted the same on Linkedin. I contacted her and she said she would forward my resume to the team. It was a complete waste of time because after a week this recruiter emailed me saying they have evaluated my technical exercise and decided not to pursue my application. The mind boggling thing about this is I never received a technical exercise. After failed continuous attempts to get response from this recruiter I decided I will never apply for any jobs in amazon. I know they have a lot of candidates dreaming about getting in, but I will not be one of them", Was there an interview? I am not sure. The recruiter might have answered the interview questions herself   ,No Offer,Negative Experience,,Amazon
"I applied, was selected and Interview was held on campus of a university. Was screened 1 on 1 and then asked basic questions the questions ranged from why amazon to tell me about yourself and resume, also examples of leadership etc. Followed by a basic math test. After the math test, I was told that I was recommended for the next round. The overall process was very easy. You could get the math problem wrong but you need to be able to explain the process and be able to think on your toes.", Basic questions. Why amazon etc. Also math test.   ,Declined Offer,Positive Experience,Average Interview,Amazon
"I applied online and was contact via a Military Recruiter for the Area Manager position. A human resources representative emailed me and scheduled a phone interview for later during the week. I called into the conference call and waited, for the entire 30 minutes of length the HR rep said my interview should last. No one on Amazon's side joined and therefore I hung up and emailed the HR rep. She apologized and rescheduled the interview, and after a few hours I completed the phone interview. It was simple, in the STAR format and asked for specific situation and result based questions. The Operations Manager I spoke with was humorous, asked me about myself, my experience and then we went into the interview. This was simple, I was myself and thought it went very well. They ask a general algebra question which initially I answered incorrectly and while explaining my answer realized I had computer it wrong, brought it up and worked through it again with no issues. They want to hear your process of how you get to the answer. I was never contacted back personally by the rep. I had to email to make any contact or get updates on the status of my interview process. I found this odd, but then again was always told I was the manger of my own career, so I continued to pursue and often felt like I was constantly bugging the HR rep for information. However, I was still interested in the position. After emailing her, she responded that I was invited back for an event interview. After two weeks I emailed her asking the status of the second interview, which would be event style, and she stated that there were currently no open positions and that I would, if I was willing, be put into a que with many others waiting for a position to come available. I stayed in touch with her an emailed every two weeks. The last I heard is they were working on scheduling an event interview at a facility by the end of the month (this was on the 7th) and it's a month later and still nothing. Needless to say, I've given up on the position and looked elsewhere. I am disappointed because I admired Amazon, their slogan, work ethic, and people I've met who work there. However, after this experience I can honestly say they're letting good talent slip through the cracks by a lack of attention to detail in their HR department.",,No Offer,Negative Experience,Average Interview,Amazon
"Phone screen with a recruiter after applied online for 3 weeks. I had a great time talking to the recruiter. A week later, I had two back-to-back interviews with a senior designer and a product manager. They both were looking for some types of skills in mind. I wish they could just made it clear in the job description so I knew what topics to emphasize on.",,No Offer,Positive Experience,Average Interview,Amazon
"Normal behavioral-type interviews with mini cases tacked onto the end. They asked about times when I succeeded and when I failed. They were also interested in when I leveraged customer insights/data to drive an improvement. ONe thing to note - when asked about what makes the work itself fun (not things like food and games) they answered, ""we hire young people and we have happy hours."" NOT the thing to say to a middle aged person who doesn't drink. I also learned that they push people to the point of failure, and everyone competes with everyone for precious resources to launch their idea - managers included. No thank you to this toxic environment.", Nearly every question they asked can be found in these posts. Think about how you would solve a problem that doesn&amp;amp;#039;t have an easy solution.   ,Declined Offer,Neutral Experience,Average Interview,Amazon
, operating systems questions were difficult   ,No Offer,Positive Experience,Average Interview,Amazon
There was a telephonic interview to start with followed by onsite interview foe 4 rounds. 2 rounds were technical and 2 were behavioral. Debugging skills were put into test in maximum rounds,,Accepted Offer,Positive Experience,Average Interview,Amazon
"3 rounds of interviews. Amazon interviews are not typical job interview questions that will be used. There isn't really a way to ""prepare"" as the questions and situations used are often very ""out of the box."" Just answer honestly and try not to think to hard about the question.", Q: Tell us about a time that you went against your management's recommendations and why? What was the outcome?   ,Accepted Offer,Neutral Experience,Difficult Interview,Amazon
"After applying, I first had a phone interview with one of the recruiters. A couple of weeks later, I was told I would be coming in for the second round of interviews. The second round took about 5 hours, and each time I met with someone different- the hiring manager, senior engineers, etc. It was not very stressful, and fairly casual (they asked me not to wear a suit, for example).", I was asked to whiteboard a complex solution to a customer problem.   ,Accepted Offer,Positive Experience,Average Interview,Amazon
"I applied online,got a phone interview call after one month. process took two weeks after got a phone interview call . I had 1 phone Interview. after one week of phone I got the response saying ""after consideration we have decided not to..............""",,No Offer,Neutral Experience,Average Interview,Amazon
"Phone interview questions are not really helpful (but very standard) for them to find the right talent. But this definitely varies from team to team, because Amazon is a big company and every team carries the culture differently.", What is the most innovative thing that you have created?   ,Accepted Offer,Negative Experience,Easy Interview,Amazon
, Expect a thorough examination of how you feel about the leadership principles.   ,Declined Offer,Negative Experience,Difficult Interview,Amazon
"Interview process was 3 hours long, starting with a tour of the facility and then 3 consecutive, one on one, 45 minute long interviews. After touring the facility for an hour the first interview went well and then I was exhausted. It all went down hill from there.", Describe a situation that didn't turn out the way you wanted.   ,No Offer,Negative Experience,Difficult Interview,Amazon
The hr people are nice and efficient. It is a very small group of Amazon made up by a group of SDEs who think themselves know Statistics. Their knowledge on Statistics come purely from experience so it is very difficult to explain to them using the terms I learned in college. They think it is me that do not understand Statistics but it is actually them. They obvious only want computer science people because they themselves are. But what they really need is real Statisticians who have a formal education from college on Statistics., They asked a lot of details and they do have a certain answer that they want to hear.   ,No Offer,Negative Experience,Difficult Interview,Amazon
"First a phone screen. It's simple. Read about the culture of the company first. Panel interviews were awkward. In a room with several other candidates interviewing at the same time. Again. All personal experiences need to relate to company culture outlined on website. HR, Finance and Operations all took stabs at you. Some showed absolutely no interest while others were happy to meet you. One work flow problem that was broken down by finance. Most important to have a logical way of thinking about it rather than getting the answer. It's ALL ABOUT THE CUSTOMER", Tell me a way that you showed innovation to make a process simpler.   ,Accepted Offer,Neutral Experience,Difficult Interview,Amazon
"It was pretty quick. Within a week of submitting an application, I received an email with HR where we set-up an initial interview. From there I had a phone interview with a manger in the retail department, pretty basic interview questions. After that, I didn't hear back for a couple of weeks and ended up accepting an offer for a different company. After I accepted my offer HR called me back saying they were interested and wanted to fly me out to Seattle that week and let me know the next day whether I received the position, I did not move forward at that time due to my other offer.", Why do you want to work at Amazon?   ,No Offer,Positive Experience,Average Interview,Amazon
Had an interview through HireVue which comprised of 9 questions. The interview questions were very data oriented. Asked a lot about which tools you will use to run data reports, How would you measure the success of your sales promotion?   ,No Offer,Neutral Experience,Difficult Interview,Amazon
I had two phone screenings with a recruiter. Then I had two phone screenings with two different hiring managers. Then I was asked to fly to the corporate office for an interview. The interview was about 5 hours long. There were back to back interviews with 7-10 people. The interviewers were pretty respectful and nice. It actually felt like it went by quicker than it was. I did not receive an offer., I am not able to comment on the questions that were asked.   ,No Offer,Neutral Experience,Difficult Interview,Amazon
"Filled out the app and received an invitation for me to continue the hiring process 3 days later. When I got to the recruitment office, they requested to see my ID and proof of education (GED/HS diploma). They then told me that the assessment that they give with the application proves that I was and gave me a contingent offer (given that my background cleared and I passed the drug test). I just received an email letting me know that they are currently arranging orientation and I should start soon.", You're behind on a few tasks and your manager requests that you stop what you are and assist with an urgent customer service issue. What do you do?   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
"Phone screen followed by in house interviews. I met a number of people at different levels from senior developers through to two directors. After that they offered me a job a long way below my experience and that which I applied for and did so in quite an insulting manner - along the lines of we're Amazon and you should be grateful. Needless to say I turned them down. To anyone else considering taking the time out of work to talk to them, I suggest getting them to put a detailed job description in writing to you before you waste your time.", Various things about how I approach technical and people problems.   ,Declined Offer,Negative Experience,Average Interview,Amazon
,,Declined Offer,Neutral Experience,Average Interview,Amazon
"Applied via amazon job website. Contacted me after a week or so by an email to setup a phone screen interview, which I gave them 4 available date/time slots. And one of team members called me for a 60 minute long interview.",,No Offer,Positive Experience,Average Interview,Amazon
Recruiter first then peer reviewer. Peer review was with someone who had no previous product mgmt background before Amazon. Was condescending towards me even though I had much more experience., Tell me about your product mgmt   ,No Offer,Negative Experience,,Amazon
,,No Offer,Negative Experience,Average Interview,Amazon
The interview process involved multiple Panel interviews with various current Amazon managers. The duration of the Hiring event was approximately 2-3 hrs in length. Come prepared to answer various behavioral questions around the Amazon leadership principles and tenets., Behavioral questions utilizing the STAR methodology   ,Accepted Offer,Negative Experience,Difficult Interview,Amazon
"You apply online and fill out the online questionnaire, an email is sent out and you are given a date for the drug test and background screening, later on you will go to orientation, and a week after that work begins. In all takes about a month from start to finish.", The interview questions are online and they asked if I feel lucky. A good answer is yes.   ,Accepted Offer,Positive Experience,Average Interview,Amazon
"You initially apply by putting your resume in. If you get selected by a recruiter, they have you take a technical test. Where you answer questions about the job. The next step is a culture interview with local HR and the manager.", The leadership principles that Amazon works off of   ,Accepted Offer,Neutral Experience,Average Interview,Amazon
, Tell me about a time where you did something for the customer that may not have been in the best interests of the company.   ,Declined Offer,Positive Experience,Difficult Interview,Amazon
Phone screen and on site interviews with various leaders. Phone screen was focused on resume and very specific questions about my personal experience in various areas on and a number of projects. In person interviews are more intense. Questions and conversation centers around the company values. Some of the interviewers can be very aggressive and seem to want to throw you off., Tell me about a time you had to make a difficult decision.   ,No Offer,Neutral Experience,Difficult Interview,Amazon
The interview process was like everyone else has said. Lots of behavioral questions with 1 technical question at the end. One of the questions they asked was describe a situation where there was risk involved and what did you do to circumvent the risk?, Describe a situation where there was risk involved and what did you do to circumvent the risk?   ,No Offer,Positive Experience,Average Interview,Amazon
