question,offer,experience,difficulty,interview,source
 How would you value a private tech company?   ,Accepted Offer,Positive Experience,Average Interview,Was selected for an accelerated superday event. Three 30 minute interviews with two bankers in each interview. Asked a bunch of questions regarding valuation. After the superday I got a phone call a few hours later.,wellsfargo
 Describe a time where you had to deal with an upset customer? How did you handle it.   ,No Offer,Positive Experience,Easy Interview,Interview process was very easy. It was a phone interview due to circumstances of COVID. Start off by introducing one another . Provide information on position applied for then interview begins.,wellsfargo
,No Offer,Negative Experience,Average Interview,,wellsfargo
" You have an auto loan, a home loan, and a credit card loan. Rank these in order of their interest rates, from highest to lowest.   ",No Offer,Negative Experience,Difficult Interview,I applied through Handshake and heard back within a couple days. I had a first-round interview over zoom with two people. Two weeks later I received an email saying that I did not get the job.,wellsfargo
 A time I worked on a difficult project   ,Accepted Offer,Positive Experience,Easy Interview,,wellsfargo
" ""Tell me about a time you faced difficulty in your life and how did you overcome it""   ",No Offer,Positive Experience,Average Interview,,wellsfargo
" Tell me about a time you had to shift priorities? * Basically when you have a lot of things going on, how do you ensure work is completed. What are your steps.   ",Accepted Offer,Positive Experience,Average Interview,,wellsfargo
" Tell us about a time when you went above and beyond for a customer and exceded their expectations.""   ",Accepted Offer,Positive Experience,Average Interview,Three total Interviews. First interview is over the phone with n HR rep. Second interview was a group interview with some higher-ups. Third interview is with the manager of the branch you will be considered for hiring.,wellsfargo
 What is the linear regression?   ,No Offer,Positive Experience,Average Interview,,wellsfargo
 Tell me about a time in your career where you have had to handle an time-sensitive emergency.   ,No Offer,Negative Experience,Difficult Interview,"I understand this is a large organization and that the interview experience will be different depending on the role and business unit. The position I interviewed for was a more specialized senior level back office role in a somewhat specialized business unit. The process started with a simple phone screen where I did most of the talking. This was followed by two video conferences (during the pandemic) which turned out to be the most ridiculous interviews I have experienced in my career, prompting me to write this harsh review. First, instead of coordinating a convenient day and time for the second-round interview, the business unit leader emailed me directly with both the day and time this person wanted to speak, and asked me only to confirm I would be available. The lack of courtesy and regard for my time was concerning, but I went along with it and adjusted my calendar accordingly to accommodate the request. The business unit leader and someone from this person’s team spoke to me in the first conference which lasted 90 minutes. There was a strict “script” that had to be followed and I was asked boilerplate questions throughout; however, the business unit leader kept interrupting me, kept “going off script” and made bizarre statements throughout. This person kept reiterating that the company is “highly regulated” and therefore the script must be followed for audit and other purposes, yet this person kept going “of script”. This person also harped on the company’s and the team’s diversity which, as a person of color, I found disingenuous. Regardless, I felt I may not be the right candidate for the role given my understanding of this person’s needs – so you can imagine my surprise when I received a second request from the same business unit leader to speak again for a third round interview on a date and time already selected for me. I again adjusted my calendar to accommodate the request, and again, it was more of the same. In fact, this same person cut me off repeatedly and even got loud with me at times while the other participant remained respectful. By the end of this conference, after 3 hours of interviewing with this person, it was clear I wanted nothing to with this role or working with that individual. I never followed up and did receive a boilerplate rejection email several weeks later. The fact this company allows certain managers to go unchecked and conduct interviews in this unprofessional manner was disturbing, and I will certainly take this into account should I ever decide to apply for a position at this organization in the future.",wellsfargo
 Discuss a time you dealt with an unhappy customer and turned their mood into a positive.   ,Accepted Offer,Neutral Experience,Average Interview,,wellsfargo
" All Behavioral, nothing out of the ordinary   ",Accepted Offer,Positive Experience,Average Interview,Applied in November. Interviewed over the phone in March and April and was offered the day after my second interview. Also had to complete a short answer question in December.,wellsfargo
 How well can you manage tasks ?   ,Accepted Offer,Positive Experience,Average Interview,,wellsfargo
,No Offer,Neutral Experience,Easy Interview,,wellsfargo
 What qualifies you for this position?   ,No Offer,Neutral Experience,,,wellsfargo
 What financial experience do you have?   ,Accepted Offer,Positive Experience,Easy Interview,"I applied online, got an email the same day to schedule an interview. Had the phone interview the next day. It was super easygoing, just your basic questions about your experience, why Wells Fargo, etc. Got an offer two days later.",wellsfargo
,Accepted Offer,Positive Experience,Average Interview,,wellsfargo
" One/two brainteasers, some technical, mainly qualitative, personal/resume related questions.   ",Accepted Offer,Positive Experience,Average Interview,,wellsfargo
 Describe a time you ran into a problem and how did you fix it   ,Accepted Offer,Positive Experience,,Good and very nice people interviewing me. I really felt a connection between myself and the two interviewers. Very good people from a very good company with good intentions for their employees,wellsfargo
" Leadership style, experience in banking   ",No Offer,Neutral Experience,Average Interview,,wellsfargo
 A long term project experience.   ,Accepted Offer,Positive Experience,Average Interview,"Apply online, then get a e-mail from a current quantitative analyst in the company for phone interview arrangement. Standard data science phone interview covered both behavioural problems and technical problems.",wellsfargo
" They were behavioral questions. e.g. ""Tell me a time when...""   ",No Offer,Neutral Experience,,,wellsfargo
 Speak more about your resume   ,No Offer,Neutral Experience,Average Interview,"Applied in June, had 1st round phone interview in July, behavioral questions, and brain teaser. The second round is a video interview in August offers extended the next day. The people were nice.",wellsfargo
" ""How has technical product X changed over the years?""   ",No Offer,Negative Experience,Average Interview,The first interview was a basic phone screen. The second interview was behavioral/technical with the hiring manager. The hiring manager was late and seemed to have already made up their mind that they weren't interested.,wellsfargo
 What makes you want to go into finance?   ,Accepted Offer,Positive Experience,Average Interview,,wellsfargo
 Walk me through a DCF   ,No Offer,Positive Experience,Difficult Interview,Interviewers were very nice for the first round and super-day interviews. The first round interview was a 30 minute phone call that was a mixture of behavioral and technicals. The super day was 2 thirty minute interviews with a 2-1 set up. also mixture of behavioral and technicals with a mixture of situational behavioral questions.,wellsfargo
" 1) what besides credit should we know before giving out a loan, 2) what are the 3 pro forma statements   ",Declined Offer,Positive Experience,Easy Interview,"It was the first round interview and it was very casual. Just behavioral questions and 2 questions on banking. I didn't accept, because they told me after the first round Houston was not going to be an option.",wellsfargo
,Accepted Offer,Positive Experience,Average Interview,"Started with an online application, after about3 weeks I got a phone interview and now am waiting for in-person interviews. Overall was very pleasant and easy so long as you prepare for it.",wellsfargo
 Simple questions like what are the 3 financial statements and how would you decide whether or not to loan to a pizza business. Also some fit questions like why corporate banking?   ,No Offer,Neutral Experience,Average Interview,I had a 30 min. phone screen with 2 people and then a super day which was just 2 30 min. interviews with 2 managers in each. FIT and technical questions in both rounds.,wellsfargo
,No Offer,Neutral Experience,Easy Interview,"Submitted an application through their website and received an interview request two weeks later. I was grouped with Grace Hopper attendees where we joined breakout rooms. Two interviewers at once, mostly behavioral.",wellsfargo
 What are some of your strengths   ,No Offer,Negative Experience,Average Interview,,wellsfargo
 Why do you want this position?   ,Declined Offer,Neutral Experience,Easy Interview,Relatively quick process with multiple interviews. Interviews were with staffing firm not actual company. Pretty straightforward questions and they really care that you are a good fit for the position. Process took about a week.,wellsfargo
,No Offer,Positive Experience,,Received an email for an in-person interview. Went in and Interviewed with 2 Recruiters / Hiring Manager then a second round with 2 Admin Assistants on the same day.,wellsfargo
 Tell me about your cash handling experience.   ,No Offer,Neutral Experience,Average Interview,"Applied online. Then got a quick test. Passed it. Then invited for group interview. After group interview, there was 1 on 1. After that received decision. Fast process. Interviewers were nice. There are a lot candidates for this position.",wellsfargo
 tell me about yourself   ,Accepted Offer,Positive Experience,,,wellsfargo
,Accepted Offer,Positive Experience,Easy Interview,,wellsfargo
 When might you use debt vs equity financing?   ,Accepted Offer,Positive Experience,Average Interview,Learned about the opportunity through my school. Applied through my school and had the initial interview on campus. Followed by a super day in Charlotte. It was a smooth process and I enjoyed talking with the employees I met.,wellsfargo
 Tell me about whats going on in the markets? Walk me through your resume?   ,Declined Offer,Positive Experience,Easy Interview,"2 person panel Phone Interview after online application. Notified of super day a couple weeks ago phone interview. Phone call first round, zoom / video call for second round. seocnd round 2 30 minute interviews bakc to back",wellsfargo
 Tell me about your self.   ,Declined Offer,Positive Experience,Easy Interview,"Basic behavioral questions, interviewer gives you a chance to ask your own questions. Find ways to stand out in your answers. Total process consists of 1 interview over the phone.",wellsfargo
,No Offer,Positive Experience,Difficult Interview,,wellsfargo
 Difference between Abstract and interface in java   ,Accepted Offer,Positive Experience,Average Interview,,wellsfargo
 How do you handle a difficult lender   ,Declined Offer,Positive Experience,Easy Interview,,wellsfargo
 Tell me something about yourself.   ,No Offer,Positive Experience,Average Interview,,wellsfargo
 Name a time you had to overcome a challenge.   ,Declined Offer,Neutral Experience,Average Interview,,wellsfargo
,Accepted Offer,Positive Experience,Easy Interview,"Applied through a diversity program, had a first round phone interview. Final super day was with a mix of analysts and associates. Overall a simple and fair process. If stuck they try to direct you in the right direction.",wellsfargo
 Describe a time you've faced difficulty in understanding and completing a task.   ,No Offer,Positive Experience,,,wellsfargo
 Name the three types of financial statement   ,Declined Offer,Positive Experience,Difficult Interview,,wellsfargo
 What are the 3 valuation metrics?   ,Declined Offer,Positive Experience,Average Interview,,wellsfargo
 Tell me about a time where you had to work on something without having all the correct information in front of you   ,Accepted Offer,Positive Experience,Easy Interview,,wellsfargo
 Why Wells Fargo   ,Accepted Offer,Positive Experience,Average Interview,,wellsfargo
 Tell me about your sales experience and why you would be a good fit. Not even close to what the recruiter I got wanted to know!   ,No Offer,Negative Experience,Difficult Interview,"I received a message through Linked-in by one of the recruiters to proceed with an interview if interested, which was a great opportunity! The first interview was very easy passed to the second one that was very unprofessional! The question was very easy “ tell me about your sales experience and why you think you are a good fit” started talking about successful customer service and proved increased sales. The recruiter interrupted me three times in that only one question and want me to describe how i convince a customer buy something specific!! Very shocked the way that call went! With my current solid experience in retail sales and leadership roles i’v been through now I can tell why people switching their mortgages from Wells Fargo to other lenders, because that recruiter is recruiting the wrong people who are leading to lose customers while I increased the sales in all departments I’ve managed she was not impressed at all! BTW this role was a huge step back to me because I wanted to switch my career from retail to banking so just imagine how unprofessional the call went!",wellsfargo
 Tell me about a time when...   ,No Offer,Positive Experience,Difficult Interview,"The interview was a behavioral interview. You had to provide the Situation/Behavior/Outcome. They asked a series of ""Tell me about a time when"" questions. There were two people on the interview panel.",wellsfargo
 why are you interested in Wells Fargo? why do you think you are a good fit?   ,No Offer,Positive Experience,Easy Interview,"first spoke with the recruiter, very helpful. was going to schedule interview with hiring leader, later informed by the recruiter the role was taken by internal candidates. the process took less than 2 weeks.",wellsfargo
 Do you have experience working with two screens at once?   ,Accepted Offer,Positive Experience,Easy Interview,I applied online and received an invitation to choose an interview time slot within a half hour of applying. I choice to interview the next morning which was done by phone call. My interviewer was very kind and created a positive experience. Exactly one week later I received a job offer also by phone.,wellsfargo
 Describe a current event affecting the economy.   ,No Offer,Positive Experience,Average Interview,"Did a first round interview. Very nice and friendly, no overly technical questions just a couple questions. Be prepared to answer why Sales and Trading as well as talk about current events.",wellsfargo
 Tell me about a time when you faced a difficult situation and how did you overcome it.   ,Accepted Offer,Positive Experience,Average Interview,STAR - Situation Task Action Result - you should be prepared to answer all questions within this format. There is an HR screening process and then 2-3 interviews depending on seniority of the role you are applying for.,wellsfargo
 Most important financial statement   ,Declined Offer,Neutral Experience,Average Interview,,wellsfargo
 A lot of question starting with tell me a time when... you had to work with an employee you didn’t like? Had to overcome a negative situation? Went above and beyond for a client?   ,Accepted Offer,Positive Experience,Average Interview,,wellsfargo
 Tell me about yourself?   ,Accepted Offer,Neutral Experience,Average Interview,I applied as an Analyst to different positions at Wells Fargo that requires my experience. Two of my applications was declined but my third application reached the screening stage. The phone interview was with a recruiter and It was based on my work history/resume.,wellsfargo
 Tell me about a time you worked on a project to improve a deficiency.   ,No Offer,Negative Experience,Average Interview,,wellsfargo
 Tell me about a time you dealt with a difficult customer?   ,Accepted Offer,Positive Experience,Average Interview,Behavioral questions based on your previous work experience. If you had a teller interview it is basically the same type of interview. Make sure your answer are matching the job description and always use the STAR method to answer questions.,wellsfargo
 How did you collaborate with your partners   ,No Offer,Neutral Experience,Easy Interview,"The interview seemed ok, 2 managers attended, unsure of what they were looking for , I thought i did well but they had a different opinion. It was an hour-long process.",wellsfargo
 Tell me about yourself?   ,Accepted Offer,Positive Experience,Average Interview,2 rounds of interviews with hiring manager and team lead. Basic background and experience related questions. Waited several weeks to get a call back for a offer then I accepted.,wellsfargo
" If you were given two financial statements to evaluate a company, which two would you use?   ",No Offer,Negative Experience,Average Interview,"It was very intimidating, and often hard to hear both interviewers on the phone. They asked mostly teamwork questions and two technical questions at the end. It is very high paced and the interviewers seem like you are just another candidate, which is discouraging.",wellsfargo
 Standard interview questions   ,No Offer,Negative Experience,Average Interview,,wellsfargo
,No Offer,Negative Experience,Easy Interview,I interviewed with the recruiter and 2 hirirng managers via phone the 2nd week of July and didn't hear a word until I received an automated notification that they did not select me until 7 weeks later. The job status stayed in Interview the entire time. I reached out to both the hiring manager and recruiter...crickets.,wellsfargo
 How have you dealt with vague instructions in the past?   ,No Offer,Neutral Experience,Average Interview,"It was a thirty minute conversation conducted over the phone because of Covid-19. It wasn't too easy or too difficult. I was only asked 3 different behavioral questions. At least for the first round, there weren't any technical questions.",wellsfargo
 Why did you join NAMI on Campus ? (Note: this is an organization about mental health)   ,No Offer,Neutral Experience,Difficult Interview,"I was asked to tell them about myself. I was also asked about one of the student organizations I was involved in. In addition to this, I was asked to answer two technical questions that were similar to brain teasers.",wellsfargo
 Why do you want this job?   ,Accepted Offer,Positive Experience,Easy Interview,Phone interview during Covid. Very short and to the point. They did not make me go in to do an interview. 1 ten minute phone interview. It was not video.,wellsfargo
 Describe a time when you were on a deadline.   ,No Offer,Positive Experience,Average Interview,I was contacted by a recruiter through LinkedIn about this position. I interviewed within a week or being contacted. It took one week for me to hear back about whether they wanted to move forward or not. Mix of technical and behavioral questions.,wellsfargo
" Would you rather have your money double every 2 years, triple every 3, or quadruple every 4 ?   ",No Offer,Positive Experience,Average Interview,"Phone Screen with 2 firm members, behavioral questions mainly, then asking questions about specific equities/my past internship and what I learned. 2 math/logic questions, standard fit questions, why WF/S&T, how do you keep up with the markets etc.",wellsfargo
 How would you handle a coworker/supervisor type situations. What methods of communications have you used. STAR Method type questions.   ,Accepted Offer,Positive Experience,Average Interview,"I was screened by the recruiter, normal questions and was I still interested in the position. Then had a 2 panel interview. first then the second interview was a 3 panel interview.",wellsfargo
,No Offer,Positive Experience,Average Interview,"After applying to this position and attending CIB leadership summit, I was contacted for an interview through email. After scheduling a date and time, I was interviewed through the phone with two other employees. If selected, you will move forward to a 2nd interview conducted virtually.",wellsfargo
 Walk me through your resume   ,No Offer,Negative Experience,Average Interview,"The process was chaotic, possibly due to the pandemic. There was a severe lack of communication between Wells and the applicants. We were kept in the dark. I think this is a reflection of why Wells has been struggling lately.",wellsfargo
" SMART system process for all interviewers, they even provide the question set to interviewees   ",Accepted Offer,Positive Experience,Easy Interview,"Very quick, especially during Covid. 1st round was a phone screen, second was a panel. had an offer in less than 2 weeks. I was very impressed with the speed of the process, the efficiency and the technology used to get this done.",wellsfargo
 Leading and developing agents   ,Accepted Offer,Positive Experience,Average Interview,"Very professional. Recruiter was very informative about the position and next steps. Explained and gave a highlight overview on the benefits of joining the company. Employee engagement, company activities. Hiring managers were very professional and gave in details regarding the position and expectation in the department",wellsfargo
 Tell me a little about your work experience? Have you ever been employed by Wells Fargo? What do you know about this role? What are your compensation expectations?   ,No Offer,Positive Experience,Easy Interview,Received email and a text to allow multiple choices for initial phone interview time slot. Initial interview was conversational in nature. My previous experience is that follow up interviews are more (Give me an example of a time when>>>>>),wellsfargo
 To describe a situation where I had to think out of the box to solve a problem.   ,No Offer,Positive Experience,Average Interview,"In a difficult time, I was able to communicate with 3 staff members who were all in different places. The staff were prepared with relevant questions via phone interview. With no eye contact, it was a situation that makes you appreciate Zoom.",wellsfargo
 Tell me about a big decision you had to make at work. How did you come up with it and what was the outcome.   ,Accepted Offer,Neutral Experience,Average Interview,"The interview is very prescribed, very little free form. The questions have to be answered with an example and there's little feedback from the interviewer because they're typing while you talk.",wellsfargo
" Name a time when you had a conflict with your manager, and how you were able to resolve it.   ",Accepted Offer,Positive Experience,Average Interview,,wellsfargo
 What are some of the companies greatest challenges   ,Accepted Offer,Positive Experience,Easy Interview,Several rounds to meet the team members. Asked questions about my experiences and other behavioral topics. Asked about my career aspirations and why the team. Helpful to know about the industry,wellsfargo
 Why did you choose Wells Fargo?   ,Accepted Offer,Positive Experience,Average Interview,Hiring is based on a fair established process. It consisted from a few prepared questions. Manager was more listening than talking. Other interviewer was asking following questions. Overall good experience.,wellsfargo
 How do you deal with conflict?   ,Accepted Offer,Neutral Experience,Difficult Interview,"Long, had to interview 3 different times. Not including screening. All panel interviews. Interview was a bit overwhelming, all behavioral questions. First was the screening with HR followed by phone panel interviews and one in person.",wellsfargo
 What was a time you had to deal with change and how did you manage that?   ,No Offer,Positive Experience,Difficult Interview,"The process was very smooth and the company was helpful the entire process. The interview itself was difficult only because the questions asked needed long, well thought out answers.",wellsfargo
,No Offer,Negative Experience,Average Interview,,wellsfargo
 Explain a time where you had a disagreement with a coworker. Explain a time when you had competing priorities at work and how you handled it. Explain a time when you found errors in your analyses or the analyses of a colleague.   ,Accepted Offer,Positive Experience,Easy Interview,,wellsfargo
 What is one situation that you have recently been in where you had to help a client overcome an issue?   ,Declined Offer,Positive Experience,Easy Interview,"I started with an application, had a phone interview with a recruiter, then was passed on to the hiring manager. The interview process was not very difficult if you have confidence in your answers and know your own work history and how to make it relate to the job you are applying for.",wellsfargo
,No Offer,Neutral Experience,Average Interview,"The interview took almost 6 weeks in total, all through phone/online. The application form should be filled in Wells' website, which automatically filter candidates with a few must-have skills. The position is senior to the one open in Glassdoor. After 1 week of the submission , a recruiter from Wells reached me out . We scheduled a phone interview to basically go over those skills with details and years of experience. He said he would broadcast my resume. Another 2 weeks passed. I got an email from someone that attempted to schedule a technical interview. This round actually involved the hiring manager and engineer in the team. I would say 75% is behavior/situation questions and another 25% is about knowledge. I did get chance to ask them about team/project but their answers were not very clear. They expected me to show sample codes, which I kind of misunderstood when interview was scheduled. So 2nd round is to almost just myself to talk about my side project. They brought up questions here and there. After that I didn't hear from them. Another week I got an automated email saying this position was cancelled.",wellsfargo
 I was asked about my skill level with computers   ,No Offer,Positive Experience,Easy Interview,Interview process was very easy. The questions asked were typical interview questions. Most of the time if you give a detailed answer then you have already answered the next interview question.,wellsfargo
 Tell me about your personal and professional goals   ,Declined Offer,Negative Experience,Average Interview,"Applied online and waited for response from recruiting team. Used resume and cover letter. Was invited to interview via video call due to COVID. Nothing out of the ordinary in terms of process but was shocked by unprofessionalism of interviewer who referenced an MLM they were part of (Amway) multiple times! Very uncomfortable and will not be accepting my offer! Also took about a week in between each phase/update so if you’re still interested in working with an MLM recruiter on your team, apply in advance because process is slow right now.",wellsfargo
 Tell us about a time you failed and how you recovered   ,No Offer,Negative Experience,Difficult Interview,The interview process was a first round phone interview with two associates and then the second round was a virtual super day. Offers were given out the day after the super day.,wellsfargo
" Java coding task, API coding task.   ",Accepted Offer,Positive Experience,Average Interview,"It was not difficult and took about 1,5 hrs. The interviewer was nice. I would say that it was technical interview (5 or 6 coding tasks) with a few behavioral questions.",wellsfargo
 Why are you interested in this program?   ,Accepted Offer,Positive Experience,Average Interview,The process was very manageable all questions were behavioral questions. The entire interview process took About a month to be completed because of the amount of applicants. The interview was a great learning experience.,wellsfargo
 Why Wells Fargo?   ,Accepted Offer,Positive Experience,Difficult Interview,"First I applied to one of the diversity-based super days (required my resumè and cover letter). Then I had a phone interview with two WF associates. Then I moved onto the super day. Then I had two interviews with two associates, each.",wellsfargo
 Tell me about a time that you had to work in a team.   ,No Offer,Positive Experience,,,wellsfargo
 Selenium and Java questions   ,No Offer,Positive Experience,Easy Interview,,wellsfargo
 Accountability   ,No Offer,Neutral Experience,Average Interview,"Apply online, recruiter gets back to you within 2 weeks. You either get a face to face or you don't. Can take them forever to even offer a face to face.",wellsfargo
,Accepted Offer,Positive Experience,Average Interview,"Two interviews, one with the recruiter and one with my manager. Received an offer the next day contingent on background check. Took about a week. Really smooth process and very communicative team.",wellsfargo
 Why do you want to work for Wells Fargo?   ,Accepted Offer,Positive Experience,Difficult Interview,,wellsfargo
,No Offer,Positive Experience,Difficult Interview,Applied through diversity fast track. The first-round interview lasted for half an hour. Most of the questions were behavioral. Superday: two 30-mins interviews with four traders. Be prepared for a lot of difficult brain teasers. Definitely review statistics before Superday.,wellsfargo
 Name a time when you were compromised with quality and how did you handle it.   ,Accepted Offer,Positive Experience,Average Interview,There were 2 initial interviews 1 introductory interview and 1 star method. Wells handled their interview process extremely professionally during this covid pandemic. On that metric alone I was super impressed. It takes a lot to stay organized in difficult times and it seems they were ready.,wellsfargo
 Name a time where a customer was unsure about something and you assisted them?   ,Declined Offer,Positive Experience,Easy Interview,Fairly straight forward and quick. Most questions just revolved around customer service and providing examples where you used these skills. Don't overthink it there were no questions that I hadn't heard before in a typical interview.,wellsfargo
,Accepted Offer,Positive Experience,,,wellsfargo
 Tell me about a time you had to manage competing priorities.   ,Accepted Offer,Positive Experience,Average Interview,,wellsfargo
 Walk me through how the 3 financial statements flow together   ,Accepted Offer,Neutral Experience,Average Interview,,wellsfargo
 Tell me about a time when you developed a new way of doing something.   ,Accepted Offer,Positive Experience,Difficult Interview,,wellsfargo
 tell us about a difficult situation   ,No Offer,Positive Experience,Average Interview,All scenario based questions to be backed by example. There were multiple questions in a single question.The interview process lasted about an hour. It was phone only. There was an initial screening done by phone by HR,wellsfargo
 What was your experience trying to solve a difficult problem with a team?   ,Accepted Offer,Neutral Experience,Average Interview,,wellsfargo
 What are the 3 financial statements and why are they linked?   ,No Offer,Positive Experience,Easy Interview,,wellsfargo
" They focused on technical questions. They asked core java and Selenium questions. However, they didn't ask any coding questions. Then they asked a few behavioral questions. What they try to learn about you is how fast you can handle with technical challenges and complete your tasks.   ",Accepted Offer,Positive Experience,Easy Interview,"The interview took just one session, one hour. They were very fast. It seems like it is urgent to hire someone. it was a skype interview. There were some connection difficulties since everybody worked from home because of the pandemic.",wellsfargo
 Latest trends in technology impact on banking sector   ,Declined Offer,Positive Experience,Difficult Interview,"Situation based questions. Good scrutiny of technology understanding, building roadmaps. Focus is more on assessing candidates' past experience, fitment in culture and the value to the table. Not too different from usual senior level interviews. Interview panel has good expertise of subject and domain. Overall I rate the difficulty level as high. A candidate with real life challenging experience has a chance not otherwise.",wellsfargo
 Explain how the 3 financial statements are related.   ,Accepted Offer,Positive Experience,Easy Interview,One interview with recruiter followed by mostly behavioral questions with portfolio managers in a final interview. Both just over phone calls about 30 minutes. Very focused on STAR interview technique.,wellsfargo
,Accepted Offer,Negative Experience,Average Interview,"Refer through a friend as a contracting position, interview was scheduled after 1-1/2 weeks of talking as manager was busy. After 3 days of confirmation and me accepting offer, back ground check was started. After 3 weeks of background check, onboarding process started but after 3 weeks there was no confirmation of joining date. On 4th week when calling the implementation partner back to back, they finally came up saying that position has been freeze. Not a proper response from the person who referred me. That person was not even sorry for what all happen as he was responsible to follow up and get proper answer from the manager. Overall very very bad experience. Simply wasted my 7 important weeks of mine.",wellsfargo
 What’ experience do you have?   ,No Offer,Positive Experience,Average Interview,"It was a little different. But overall good. I must say the interviewer gave me a fair shot. I di not get the job, but I wasn’t more say qualified.",wellsfargo
 Name a time you dealt with a angry customer. How did you calm them down.   ,Accepted Offer,Positive Experience,Average Interview,"Your 1st interview is with a recruiter and in my experience, my second interview was with 3 managers. They ask you a lot of scenario questions. Like, name a time you had to deal with an angry customer. You know almost immediately after the interview if you got the job.",wellsfargo
 Why should we hire you   ,Accepted Offer,Positive Experience,Easy Interview,,wellsfargo
 Tell me a time where you worked in a team setting.   ,Declined Offer,Positive Experience,Easy Interview,The interview came in two rounds. The first part was an on campus interview composing mostly of behavorial questions. The second part was an on site that was again mostly behavorial questions.,wellsfargo
,Accepted Offer,Positive Experience,Easy Interview,easy..one phone interview. Then face to face . All behavior based questions. Got a call from HR as soon as I reached home from the interview. first received phone call for phone interview. After being selected was askd to come for a face to face interview.,wellsfargo
 What's a situation I was under pressure and how did deal with it.   ,Accepted Offer,Positive Experience,Average Interview,,wellsfargo
 Describe a time you asked to do something that you didn't know how to do. What steps did you take to solve this problem?   ,No Offer,Positive Experience,Average Interview,"Interview on college campus, then invited to a superday. The in person interview was all basic behavioral questions that really felt like a conversation with the recruiter.",wellsfargo
