question,offer,experience,difficulty,interview,source
 Design a lightbulb. The trick is to ask questions about the lightbulb.   ,No Offer,Neutral Experience,Average Interview,,Microsoft
" Mostly behavioral questions, one technical question about creating a lowpass filter using a resistor and a capacitor.   ",No Offer,Positive Experience,Average Interview,"Really friendly, overall good experience. It was over Microsoft teams. The interviewer asked questions such as ""describe a time when you had to resolve a conflict"", ""describe a time when you ran into an issue working with a team"", ""describe a time when you had to problem solve"", ""describe a time when you had to learn a new technical skill on the job"".",Microsoft
 Tell me about yourself and a project that you've worked on.   ,Accepted Offer,Positive Experience,Average Interview,"I did an interview on my school's campus instead of a phone screen, then I had 2 back-to-back final round interviews. The interviewers were kind and willing to talk through the problems.",Microsoft
 Example of questions: what is the difference between good code and great code?   ,No Offer,Negative Experience,Average Interview,"I have a screening 30 minute phone call. The worst interview I ever had. I feel like the interviewer had unrealistic expectations. I am a POC in CS and I know the bar is high, but the practices at Microsoft make it clear for me that they don't care about us being present in the room to make decisions that have an impact on my community. The way they recruit is designed to get almost perfect engineers, which are often white and asian. Congrats of not moving forward with a better system that accounts for different backgrounds and different experiences during your process.",Microsoft
,Accepted Offer,Positive Experience,Average Interview,"Very conversational and informal. The STAR story format was useful for being able to relay my experiences in a concise way, but there was no preconceived expectations that I follow a rigid format in my responses. It felt like I was on a coffee chat with a colleague. Very cool interview experience.",Microsoft
 tell me about yourself and microsoft   ,No Offer,Positive Experience,Average Interview,,Microsoft
 Some questions about project management and basic coding concepts. They really like analogies.   ,Accepted Offer,Positive Experience,Average Interview,First round is a phone screen. Very nice interviewer and really just wanted to get to know me. Applied in august (end) and heard back mid September. Interview was about a week later.,Microsoft
 Why Microsoft and why changed major to computer area   ,No Offer,Positive Experience,Average Interview,"Several basic information asking, behavior question and One easy tech question. Only 30 min but I got actually only 25min because of some issues. Very nice interviewer with hints and guidance provided.",Microsoft
 I was asked behavioral questions on my resume prior to a random coding question.   ,No Offer,Neutral Experience,Average Interview,,Microsoft
 Why do you want to work for Microsoft? Easy/Medium Leetcode   ,No Offer,Neutral Experience,Average Interview,,Microsoft
 Name a time you faced a challenge on a team. Name a time you had to come up with a solution for a client when it was unclear what they were asking for. Name a time you had a disagreement with a coworker. Why Microsoft?   ,Accepted Offer,Positive Experience,Average Interview,"Three interviews, each 45 minutes, first is behavioral, second was a 10 minute presentation, and third was conversational. Each interviewer asked about relevant problem-solving and resume experiences. Overall a super positive experience!",Microsoft
 They asked behavioral and technical questions.   ,Declined Offer,Positive Experience,Easy Interview,,Microsoft
 Why did you write your code this way?   ,No Offer,Neutral Experience,Average Interview,They gave me a 30 minute coding challenge where I had to show my coding process to an interviewer on screen. I had to explain my code to the interviewer about why I wrote my code in that way.,Microsoft
 Why microsoft and why do feel seattle is a good place for you   ,No Offer,Negative Experience,Easy Interview,,Microsoft
 Tell us about your past positions   ,No Offer,Negative Experience,,,Microsoft
 What was your favorite Microsoft product and what would you improve about it?   ,No Offer,Neutral Experience,Easy Interview,Scheduled a 30 minute behavioral interview. HR representative called me (late) and asked me a few questions. I answered all of them and thought the interview went fairly well. It was more of a question and answer type of situation and not a conversation. I was not sure whether they understood the technical terms I used as they never asked to clarify when I spoke to about my projects.,Microsoft
 What is your greatest strength?   ,No Offer,Neutral Experience,Average Interview,,Microsoft
,No Offer,Negative Experience,Difficult Interview,"I applied for the Ability Hiring Event because I'm Autistic. The final round of interviews were virtual. However the interview was still like that for a normal person, because my interviewers still expected me to be ""normal"". It was no different from all my previous interviews. I could not be myself the entire time. Ability Hiring Event? More like a scam.",Microsoft
" Questions about Tree, Linked List...   ",No Offer,Positive Experience,Average Interview,Didn't get an offer but it was a great experience overall. All people I came in contact with were very nice. The recruiter was very supportive throughout the process and let me know of the feedbacks the day after the interview.,Microsoft
,Accepted Offer,Positive Experience,Difficult Interview,"The interviewers were all super nice (except one guy who was semi-rude). The interviews were intense. I studied tons of LeetCode problems, but all of my interview questions were questions I didn't practice (bad luck). However, my knowledge of DS&A is what allowed me to find the solutions. Seriously, study your DS&A. Also, be social and make them laugh, it works.",Microsoft
" Linked list, array, string, matrix and open-ended questions.   ",Accepted Offer,Positive Experience,Difficult Interview,,Microsoft
,No Offer,Negative Experience,Easy Interview,,Microsoft
,No Offer,Positive Experience,Easy Interview,"I got a call, answered and he talked about what we were going to be doing. After that, we talked about how we are, general ice-breaking, and then the interview questions.",Microsoft
" Mostly about management and cultural fit, but also some technical.   ",Declined Offer,Negative Experience,Average Interview,"It took forever, 5 months. I lost track of how many people I interviewed with, half of which were over the phone. I think I interviewed with at least 10 people. Then they low-balled me with the salary offer, paying less than I was already making at my current job. Extremely frustrating to say the least.",Microsoft
 Parsing through a binary tree that has the children connected and printing all children in similar height level. ( but use constant time)   ,Accepted Offer,Positive Experience,Difficult Interview,The phone screen should be easy enough but the on site was pretty hard. There were two interviews and both interviews was tasking. I was gotten back to the next day though which I think is pretty fast. I got the offer but still acknowledge the interviews were difficult,Microsoft
 What team do you want to work with?   ,Accepted Offer,Positive Experience,Average Interview,"I had two back-to-back phone interviews with video calls on Teams. The first interviewer was more conversational, while the second went straight to the technical question. There was some live coding involved and time to discuss optimizations.",Microsoft
 Describe one time you used data analytics to make a decision   ,No Offer,Negative Experience,Average Interview,"It was a phone call from a HR representative. She had no real knowledge about the role and department I was applying for, so she couldn't really answer any of my questions and i believe couldn't help her evaluate if I was qualified. She wasn't great at answering culture questions, either.",Microsoft
,No Offer,Positive Experience,,,Microsoft
 Q: Why Microsoft? Why this program?   ,Accepted Offer,Positive Experience,Average Interview,,Microsoft
 Find the longest palindromic substring in a string.   ,Accepted Offer,Positive Experience,Average Interview,,Microsoft
 Tell me about yourself and design questions   ,No Offer,Positive Experience,,,Microsoft
 Tell me about yourself   ,No Offer,Negative Experience,Easy Interview,,Microsoft
 Tell me about yourself briefly   ,No Offer,Neutral Experience,,,Microsoft
 Implement a Queue with two stacks.   ,No Offer,Positive Experience,Difficult Interview,,Microsoft
 Describe yourself as a person   ,Accepted Offer,Positive Experience,Easy Interview,They will Send interview link if they like your portfolio and cover letter. Remote questioning and answering. Very relaxed and interviewer was very kind. I really enjoyed process and would do it again,Microsoft
,Accepted Offer,Positive Experience,Average Interview,Simple and straight forward. A lot of the questions can be answered if you have knowledge of user data and scaleable projects. I don't think anyone with a PM background would do bad on these questions.,Microsoft
 Questions specific to materials analysis.   ,Accepted Offer,Positive Experience,Easy Interview,"Informal phone call with the hiring manager. After they called, it was primarily behavioral questions, and then questions specific to research on my resume. Overall very straightforward and low pressure.",Microsoft
 Create function to return if a string a palindrome. Create function to check if a tic-tac-toe game is solved.   ,No Offer,Negative Experience,Easy Interview,"Was good had a behavioral interview then a final interview. The final interview was two 45 min interviews. The second interviewer I got was extremely disengaged and was even grinning the whole time which create a bad experience. Also, he answered my questions with two word answers. First interviewer was good.",Microsoft
 Asked about my familiarity with agile frameworks   ,No Offer,Positive Experience,Average Interview,,Microsoft
 Iterating through an array using an algorithm   ,No Offer,Neutral Experience,Average Interview,,Microsoft
 When was a time you innovated a process?⁹   ,No Offer,Negative Experience,Difficult Interview,,Microsoft
 They asked some basic coding questions such as array and string manipulations.   ,Accepted Offer,Positive Experience,Average Interview,,Microsoft
 I was asked the k-sorted arrays problem   ,No Offer,Positive Experience,Difficult Interview,"On campus screening technical+behavioral, then onsite final interviews. The onsite interview consisted of only 2 rounds. The first round was purely technical, and the second round was a system design question.",Microsoft
" General coding and ML questions, not very difficult.   ",Accepted Offer,Positive Experience,Average Interview,,Microsoft
" Given a list of sequential numbers, there will be two missing numbers from the sequence. Print those two numbers.   ",No Offer,Positive Experience,Easy Interview,"Description of my resumé, slowly analyzing and describing my solution to the problem as I went, and some ways to optimize my original solution. At the end you get an opportunity to ask a question or two about the company or the work that the interviewer does.",Microsoft
 Tell me a little about yourself   ,No Offer,Positive Experience,Average Interview,,Microsoft
 Tell me about your research.   ,No Offer,Positive Experience,Easy Interview,,Microsoft
,Accepted Offer,Positive Experience,Average Interview,"I've been through the phone screen so far, and that was a 30 minutes conversation; first five minutes was introductions, then next 20 minutes were behavioral questions (fairly typical ones just worded a little differently), but they were also targeted to the role product launch, dealing with failure, challenges, etc. The interviewer was a current full time Operations PM, really nice and approachable. I had plenty of time to ask questions and get more direction.",Microsoft
 Tell me about your favorite or the most challenging project you worked on   ,Accepted Offer,Positive Experience,,,Microsoft
" find how many times an sorted array has been rotated eg: [4,5,6,1,2,3] ans:3   ",No Offer,Positive Experience,Average Interview,"1-hour phone tech interview. First, we introduced to each other about the background then comes with 1 algorithm problem. During the solving process there's a lot of questions was asked.",Microsoft
" If you were an item in a grocery store, what would you be?   ",Declined Offer,Positive Experience,Average Interview,"I was interviewed as part of on campus hiring. First an in person interview on campus, then was asked to fly for a second interview. I didn’t go to the second because I accepted a different job offer.",Microsoft
 Tell me a little about yourself.   ,Accepted Offer,Positive Experience,,,Microsoft
" Basic ""tell me about yourself/your projects"" questions. ""How would you design a refrigerator?""   ",No Offer,Positive Experience,Average Interview,I received an email requesting a virtual interview about 3-4 weeks after I applied for the position. It was conducted over MS Teams and went by fairly quickly. The interviewer was nice and seemed interested in my projects and explanations.,Microsoft
 Explain something to person on the call   ,Accepted Offer,Positive Experience,Average Interview,,Microsoft
 How do you influence people who don’t report to you?   ,No Offer,Positive Experience,Average Interview,,Microsoft
" Simple binary search question, more typical behavioral questions   ",Declined Offer,Positive Experience,Easy Interview,,Microsoft
,No Offer,Negative Experience,Average Interview,,Microsoft
" Questions about leadership and extracurriculars. ""tell me about a time when X, Y, or Z"" type   ",No Offer,Negative Experience,Easy Interview,,Microsoft
 Questions about past work confirming information on resume.   ,No Offer,Positive Experience,Easy Interview,The interview was quick and done virtually. They asked me a little bit about my past and asked me to code a quick piece of data structures. The process was fluid and felt quick and a little rushed.,Microsoft
 How do I prioritize executive requests?   ,Accepted Offer,Positive Experience,Average Interview,,Microsoft
" If JavaScript were loading slowly, what would your go-to tools for diagnosing performance?   ",Declined Offer,Neutral Experience,Easy Interview,,Microsoft
,No Offer,Positive Experience,Easy Interview,Applied Online and contacted by recruiter within a week. The process took 2 weeks. It was an easy interview if you come from support background. 2 interviews (1 with technical lead and 1 with Hiring Manager),Microsoft
 What do you know about machine learning?   ,No Offer,Negative Experience,Easy Interview,,Microsoft
" The questions were: isPalindrome(), findDuplicate()   ",No Offer,Neutral Experience,Average Interview,"The first round was supposed to be in 30 mins and to be behavioral plus case interview but nothing similar happened. They asked me 2 coding questions in 30 mins, what I was not prepared for at that time.",Microsoft
 Tell me about your favorite project.   ,No Offer,Neutral Experience,Average Interview,The first round was 30 minutes interview with Microsoft teams with one of their UX developers. It was great but mostly in rush. I did not get the internship position.,Microsoft
 The questions were all behavioral and related to past work and project experiences. It helps to have experience with customers and working with others.   ,No Offer,Positive Experience,Easy Interview,"A recruiter actually reached out to me about this position months before the application came out. I had a phone interview in late July/early August with the recruiter I was corresponding with, primarily discussing the role and my past work experience to see if I'd be a good fit. About a month later, I participated in a Microsoft Teams meeting where several prospective interns (for varying roles) came together to ask current employees questions about the process and other details we wanted more clarity on. Soon afterwards were the final round interviews. For the specific internship I was applying to, I had three 45-60 minute interviews with individuals who were the decision makers of whether I'd be hired or not.",Microsoft
 What is one time you failed? How did you handle it?   ,No Offer,Positive Experience,Average Interview,It was a very casual remote interview. The interviewer was in a different country which made the interview unique in a good way. The interviewer made it more like a conversation and mixed in some easy questions along with the big questions.,Microsoft
 How did you approach a problem with your team?   ,Accepted Offer,Positive Experience,Easy Interview,,Microsoft
 Choose a product and tell me how would you reduce the production cost?   ,No Offer,Positive Experience,Easy Interview,,Microsoft
 Very basic string question you can find on leetcode.   ,No Offer,Positive Experience,Easy Interview,I applied using a referral I got. Recruter reached out to set up an appointment for the first initial phone screen and now am at the final round of the interview.,Microsoft
 Tell me a time when you had conflicts with your teammates.   ,Accepted Offer,Positive Experience,Average Interview,,Microsoft
,Accepted Offer,Positive Experience,Average Interview,"Starts with HR contacting you. If a good fit, then it moves to a conversation with the hiring manager. If all goes well, then you will be moved to speaking with team members. The process is very well organized and structured and fast.",Microsoft
 Coding problems on whiteboard were given.   ,Accepted Offer,Positive Experience,Difficult Interview,,Microsoft
 They asked a series of data analysis and probability questions.   ,Accepted Offer,Positive Experience,Difficult Interview,,Microsoft
" First round only asked technical questions like what’s merge sort, binary search, how would you design a pen   ",No Offer,Neutral Experience,Easy Interview,"2 rounds: first round and final round, first round was a phone technical interview. I didn’t get past the first interview but if you’ve taken data structures and algorithms you definitely can.",Microsoft
,Accepted Offer,Neutral Experience,Average Interview,,Microsoft
" I got questions like ""design a business. Who is your audience? How would you market it?"" ""What's your favorite product? How would you market it?""   ",Accepted Offer,Positive Experience,Average Interview,,Microsoft
 Can you tell me about a time where you had to work with ambiguous instructions and how you went about it?   ,Accepted Offer,Positive Experience,Average Interview,,Microsoft
 What is the best piece of technology?   ,No Offer,Positive Experience,Average Interview,,Microsoft
 Tell me about a time when you had more on your plate than you could possibly finish on time. How did you deal with it?   ,Accepted Offer,Positive Experience,Difficult Interview,,Microsoft
 What is your biggest accomplishment?   ,Accepted Offer,Positive Experience,Average Interview,,Microsoft
 Asked me about how my past experience would translate to the position I was looking at.   ,No Offer,Positive Experience,Difficult Interview,Had an initial call/screen. Then had interviews with various managers. It was nearly a day of interviewing but was very enjoyable. The process actually taught me a lot about the company and they even had suggestions to help me improve in the future.,Microsoft
,Accepted Offer,Positive Experience,Average Interview,,Microsoft
 Find the degree between two hands of a clock   ,Accepted Offer,Positive Experience,Average Interview,On-campus 30-min technical interview followed by an onsite consisting of three back-to-back interviews. One of my interviewers became my manager and another one was a SWE II on the same team.,Microsoft
 Describe the projects on your resume   ,No Offer,Positive Experience,Average Interview,"The interview was smooth. The questions the person asked me were pretty decent and relied heavily on data structures, specially trees and arraylists. He was peculiar about the syntax in the code, and thats where i think i might have had issues.",Microsoft
" Past experience, experience with Microsoft products   ",Accepted Offer,Positive Experience,Difficult Interview,,Microsoft
 Reverse a string. Run length encoding   ,No Offer,Positive Experience,Average Interview,We discussed my CV and past work for half an hour. Interviewer talked about some potential projects and asked about my interests. Then he had me work through basic coding problems in language of my choice for half an hour,Microsoft
 They asked me to review my resume in real time.   ,No Offer,Positive Experience,Average Interview,I was reached out to by recruiter for a phone interview. I was then connected with the hiring manager for a phone interview and general connect before moving to interview loop.,Microsoft
" Given a document like a newspaper, count all instances of each unique word. But make exceptions for words like ""computer science."" Although they are 2 separate words, they have 1 meaning together.   ",No Offer,Neutral Experience,Average Interview,"Applied online through my university, had the first round interview, and did not qualify for the second round. Others qualified for the second round and were flown out to Seattle, Washington.",Microsoft
 Mostly technical questions. Algorithm plus design.   ,Accepted Offer,Positive Experience,,,Microsoft
 Coding question asked was Spiral Matrix- Leetcode medium   ,No Offer,Positive Experience,Average Interview,,Microsoft
 Data structure related questions and algorithms.   ,No Offer,Positive Experience,Average Interview,Very well managed interview in Seattle. Helped me improve as a developer. Stay at the hotel was really nice and the lobby was great. The interviewers were stern faced at first but after going back home I realized they were trying to help me.,Microsoft
 Determine if there are duplicate characters in a string and analyze the run time of your code.   ,No Offer,Positive Experience,,,Microsoft
 What has been my most costly decision? How did I handle it and what lessons did I learn?   ,Accepted Offer,Positive Experience,Average Interview,Very pleasant. I first spoke to a recruiter who contacted me via LinkedIn after I selected Open to new opportunities. Then spoke to studio recruiter followed by 1:1 with hiring manager. After that I did a full panel of interviews with 6 people over Microsoft Teams. After 2 weeks I heard back with offer. Then I had to wait 1.5 weeks while background check was run and verified by Microsoft. Once that was done we negotiated start dates and relocation timeline.,Microsoft
 If you had to meet with your manager but you had scheduled a meeting with a Jr team member who would have priority and how would you determine that. How would you go about handling this situation.   ,Accepted Offer,Positive Experience,Average Interview,I went through about 7 total interviews over about 2 weeks virtually. The process was very thorough and a wide range of questions were asked from basic technical questions pertaining to troubleshooting to more advanced people management skills and ideology.,Microsoft
 Behavioral questions mostly.   ,No Offer,Positive Experience,Difficult Interview,Was first contacted on LinkedIn by a university recruiter who reviewed my history and background to recommend end me to apply. Sent in an application and received word in about a week. The entire process took about 1 month with a series of interviews. Most of them focused on behavioral and situational questions,Microsoft
 What do you bring to the table   ,Declined Offer,Positive Experience,Average Interview,,Microsoft
,No Offer,Negative Experience,Average Interview,,Microsoft
 How will a company be profitable?   ,Declined Offer,Neutral Experience,,"Good experience! The interviewer on the phone was very strict, but asked typical behavioral questions. Didn’t get too technical in the first round. Didn’t get a superday but that must be because I didn’t know too much about FRP programs.",Microsoft
,No Offer,Neutral Experience,Easy Interview,"submitted online application, the resume screening team reached out after two weeks to for phone call about my background experience. the meeting was set and a recruiter called with what sounds like ready questions or checklist",Microsoft
" Basic DSA algorithm, linked list   ",No Offer,Neutral Experience,Average Interview,,Microsoft
 How do you use javascript?   ,No Offer,Positive Experience,Difficult Interview,,Microsoft
,No Offer,Negative Experience,Average Interview,This was part of hiring event. Recruiter reached out on Linkedin. Recruiter asked technical questions as part of phone screen. Onsite interview was straight 4 rounds and it was very hectic.,Microsoft
 Why are you interested in Microsoft?   ,Declined Offer,Neutral Experience,Average Interview,"First Round Microsoft Teams Call, which lasted about 30 minutes, and then a month later, 3 back to back calls with different people from the team, and they ask several technical questions.",Microsoft
 Why are you fit for the position?   ,No Offer,Neutral Experience,Easy Interview,"First virtual interview, in comparison to other companies, was a lot more laid back - it was a very easy going conversation. I had a great feeling about the interview, but was called back with the news that they went ahead with an internal employee. Almost felt like they did the interview just to do it and have a record one their end.",Microsoft
 What are the differences between panel data and crosssectional data?   ,No Offer,Positive Experience,,"I was asked several questions about data structure, web crawler, and knowledges with numpy and pandas. Then some behavior questions about leadership and cooperation. There are 5 interviewers.",Microsoft
 Why are you interested in Microsoft?   ,No Offer,Negative Experience,Average Interview,,Microsoft
 Tell us about a time when you faced a difficult team member   ,Accepted Offer,Positive Experience,Average Interview,,Microsoft
 What motivates you   ,No Offer,Positive Experience,Average Interview,"Couple phone screening calls, the interviewer was nice and engaging. Gave a good description of the role and what is expected from the individual hired. He asked some basic questions relate to my work history, background, and the reasoning for my interest in this role.",Microsoft
 1. Reverse linked list   ,No Offer,Neutral Experience,Average Interview,,Microsoft
 How do you manage external developers?   ,No Offer,Negative Experience,Average Interview,,Microsoft
 Explain OOP to a 5 year old.   ,Accepted Offer,Positive Experience,Easy Interview,,Microsoft
" NDA, but it will require the standard knowledge required for technical interviews.   ",Accepted Offer,Positive Experience,Average Interview,,Microsoft
 Leetcode medium and hard questions   ,No Offer,Positive Experience,Average Interview,,Microsoft
" Homodyne Receiver. ANT related question. Test related question. LTE,wifi and BT questions.   ",No Offer,Negative Experience,Easy Interview,"Got call from hiring manger followed by recruiter. Collected all requirements and documents. Final interview was on Teams with 3 team members . Conversational and nice technical interview. All interview team members seemed intrested and metioned that I seems good fit. Recruiter told me that I will know outcome after 2 days. Nothing till next 1 week. Pinged again, I got an update that they will make decision in a day . Nothing even after another week. Pinged again after a week. No answer. Finally I got another offer , I asked recruiter to tell me now given I had other offer, feedback was that I am good fit but they are moving forward with other candidates. Seriously, I was supposed to know answer in 2 days after interview, nothing even after a month even after interview went really good. After a month I had to force them to tell me an answer and I got NO. Nice interview but horrible hiring process.",Microsoft
 Names of server hardware components.   ,No Offer,Positive Experience,Easy Interview,I received an email after I applied asking for some clarifying experience questions. I was then contacted about scheduling an interview. I was interviewed by a panel of 3 Datacenter Leads and was asked about my experience and some basic technical questions.,Microsoft
 Tell me about your experience? What is your targeted salary range?   ,No Offer,Neutral Experience,,,Microsoft
 Tell me about your previous employment and what are you looking for in your next position?   ,No Offer,Negative Experience,Easy Interview,,Microsoft
,No Offer,Negative Experience,Difficult Interview,"I started with an on campus technical interview, and then I was invited out to Seattle to complete 5 consecutive technical interviews. I felt like they were only interested in testing me on the spot, I definitely suffer under high pressure situations like that. I didn’t feel that this was a good environment to show what I can do code wise, and they barely asked me questions about extensive industry experience. They also really didn’t care to get to know me at all.",Microsoft
 How do you keep your engineering skills sharp & learn new technologies outside of your work environment?   ,No Offer,Negative Experience,Average Interview,,Microsoft
 I gave an example from a previous internship when I faced a challenge at work to complete a project. I showed I solved the issue with teamwork and dedication.   ,No Offer,Positive Experience,,,Microsoft
,Accepted Offer,Positive Experience,Average Interview,"Long story short, I applied for the MBA Operations internship, interviewed at a convention with a Microsoft employee that worked in engineering, the first interview is mainly just for culture fit. Was invited 2 weeks later to be flown out to Redmond to a super day. Super day started at 7 am you interview 3 different people within the department. About 60 people there in the morning. Interviews are really conversational but they dig deep and some small case questions. I ended up not getting the operations internship but 2 weeks later was called to interview for the marketing internship for MBA’s (I applied to both and was told my operations interview rounds were good). Process is pretty much the same except this was an over the phone interview. Was flown out again and did the 3 round interview. Make sure you have you stories down for the interview the mainly want to know about you and your professional experiences and what makes you unique. I was only asked 2-3 heavy marketing related questions through all 3 45 minute interviews on the super day. Also was asked 1 marketing related question on the phone interview. Other than those it was just questions about me.",Microsoft
 I was a prior employee who had moved to a different company but now looking for a change. The company has predictably morphed over the last 5 years and a question posed was how adaptive I could be to a culture that was increasingly sensitized to 'how' things get accomplished versus simply meeting results.   ,Accepted Offer,Positive Experience,Easy Interview,"I was informed I was moving forward to interview and, shortly after, a coordinator sent a request for my available times. He then scheduled a series of 4 interviews with members of the department - each an hour in length and held over Microsoft Teams. Accessing teams was not an issue, however there were repeated technology interruptions during the interviews that made things challenging and forced stop/start. Feedback from interviewers was that it was something they had experienced earlier in the day.",Microsoft
 Generate a list of prime numbers efficiently.   ,No Offer,Positive Experience,Average Interview,,Microsoft
,No Offer,Negative Experience,Average Interview,"The worse interview process I have had ever. Applied online. two positions got contacted by recruiter, and replied the questions they had, then no response and disappeared. send multiple emaild for the follow up, never heard back from them. One position, got to final round, no follow up from them. I know MS is big company, but they should learn be respectful to the candidates. The worst interview experience ever!",Microsoft
 When you type in google.com what happens?   ,Accepted Offer,Positive Experience,Average Interview,"Really nice progress. Everything was clear and straight forward. This is probably due to the fact that everything is remote. It made things a bit easy going. Using COVID 19 to my advantage, i hope you do the same.",Microsoft
 Describe your current favorite piece of technology   ,No Offer,Positive Experience,Difficult Interview,,Microsoft
,No Offer,Positive Experience,Easy Interview,,Microsoft
 Give us one example of a project where your initial assumptions were incorrect. Describe the steps you took that uncovered this and what steps you took after.   ,No Offer,Positive Experience,Difficult Interview,,Microsoft
 Signed waiver so can't share.   ,Accepted Offer,Positive Experience,,,Microsoft
 Coding challenges   ,No Offer,Negative Experience,,,Microsoft
,Accepted Offer,Positive Experience,Average Interview,"Process took longer than usual. Started off with an on campus interview, where I was asked 3 questions in 30 minutes. I was told that I had passed the interview but the final round spots were full, so I waited 5 months to hear about a final round spot. The final round was all virtual due to COVID-19; I had 3 interviews back to back, with each one being 45 minutes of implementing code.",Microsoft
 strong technical questions   ,Declined Offer,Neutral Experience,Difficult Interview,,Microsoft
" questions were most conversational. everyone just wanted to have a conversation and get to know me. based on how I was interviewed, it felt like it was my job to lose   ",Accepted Offer,Positive Experience,Easy Interview,I didn't interview with recruiter or hiring manager separately. They brought me in for full virtual interview loop. I did some networking with this group over several months and was told by the recruiter I was their #1 candidate from the beginning.,Microsoft
 Leetcode Medium about String Manipulation   ,No Offer,Neutral Experience,Average Interview,"One Leetcode Medium, Interviewer asked about background and proceeded to technical question. Interview was not so difficult, but at the time I was not familiarized with Leetcode so I hope I can do better next time,.",Microsoft
,No Offer,Negative Experience,Difficult Interview,It went on for 30 mins. I was asked to write a program on white board. I did while I was on the call with the recruiter. He was asking me about validations in the program apart from the main logic.,Microsoft
,No Offer,Positive Experience,Average Interview,"The phone screen interview was pretty relaxed. I was asked questions like why Microsoft, why I chose my major, and what I did in my current position as well as customer service questions which also seemed behavioral.",Microsoft
 Array sorting   ,Accepted Offer,Positive Experience,Easy Interview,Easy and rather short . Two technical phone interviews. The second was more behavioral than technical. Worked through the solution with my interviewer and worked through testing. That was really helpful as far as communication goes. Really liked the experience overall,Microsoft
 What previous experience have you had in the field of technology.   ,Declined Offer,Neutral Experience,Average Interview,,Microsoft
 What is your favorite Microsoft product?   ,No Offer,Positive Experience,Average Interview,"I applied online with an invitation from a recruiter through LinkedIn, got an in person interview on campus with an engineer, it was a 1-1 interview. The next step is on-site, most likely in Seattle.",Microsoft
 Go through resume and many case study.   ,No Offer,Neutral Experience,Average Interview,"One phone interview first, go through resume and one case study. Four rounds onsite, very basic prob and stats questions, but tons of case study. And case study focus on Microsoft's product. It looks like I'm applying for product manager instead of data scientist.",Microsoft
 What would you do differently in a situation? (Describing where something went wrong)   ,Declined Offer,Negative Experience,Average Interview,"The communication with the sourcing recruiter was good, it went steadily downhill from there. The recruiting co-ordinator did not bother to follow up, repeatedly delayed, and gave incorrect information regarding the length of the interview. After my experience, I decided against joining the company. This has been by far my worst interview experience. Microsoft needs to step their recruiting game up, and I judge a company by their recruiters.",Microsoft
