interview,question,offer,target_variable,difficulty,source,length
"In the phone screen I was given a hacker rank type of problem, you know the ones with a long statement and nothing challenging to do but just get some job done. I wrote the working code and covered all the edge cases elegantly and in detail but the interviewer complained that there were too many if-else in my code. I said that in nervous I was just trying to cover all edge cases, of course I can optimise it a bit more to make it more cleaner but then I got a reject on the same day. Do not know what they want. I mean I think it is unreal to expect a complete production quality code in stressful environment of an interview.", LCA   ,No Offer,0,Average Interview,ebay,629
"1 hour phone interview with a Senior Engineer. She asked me to speak about one of my projects and then moved on to a coding challenge. I walked her through on how I would solve the question using O(n) time and O(n) space, but she wanted me to optimize it and made me use O(1) space. I tried to come up with a O(nlogn) solution but failed some of the test cases. Given her requirements I was hoping maybe she would provide some hints because she definitely wanted me to give the solution that she had in mind. We ran out of time and I didn't get a chance to solve it using the solution I originally told. Got a response after 10 days after emailing the recruiter.", Find missing integers in an array of size n.   ,No Offer,0,Average Interview,ebay,662
"A recruiter at eBay contacted me and asked me to fill out a very long survey. I never heard from him again, even after following up. I don't think that this was very considerate of my time.",,No Offer,0,,ebay,189
People in eBay think they know everything and ask question. They don't listen properly to the other person view. They will expect an answer and the funniest thing is they want only that answer (though there are N ways to solve). Such a bad experience I had., Design facebook like application   ,No Offer,0,Average Interview,ebay,257
"Two phone screens with recruiters. Both went well. They flew me across the country for an on site interview that lasted about 6 hours. I met with as many senior level architects. Never heard from them after the on site interview, which I thought was pretty rude. I spent the entire day before traveling to Ebay, stayed over night, and then all day on site and then flew home. It was a long 48 hours but I enjoyed the discussions with the smart people on the team. No follow-up is bad form, especially when you spend that much time getting to the interview and then on site.", Standard architect questions. How would you solve this type of problem? Have you worked in this space before? How do you manage conflict and changing resources   ,No Offer,0,Average Interview,ebay,573
"Video interview, skills test, and personality test. I had never done a video interview and it was odd because there was not person you were looking at yourself and answering automated questions. But I did good because I went on to the next level which was the testing which I bombed due to using a computer at the library.", What did I consider to be my weakness and give an example.   ,Accepted Offer,0,Average Interview,ebay,322
"I was contacted by an internal recruiter within eBay. I had two screening calls with her and it seemed to be that I was well qualified for the role. I filled out some documentation and had a phone interview with the hiring manager. The phone interview ( my third) went very well from my side. The kind of work I'm doing was exactly what this role would be doing according to the hiring manager (her words, not mine). She wrapped up saying the internal recruiter would be getting back to me that week with next steps. Overall it was a very positive call (in my opinion). I sent a thank you email that day. I waited a week and radio silence, followed up with the internal recruiter and they said they would follow up and get back to me. Another week went by and I sent another email - no response. I waited a week and a half and sent another note - nothing. I can safely say that I have been ""ghosted"" by eBay. Its a shame companies act that way.", What is your favorite part of the job?   ,No Offer,0,Average Interview,ebay,944
Interview was based on behavior. Phone interview went great. Went in for assessment and all were friendly. Then went in for an interview and everyone was very cold. Completely different.,,No Offer,0,Difficult Interview,ebay,186
"pretty average, No feedback for the coding exercise. Have delivered entire project in 2 days. they just they are going ahead with other candidate. Recruiter was good though as he was replying on time.", NDA   ,No Offer,0,Average Interview,ebay,200
Was contacted by a Talent Acquisition Specialist who asked me a few general questions about my current job. She then sent me an 'exercise' to complete that involved using software that I had never used before. She asked that I return it as quickly as possible. I went out and got said software and completed the exercise (perhaps not to my best satisfaction). Three days later I got an email saying that they had decided to look at other candidates. No reasons were given..., Checkpoints that I would use to test a chat system.   ,No Offer,0,Average Interview,ebay,474
"phone, followed by onsite. Interviews were average, they don't have the courtesy to give feedback after spending 5 hours at interview. I did very well in all the interviews in fact.This is my worst experience with eBay.I don't' think i want to ever apply at eBay.", asked coding questions and design   ,No Offer,0,Average Interview,ebay,263
"Phone interview, basic questions and then onsite interview with 4 interviewers one after the other. Once the interview was over (around 2pm), I checked my email and found out they sent me a rejection mail at noon. Good thing I did check my email during lunch", They asked about past projects and coding questions   ,No Offer,0,Average Interview,ebay,258
I got employee referral and was called for first technicaln phone scree round. Interview asked me questions from leetcode. was fairly simple but with a lot of cross questions for the solution i provided," I signed an NDA, but was simple data structres questions can be found on leet code.   ",No Offer,0,Average Interview,ebay,202
Had two technical interviews over the phone and never heard back from the recruiter after that. I reached out to the recruiter several times for feedback and he kept telling me that the hiring team was not giving his any feedback. I wasn't really impressed with their interviewing process., Data center technologies deep dive   ,No Offer,0,Difficult Interview,ebay,289
The company contacted me from the career fair of the college. Was invited to an interview the next day. Got asked a couple of basic questions on algorithms and data structures. Got a call for the next interview later that day. Was asked concepts of Machine learning and scenerios were given and I was asked to apply best algorithms to get better results. Never heard from them again. No accept or reject. I mailed the interviewer asking for a status. No reply. 4 months have passed and I have given up on this company ever replying to me.," GIven a scenio of a online customer shopping, design DB and ML algos to output fancier and better choices to the user to attract them to buy more.   ",No Offer,0,Average Interview,ebay,538
"Some behavioral and company fit interviews followed by an impromptu case study presentation. The recruiters were extremely unprofessional with lapses between communication and when they finally sent me a schedule, it had another candidate's name on the agenda."," Was given an assignment, asked to prepare presentation and deliver it for a group.   ",No Offer,0,Average Interview,ebay,260
"They were initially very responsive and set a phone interview, expressing urgency to try to get me on-site. I was asked to fill out a questionnaire and did so same day. Phone interview essentially asked same questions, was no more than 15 minutes. Followed-up a couple days later and was informed that they were not moving forward. Feedback was: The hiring manager thought there were better candidates in the pipeline. Did not agree with their assessment nor their opinion, feel that there were biases in play through misinterpretation of my experience and them digging into my private information.",,No Offer,0,Easy Interview,ebay,598
"Process dragged on for months, kept being told I'd hear back and never did. Everything was positive, I think these are fake job postings and they're fishing for ideas. Suggestion? Don't bother.", Ideas to improve the business?   ,No Offer,0,Average Interview,ebay,193
"I received email after a career fair. Replied, but no response in a week. Replied again, and finally setting up an initial phone screen. After the phone screen the recruiter said she will contact me soon, then there is no response in two weeks..", Questions about projects on resume   ,No Offer,0,,ebay,245
I had attended two Phone Interviews. 1) HR call - questions regarding our behaviour and 2) Technical Call - Very deep conceptual questions. All the questions are related to algorithms. Very difficult for experienced persons to answer the questions., Very deep conceptual questions in java   ,No Offer,0,Difficult Interview,ebay,248
"Applied online and be contacted by the recruiter in two days. First round is 45min phone interview. It includes one simple question and some basic Javascript question. After two weeks, they give me an onsite interview. There are five rounds. Each round will ask some simple algorithms and data structure question.", Can you implement a stack?   ,No Offer,0,Average Interview,ebay,313
Interview process was quick but Interviewer is not knowledgeable enough on the technicals. Interviewer does not even know how the basic javascript function work and zero knowledge on OOP concept and just started asking questions from some interview questions website.," Mainly example based questions, give me an example of when you went over and beyond.   ",No Offer,0,Easy Interview,ebay,267
Interviewed over the phone first then with the 4 people team in once room. They shared their roles and their experience then they asked me a series of marketing and UX questions to determine my skills., How do you work in uncertainty?   ,No Offer,0,Average Interview,ebay,201
Phone screen- Basic algo of merging two sorted arrays and test cases on it. Nothing difficult. No known reason of not getting offer. Tried getting feedback but of no avail., Basic sorting algorithm   ,No Offer,0,Average Interview,ebay,172
"Interviews took place over 2 months. 3 over the phone interviews, 2 sets of onsite interviews. One full day, one half. After that they said they would get back to me in a couple of weeks. I received an automated rejection email 6 weeks later. I had figured that out when the recruiter didn't respond to my followup email after the allotted time. All in all, the process was handled unprofessionally and shows a lack of respect for a candidates time invested in the interview process. Will not be interviewing with this company again."," Do you understand eBay's business, growth strategy?   ",No Offer,0,Average Interview,ebay,533
"A brief telephonic chat and then a day long back to back interviews with hiring manager, peer functions (product) and senior technical engineers and an architect. Meet up at the lobby and then move to a conference room in one of the buildings.",,Declined Offer,0,Easy Interview,ebay,243
"Started with phone interview. Then asked to come in for personal interview. Given a tour of facility then sat with current rep to listen in on incoming calls. After, had to take simulation test where you were asked to complete certain task asked by the caller using their system. Having only sat with a rep for 30 min, I was not paying so much attention to have she made necessary changes but more to the call itself. BIG MISTAKE! Being unfamiliar with how their system worked, I did not pass the minimum score they require to move on to the next interview phase.", Phone interview. What are your strengths?   ,No Offer,0,Difficult Interview,ebay,563
Horrible. They did not even let me eat lunch in peace. The lady who took me out to lunch also asked me interview questions there. Very annoying! I would never wanna interview with them again., Memory tuning on millions of product objects.   ,No Offer,0,Difficult Interview,ebay,191
First got HR call then after around one week my interview got scheduled. The Interview was for about 1 hour. He asked me projects which were listed on resume. Then he asked me some technical questions regarding OOPS concepts etc. He also asked behavioral questions regarding my work experience etc. He was very friendly. Asked me about MVC architecture breifly., Tell me about MVC architecture?   ,No Offer,0,Average Interview,ebay,361
"I applied through hreference and got call to be interviewed by the hiring manager, he then asked if i took their aptitude test, i was sent none so he asked me few basic things and seemed to like me because he even asked when can i join if selected. Then after 3 days and one reminded email i got link to take the test. Test needs practice as time is the critical issue there. I don't know what the passing criteria would be but later I come to know they were expecting 100% on the test.",,No Offer,0,Difficult Interview,ebay,486
"I applied online and got an email from the recruiter a few days later, requesting to do a phone screen interview with her. About 2 weeks later, I contacted the recruiter again and was selected for 2 phone interviews; one with a local manager and another with a manager in Asia. Several days later, I was asked to come in to the local office for an in-person interview with a manager and team member. I received feedback that the interviews had all gone well and they requested that I do a Skype interview with a manager in Europe. After that, the communication ceased. I received no more feedback and my inquiries were not responded to. On Christmas Eve I was sent a denial email, in French (which I don't speak). Overall the experience was positive, but it ended on a bad note - which tainted the entire process. I think they chose a poor day to send bad news and I didn't appreciate that it was in a language that I do not know. It showed a lack of attention to detail and empathy.", Nothing out of the ordinary.   ,No Offer,0,Average Interview,ebay,983
"Had applied through university as well as contacted the recruiter. The whole process took more than 1 month. There were three rounds of interviews overall. The first was a manager interview for half an hour with some basic questions about projects. The second and third were technical interviews. The second interviewer asked some questions on Perl, Java and Databases. The final round was coding round and was pretty simple.", How do you print in Javascript?   ,No Offer,0,Difficult Interview,ebay,425
"Several rounds of interviews, some onsite, some offsite. Ultimately they said they were going to make me an offer and then they didn't do so, and it wasn't entirely clear to me why. So overall, there were nice people, but I was put off by their odd process.", All the standard questions. Why this job? Why do you want to leave your current job etc.   ,No Offer,0,Average Interview,ebay,257
"I got referred by a current employee and was set up for a technical phone screen. It was just bad. I hated the interviewer- he was mean and kind of impatient. Didn't let me finish my answer/didnt interpret my answers well. He asked a variety of questions from data structures, algorithms, and pointers. Then he went over my resume to ask questions about a project I did in school.",,No Offer,0,Difficult Interview,ebay,380
"Applied through College. Interviewed by Research Director on Campus. Positive experience during the interview. Some behavioral and resume questions. Only one programming question - Reverse a Linked List, Algo for Binary tree Lowest Common Ancestor. But really erratic reject after doing wonderful ( mentioned by the interviewer)",,No Offer,0,Easy Interview,ebay,328
"Applied through career center. Got a first round interview which happened on campus. 45 minute interview with very few behavioral questions, primarily coding and data sciency questions"," Given a function roll() that uniformly returns a double between 0 and 1 and a array/list of numbers of length N (no duplicates), create a function shuffle() that returns a permutation of equal probability   ",No Offer,0,Average Interview,ebay,184
"Applied through school and then got a phone interview. The phone interview was very fast paced loaded with questions. The phone interviewer was nice though. After that, got a Skype interview with 5 people. All of them were great except one. That one was not prepared for the interview at all, he asked a question that was too difficult. So when I couldn't answer, I asked him to answer it himself. The funny thing that he couldn't answer his own question."," Given a BS tree, give the median number in the tree with O(1) space.   ",No Offer,0,Difficult Interview,ebay,455
"eBay flew me in from the east coast to San Jose and put me up at the Fairmont Hotel. I was on the top floor and the air conditioners on the roof made this high pitched whining noise all night so I could not sleep at all. I then caught a cab to eBay in the morning to meet with 7 people in a row with the big guy as the last meeting. The cabbie did not know where eBay was and dropped me off about 2 blocks away. They did pay for my lunch, and they booked me at the Fairmont and I had to pay for it with my credit card and they took about 6 weeks to reimburse me.","After meeting with the 6 people, the last guy who is the boss of those people, 1st asked me to rank them in order of best to worst; i.e. how would I rank them as candidates for a position. What he was getting at was my ability to assess interviewing capabilities which is part of the job I was interviewing for but it definitely threw me for a loop!!  ",No Offer,0,Difficult Interview,ebay,562
"Applied online and received an e-mail from the recruiter to set up the interview appointment. First part (~25min) was behavioral and personal questions asked by the team leader; followed up by technical questions from an engineer. Both were female and amicable. However, contrary to my confidence in the interview and the conversations, they were non-responsive for the next 3 weeks to tell me I wasn't accepted.", What is the difference between a HashTable and HashMap in Java?   ,No Offer,0,Easy Interview,ebay,412
"Had several phone interviews, went for an in person assessment and interview, was told had the position and then was emailed and told not. Left a bad taste for the company.", Why I wanted to work there   ,Accepted Offer,0,Average Interview,ebay,172
Started with a phone call about basic java question and projects on resume followed by skype interview with 4 ppl. Didn't hear from them so i am assuming they didn't hire me..It whould have been better on their part to atleast provide a reject mail.,,No Offer,0,Average Interview,ebay,249
"A on-campus interview. I was told some basic information about the group: a QA group mainly using Java. Asked a easy binary search question and asked me to write a sorting method. I wrote the quick sort. I was told the result will come out the next week. However, after 4 weeks, I received nothing. I sent an email to the recruiting person, she did not respond me.",,No Offer,0,Average Interview,ebay,364
"Before an interview, they email you with some tests. Typing test, Internet test, and a basic quiz. Then they have you write down references, and make sure these people KNOW about it, because ebay emails them right away for the references to take a quiz about you. After you pass all that you get an interview. I thought my interview went well, and they said the would get back to me in a few days after checking my background and credit......still no call.....still no email...nothing....I had 8 people from their background check department emailing me because NO ONE communicated....finally they told me I didn't get the position..after 2 weeks...", When did you have to break the rules to make a customer happy...   ,No Offer,0,Average Interview,ebay,649
"Got HR call through an open event conducted at the company. HR said the interview would be 90 mins and a virtual white board where there would be coding involved. The interviewer calls and asks basic questions regarding HTML (??) , JavaScript. I offer to show him some code samples of mine online but he refuses saying coding is only during in person interview( the HR said this interview will be particularly coding). It was like they were asking questions from some question bank. He hangs up after 30 mins saying someone will be calling me soon. I think its the HR but no, another interviewer calls me. He speaks almost the same way. Nothing about the company or what they do. He sees my code sample and asks me what use is of this. Both of them were using speakerphone so was very low (though the first interviewer rectified it midway). Later HR calls me and says I am not selected. That was expected.",,No Offer,0,Easy Interview,ebay,905
"I applied online to a blanket MBA position with eBay and was contacted about a week later. I had an HR screen (just to make sure I wasn't crazy), then I had a phone interview with my hiring manager a few days later. The following day, I interviewed with a senior manager in the company. In both interviews, they asked me questions specifically related to the job I would do over the summer to see if I had ideas to solve the business question they faced (I also found out about the position through the interviews, so it wasn't easy to prepare). I got the offer the following day from HR and asked for some time to think. She was very pushy and rude, but overall it was a pretty painless process.", Tell me about trends in the business you were previously involved in.   ,Accepted Offer,0,Easy Interview,ebay,696
"I got an e-mail from one of the recruiters. She setup a phone interview with one of their Engineers. The interviewer asked me random questions about Java, and J2EE, specifically, the differences between the two. The interviewer was happy and said he'd recommend me for the next round of interviews. The recruiter then contacted me again and asked me to send her a good day for another round of interviews. I e-mailed her my availability but she never replied. I tried to contact her several times but she never responded my e-mails. Very unprofessional.",,No Offer,0,Easy Interview,ebay,553
"It took many applications and a job fair to get an interview, then at that point it took 3 months to receive an offer.. After that I had to wait another 3 month's for an open training class. This was 4 years ago, & with a new building it seems eBay has lowered the application qualifications & started hiring children. There's training classes all the time now with over 20 people (my class was 8 to put it in perspective 4 of which were current employees) I can only gather that the process has sped up, but the issue with continually being denied for no real reason is still rampant.",,Accepted Offer,0,Average Interview,ebay,585
"I received an email from Ebay stating that they would like to call me for a 'phone screening'. Someone from Ebay called me and we spoke on the phone for about a half an hour. He asked me interview type questions, about my job/professional experience, why I picked my degree, what strengths I could bring to their company. A few days later, I received another call from another person at Ebay, asking me for a second 'phone screening'. Similar type questions followed. When I asked about when the interview process would actually start, they said in a few weeks after people came back from vacation. I waited a few weeks and followed up about an interview, but never recieved any response back. Their interview process is confusing.",,No Offer,0,Average Interview,ebay,731
Had a phone call from someone very junior who asked me very basic java questions and didn't even know the answers to some of the questions. I passed that one and the next was a coding exercise to be completed in 1 hour. I was able to complete more than half of it but the test timed out and the feedback was that I wasn't considered for the position. Not sure how they could judge the skills of a person based on a single phone interview and a coding puzzle., Most questions were very simple like what is the SingleThreadModel in Servlets   ,No Offer,0,Easy Interview,ebay,458
"I applied online on their website. Got a phone screen by recruiter asking me about salary requirements and why I am looking for new role. Then a week later got a phone by hiring manager, and then in person interview with 6 people. Offer in a week after that. You can also try and go through internal referrals as most folks get in that way.",,Accepted Offer,0,Easy Interview,ebay,340
The interview consisted of 2 phone interview. First one was technical with some questions on database and Java. The second was about experience and behavioral.,,No Offer,0,Average Interview,ebay,159
"Be prepared to answer behaviorial questions such as ""tell me about a time when you had to deal with a difficult colleague. What specifically did you do to resolve it and what were the results?", Tell me about a time you showed courage at work   ,Accepted Offer,0,Difficult Interview,ebay,192
"Initially contacted by a recruiter in October. They are extremely slow, zero follow up and couldn't make a decision. I was if anything overqualified for the position. Conducted 1 hour video conf interview w very uninsightful questions. Finally after multiple emails regarding status, said they were looking for more "" industry specific"" experience - ie someone from the West Coast who wears flip flops. That was a relief!",,No Offer,0,Easy Interview,ebay,421
This company's HR department doesn't do anything fast. The interview/hiring process takes FOREVER. They look highly at employee referrals., They asked questions specific to the position I was applying for. Be sure and do your research on the position before you interview.   ,Accepted Offer,0,Difficult Interview,ebay,138
"HR emailed regarding the next day interview. Since there was less than 24 hrs notice for the off-campus interview, I asked for clarification for the interview process. HR provided me incorrect information, claiming the interview would mostly be behavior/ fit questions. The interviewer called the next day and was at least 30 minutes late in calling. I emailed HR to figure out what had happened. When the interviewer called, he spent what felt like forever on describing the job. He only asked one question about my resume and it was not behavioral. What surprised me, especially considering time, is that he asked me a case question about Amazon and then asked me more technical questions about online loyalty marketing.", The question was tricky in the fact that it was technical to the job and I was not expecting a case question at all. It was about testing your understanding of how much online commerce data can be estimated of the competitor based directly on one online ad.   ,No Offer,0,Difficult Interview,ebay,722
"There were two interviews. One with an HR team member, and another with the hiring manager. Both individuals were friendly and down to earth, as were the reception and support staff. The recruiter had mentioned eBay has a fairly casual culture, and individuals were indeed casually dressed (jeans, mostly). The HR interview was fine, and enjoyable. The questions felt fairly standard, covering experience, responsibilities in past positions, etc. The hiring manager interview was much more open ended, and was a little odd in that the individual didn't have a good description of the position, and did not have many questions for me.",,No Offer,0,Average Interview,ebay,633
"All the questions were academical, not related directly to my experience. No questions around my experience. None of the interviewers had a copy of my resume. No questions were asked where I could show my problem solving skills (""what if"" scenarios).",,No Offer,0,Difficult Interview,ebay,250
"The interviewing process was professional and every interviewer kept to their time slots. But the questions were not challenging and almost felt like it was an exercise, rather than trying to see what I could bring to the table. One interviewer tried to tell me that working there would be very tough and it was not like it used to be - almost like a warning to run. Later learned from a friend of a friend, that eBay had laid off a significant number of project mgrs (he was one of the laid off project mgrs) and they would be re-organized into a very different organization. It was positive to see that most of the management for project mgrs were women. This was my second interview process (the first one was in 2002), which also did no result in a job offer"," If I were to be an animal, what would I be?   ",No Offer,0,Difficult Interview,ebay,762
"I was not looking. The company recruiter found my profile from Linkedin and arranged a phone interview for me. However, the interviewer totally forgot about it and did not call me. The recruiter scheduled another time and I did not get call again -- this time, because the interviewer need take care of some urgent issue. The recruiter again made appointment and I eventually talked to the interviewer. However, it took only about 10 minutes, far less than the 30 minutes as originally scheduled. The questions he asked were quite simple tough. I never heard back from the recruiter. The interviewer was not professional and serious.", How many years of Java experience do you have?   ,No Offer,0,Easy Interview,ebay,633
got screened telephonically. Joined onsite interview by few folks. Some of the interviewers were really good.. other thought person on other side is stupid. No respect for candidate. Recruiter didn't get back despite few reminder emails and call. Overall bad experience. Would never go there again. Seems like great company to work for. But most people seems they are the only one in the whole world doing the real work.,,No Offer,0,Difficult Interview,ebay,420
"The process went from a substantial writing/editing test to a phone interview to meeting four people. The in-person meeting was dismal. The interviewers did not come across as prepared. They did not have many questions for me, said little about the position, came across as disinterested. Maybe they took one look at me and didn't like me (I am clean-cut, was dressed professionally, clothes freshly pressed, appearance neat and tidy, no after-shave, etc.), but it would rate as one of my worst interviewing experiences, if not the worst.", It was the lack of questions that made it difficult   ,No Offer,0,Difficult Interview,ebay,538
"The recruiter set up a phone screening, but didn't call me. After 10 mins of waiting, I sent her an email and she said she marked her calendar wrongly. So she postponed the interview to the next day. The next day, she called me, and her first question was if I need sponsorship from the company to work in Ireland. When I said yes, she simply said eBay doesn't do sponsorship. This is fine, but the way she said it doesn't sit well with me (""There are many Europeans that don't need a sponsorship and are looking for a job."") Also, she could've mentioned this in the email the day before, instead of wasting both of our times.", Do you have a European passport?   ,No Offer,0,Easy Interview,ebay,626
"Applied through their career page. Received an e-mail from a recruiter inviting me to a phone interview. with HR. Phone screen lasted about 20 minutes and was mainly personal questions. I seemed to be a good fit, but I never heard back, not even a rejection e-mail. Recruiter seemed unprofessional to me.",,No Offer,0,Easy Interview,ebay,304
"And after all of that, even though I answered every question correctly, they decided to email me and say ""you interviewed very well but the manager decided to go with someone else"".", Solve the game of 24. Design chess.   ,No Offer,0,Easy Interview,ebay,181
Never ending. 8 interviews with 8 different people. Hiring by committee. Not sure if this was meant to ensure cultural fit or whether no one was prepared to take responsibility for the hiring decision. Long periods of silence between interviews and more people getting added in all the time, What would I do for the company to clarify or improve perception of the brand   ,Accepted Offer,0,Average Interview,ebay,290
"I was reached by HR for the initial phone screening round for a Berlin based position, which went extremely well and the hiring manager herself told me that I am through to next round and HR will contact me. HR did, and she began the mail by saying and I quote ""You left a really good impression"" post which we scheduled an initial HR discussion. After this, I haven't heard from the HR and when I enquired she sent me a ""Thanks for applying mail"".", standard questions around previous experiences   ,No Offer,0,Easy Interview,ebay,448
Sent application in and got an invite to interview around a week after. They went radio silent afterwards even though they said they'd get back within a week - not professional at all., Where do you think kleinanzeigen's revenue is from?   ,No Offer,0,Average Interview,ebay,184
"Got through to the second stage of the interview process and completed a Skype interview as part of the next stage. I was told that they would get back to me within a week with the outcome, however they never got back to me and when I emailed the recruiter to ask what was happening she never responded. Very unprofessional.", Can you complete this market sizing question?   ,No Offer,0,Average Interview,ebay,324
"One of the rudest interviewer I’ve met in my life. I got the approval (said I was perfect for the job) from the marketing agency who specifically only work for them so I went to the meeting with the eBay representative. However the moment he saw me I knew he would say no, even before I could say or answer anything. Every answer was interrupted condescendingly, and he told me I „need to speak German“ just because I said I’m more comfortable speaking in English. I speak fluent German, he just assumed I don’t and never asked or tested my language proficiency. Obviously the deal was off afterwards but I’m glad I didn’t have to work with such a horrible person.", Standard technical questions. Useless to answer though because it will not change the opinion they got from the impression they got from you   ,No Offer,0,Average Interview,ebay,664
