question,offer,experience,difficulty,interview,source
 General computer and technical troubleshooting   ,Accepted Offer,Positive Experience,Difficult Interview,,Google
,No Offer,Positive Experience,Difficult Interview,,Google
 What is one of your strengths?   ,No Offer,Neutral Experience,Easy Interview,,Google
" Can't remember specific questions, though the post-interview writing test had three parts: 1. writing instructions on how to make a PB&J sandwich, 2. writing a summary of Google's products/services, and 3. an editing test   ",No Offer,Negative Experience,Average Interview,,Google
 How do you work in team enviornments?   ,No Offer,Neutral Experience,Average Interview,"Phone screen with recruiter asking about my background and interest. Other questions about work style and a ""case study"" like question asking a hypothetical question about if they were starting a small business, how would I help them shape a marketing plan. Followed by 3 and an additional 30 minute video interviews with various team members. Mostly behavioral questions about past experiences. Received positive feedback but was told the roles were filled internally.",Google
 Tell me about your self   ,Declined Offer,Positive Experience,Average Interview,,Google
 forgot the questions they gave   ,No Offer,Positive Experience,Difficult Interview,,Google
 - standard medium-hard leetcode + behaviorial   ,Accepted Offer,Positive Experience,Difficult Interview,,Google
,No Offer,Neutral Experience,Average Interview,,Google
 Tree traversal question pretty sure I'm not allowed to discuss it.   ,No Offer,Negative Experience,Difficult Interview,,Google
 Previous experience and several programming problems   ,No Offer,Positive Experience,Difficult Interview,,Google
 leetcode medium level. Giving a board where users can find rent rental bike. Find nearest one to the user but the bike should also be closest to that particular user so other users who rent it before the user arrive.   ,No Offer,Positive Experience,Difficult Interview,,Google
 what do you hope to accomplish   ,No Offer,Positive Experience,Easy Interview,"it's ok as long as you have other things going for you like, a way where you can contribute to the company better than another applicant who is trying to apply",Google
 Teach me something in 90 seconds that I'm able to articulate back to you in 30 seconds.   ,Accepted Offer,Positive Experience,Difficult Interview,"The most exciting part of the interview was the cognitive assessment - the questions were thought provocative and helped me understand the culture of Google. For example, the questions focused on teamwork, ability to push forward through ambiguous times and how you can rise up from failures.",Google
,No Offer,Positive Experience,Difficult Interview,Questions kind of lacked clarity though but it wasn't as difficult as I was expecting. Try your best and review data structures and algorithms. Lots of sorting and array for the coding challenge.,Google
 What do you like about google   ,Declined Offer,Positive Experience,Difficult Interview,The process was lengthy.. it was a three day process. I did get selected but I declined.. I am writing this review because Glassdoor won't let me continue further. I am writing this review because Glassdoor won't let me continue further.,Google
 Tell about a hardware product that you like   ,No Offer,Positive Experience,Average Interview,"Apply on line, a phone inter view after one week. phone interview was about 45 minutes and intimidating. On site inter view after that, but didn't get the offer",Google
,No Offer,Positive Experience,Average Interview,Phone interview after submitting online application. I was asked to solve coding problems in two back-to-back one-hour sessions. The interviewers were both very helpful. It was a long time ago so I don't remember any details.,Google
 They asked to check and see if a string was a palindrome or not?   ,No Offer,Positive Experience,Average Interview,"I applied on the careers.google.com website. After a couple of weeks, I received an email to schedule an interview. I scheduled my interview and had it on the phone. After having the interview, I received an email a few weeks later letting me know what their decision is.",Google
,Declined Offer,Positive Experience,Average Interview,"Two back to back phone interviews. First went pretty mediocre, (finished a LC medium, answered complexity questions) and the second went much better, the interviewer and I had a good connection. A week later I was scheduled for a 3rd phone interview to decide the outcome.",Google
 I never had this interview. I am only writing this because glass door is stupid and wont let me go on unless I write something. Let me see what questions are asked.   ,No Offer,Positive Experience,Difficult Interview,,Google
 How would you implement the GO api?   ,Declined Offer,Neutral Experience,,,Google
,No Offer,Positive Experience,Average Interview,coding question. asked two question to be solved in 45 min. Explained the idea and started coding. run a test case by hand to make sure there is no bug.,Google
 A bunch of data structures questions.   ,No Offer,Positive Experience,Average Interview,,Google
 Sum of all elements in an array with insertions and deletions.   ,No Offer,Negative Experience,Average Interview,There were 3 three phone interviews. All of them were scheduled on google drive. The recruiters called me and I had to listen to the question and then code it with them.,Google
 There were no questions in this round.   ,Declined Offer,Negative Experience,Difficult Interview,"I got contacted by a recruiter. She was nice at first and explained to me what opportunities were available. We scheduled a follow-up. About 5min before the call, she sent me an email asking to reschedule it to later in the afternoon. In the afternoon, she never showed up to the call. We rescheduled the call to another time. She missed the call again. I sent her a couple of emails to try to understand what was happening but I have heard from her again. Very unprofessional. Google should demand the same level of professionalism and competence as it does with PMs and Engineers. It was a total waste of my time and a major disrespect.",Google
 What process you follow to manage projects?   ,No Offer,Positive Experience,Average Interview,,Google
 was given a 3 timed coding questions   ,No Offer,Neutral Experience,Difficult Interview,contacted through email for interview.... then took a technical test ... after that was contacted by the recruiter for 3 1 on 1 phone interviews.... didnt get the offer due to not answering in too much details technically,Google
 What is the toughest situation you have been in and able to get out of.   ,Declined Offer,Positive Experience,Average Interview,,Google
 They asked for a situation where I learned the most in failure   ,No Offer,Positive Experience,Difficult Interview,,Google
 I cannot share this information. But the questions are from leetcode hard ones.   ,No Offer,Negative Experience,Difficult Interview,,Google
 One interview was very focused on binary search trees   ,Accepted Offer,Positive Experience,Average Interview,"Three 1 hour phone interviews, each about 75% technical and 25% behavioral/getting to know you. The recruiters did a great job of explaining the process and keeping me updated throughout.",Google
 A question about how to cope a magic cube   ,Accepted Offer,Neutral Experience,,,Google
 asked about my past research   ,Accepted Offer,Positive Experience,Easy Interview,,Google
 Why do you want to work here?   ,No Offer,Positive Experience,Difficult Interview,,Google
 How would you code a game of tic-tac-toe?   ,No Offer,Positive Experience,,,Google
 How to mediate conflict amongst team members?   ,No Offer,Positive Experience,Average Interview,,Google
 Why do you want to join Google?   ,No Offer,Neutral Experience,Difficult Interview,,Google
" Q1: We have a matrix of numbers. If we select a window inside the matrix, what would be the average of the numbers inside that window?   ",No Offer,Positive Experience,Average Interview,"I applied online. Then, a recruiter contacted me to set up a 1-hour interview. The interview process was smooth and the recruiters and the interviewers were nice. I passed the first step to the hiring committee decision process. They inform me about their decision after quite a long time (5 to 6 weeks).",Google
 One thing they asked was for me to go through my resume and explain the background history.   ,Accepted Offer,Neutral Experience,Average Interview,,Google
 Two hard coding questions that you can’t find anywhere on the internet.   ,No Offer,Neutral Experience,Difficult Interview,,Google
,No Offer,Negative Experience,Difficult Interview,,Google
 Questions based on resume and experience   ,No Offer,Negative Experience,Easy Interview,"Standard google process, one phone interview followed by a panel. I didn’t hear back after phone interview. The interviewer was distracted with kids in the background. Stepped away for part of the interview. Missed my responses and follow up questions. Overall a very mediocre experience and questions were all based on resume.",Google
 Coding capabilities on hash tables.   ,No Offer,Positive Experience,Difficult Interview,"Interview consisted of both technical and general cognitive ability questions each being about 2 hours long. Definitly tested your knowledge on web technologies as well as a preferred ""expertise"" being programming, data bases, or infrastructure.",Google
 they asked me to describe an efficient database   ,No Offer,Positive Experience,Difficult Interview,,Google
,No Offer,Neutral Experience,Average Interview,,Google
 The fruits in a basket on leetcode for the OA. The recruiter failed to schedule the phone interview.   ,Declined Offer,Negative Experience,,,Google
 Do you have any questions?   ,No Offer,Positive Experience,Difficult Interview,,Google
 Verify the parenthesis in a string   ,No Offer,Positive Experience,,,Google
 The interview was about a bit manipulation   ,No Offer,Negative Experience,Average Interview,,Google
,No Offer,Neutral Experience,Average Interview,"The interview started with a very brief introduction of me and the interviewer. The interviewer immediately proceeded to ask a question on Tree. He left the question bit ambiguous for me to figure out all the scenarios myself. After some early discussion around the scenarios, we went on to discuss a brute force solution which worked fine.",Google
 There were none as I didn't get an interview.   ,No Offer,Neutral Experience,,,Google
 basic coding questions were asked   ,No Offer,Positive Experience,,,Google
" I received 4 coding questions. Two of them were extremely easy (much easier than most LC problems), and two of them were around the level of LC easy.   ",Accepted Offer,Positive Experience,Easy Interview,,Google
,No Offer,Positive Experience,Difficult Interview,,Google
" Lots of behavioral ""Describe how you would/provide an example of when you did handle <x situation>""   ",No Offer,Neutral Experience,Difficult Interview,,Google
 construct binary tree from pre-order   ,No Offer,Neutral Experience,Average Interview,,Google
 Never made it that far.   ,No Offer,Neutral Experience,Average Interview,,Google
 General coding questions   ,Accepted Offer,Positive Experience,Easy Interview,,Google
,No Offer,Positive Experience,Average Interview,,Google
 How would you describe your weaknesses?   ,No Offer,Positive Experience,Average Interview,Engaging and easy to follow interview process. Scheduling and expectations were all clearly set. The interview itself was fairly straight forward and dealt with working knowledge of Google products and services.,Google
 Name an example of a challenge and how you overcame it.   ,No Offer,Positive Experience,Easy Interview,,Google
 Linked list data structure question   ,No Offer,Negative Experience,Difficult Interview,"Recruiter, phone interview, coding interview, there was also a mock interview on campus with a googler who was an idiot, he was quite rude and condescending, very negative experience overall",Google
 Straight technical questions with regards to data structures and algorithms   ,Accepted Offer,Positive Experience,Difficult Interview,"Was straight forward. 4 technical Interviews and 1 Googleyness. Make sure you practise your codes very well. Hacker rank and LeetCode. Practice, Practice and Practice. Think out loud as you solve the problems. This way if you don't complete the problem at least the interviewer has an idea of your thought pattern, and as you move through the problem you can also gauge whether or not you're moving in the right direction. In fact, most of the interview questions are set up so there’s no “end”. We want to see how you think about complicated problems. The right answer would be nice but it is not necessary – your thought process is more important.",Google
 Favorite product and why; how to design a better shopping app for parents   ,Accepted Offer,Positive Experience,,,Google
 What is your opinion of Donald Hoffman?   ,Declined Offer,Neutral Experience,Easy Interview,,Google
 asked to write the unit test   ,No Offer,Positive Experience,Average Interview,"The recruiter connected to you and asked you to schedule some time for the phone interview. I failed at the phone interview, otherwise it should come a n onsite interview as next step.",Google
 how to find the closest ancestor in a node tree   ,No Offer,Positive Experience,Difficult Interview,"phone interview and then a call with coding test.Pay attention to code, u can find it at leed code where there are examples provided for the codes u can use where examples are provided",Google
 Tell me about your background.   ,Accepted Offer,Positive Experience,Easy Interview,,Google
 Cannot disclose due to NDA   ,Accepted Offer,Positive Experience,Average Interview,,Google
 tell me about your background   ,No Offer,Neutral Experience,Average Interview,,Google
 Find an increasing subsequence of length 3.   ,No Offer,Positive Experience,Difficult Interview,,Google
,No Offer,Negative Experience,Easy Interview,,Google
 What is the most complex travel you've ever organized?   ,No Offer,Positive Experience,Difficult Interview,,Google
 Traverse a matrix in a spiral pattern   ,No Offer,Negative Experience,Average Interview,"I first had to go through an online code screen, and was then scheduled for two back-to-back phone calls with engineers. One of the people interviewing me was rather unpleasant- he dismissed most of the questions I had for him (as a college student, I was very excited to speak to Google engineers) and left a bad taste in my mouth.",Google
" Technical questions, not allowed to answer.   ",No Offer,Neutral Experience,Average Interview,,Google
" Given a binary tree and an integer n, what is the longest path such that the different of subsequent node value is n.   ",No Offer,Neutral Experience,Difficult Interview,"Pretty straightforward questions about trees and recursion, had issues understanding both interviewers due to white noise in the call, but were very supportive during the interview process. Recommend reviewing BFS and DFS.",Google
" As much as I expected standard interview questions, I was surprised to be asked more about the hobbies I mentioned and established common interest.   ",No Offer,Positive Experience,Average Interview,It was done through a video call. I didn't do as well as I expected however the interviewer was kind and understood my nervousness. Gave me some valuable feed backs that'll help me in the long run.,Google
 You see a coworker stealing private information from a server of ours. How would you respond   ,Accepted Offer,Positive Experience,Difficult Interview,Asked various questions about my experience. And gave me situational questions in which I had to draw from my experiences to answer. Additionally they pick your brain on data processes which you should already have done your research on going into the interview.,Google
 NDA (cannot say anything bout the questions) but there are behavioral q's on your resume and then technical   ,No Offer,Positive Experience,Average Interview,,Google
" Received estimation, product, and technical questions. First two were asked within the context of a case. Technical questions were conceptual, probably the most difficult part since I wasn't prepared for those.   ",Accepted Offer,Positive Experience,Average Interview,"Applied thru the returning internship process. Did the phone interview, then the on-site and written assignment 3 weeks later, and then heard back from hiring committee after about another week.",Google
 Doesn't really matter. The questions were not a big deal -excluding one that was so badly phrased that makes me wonder. The questions were simple. The answers they were seeking were the problem.   ,No Offer,Negative Experience,Average Interview,,Google
 How to create a botnet   ,No Offer,Negative Experience,Average Interview,Recruiter reached out after applying on google jobs. Recruiter asked general questions and then set up a technical phone interview with engineer. The technical interview was an hour long. The interview was mainly core security questions and one coding problem,Google
 One of the coding questions: rejection sampling.   ,No Offer,Positive Experience,Average Interview,"Recruiters reached out to me in the job fair and I had the technical interview (about 1 Hr) and virtual online interview (contains 5 45-min interviews) in September. It's my first time interviewing with tech companies for a full-time position. Most of the interview questions are reasonable. However, I didn't quite understand the questions asked by the last interviewer and I knew I wouldn't pass then.",Google
" Study up on data structures and when to use them and why. Also, do not forget about Dynamic Programming.   ",No Offer,Positive Experience,Average Interview,Diversity recruiter reached out to me last month and I completed a survey about 2 weeks ago then I took the coding challenge 2 days ago. Now i just need to set up an interview.,Google
 How do you build relationships with difficult clients?   ,Accepted Offer,Positive Experience,Average Interview,,Google
 String and Graph based Questions   ,No Offer,Positive Experience,Difficult Interview,,Google
 What is your first name?   ,No Offer,Positive Experience,Average Interview,,Google
 What's the difference between privacy and security   ,No Offer,Positive Experience,Average Interview,Three contacts. 1st was just an overview of the interview process. 2nd interview was a basic technical interview. To see if you know something about privacy. 3rd interview was with four different people. Three technical one softskills.,Google
 Why do you want to work at Google?   ,Accepted Offer,Positive Experience,Difficult Interview,,Google
 Analytical and product design questions   ,No Offer,Positive Experience,Difficult Interview,,Google
" Theoretical insights questions, posing what information you should ask for to answer a business problem.   ",No Offer,Positive Experience,Difficult Interview,It was a fair process with straightforward steps and helpful educational program. The resources for reading up on the company culture and interview process were quite helpful. They also gave thoughtful feedback and suggested other roles I’d be a good fit for. I’d definitely consider other roles in the future.,Google
 Role play questions as a prospective business interested in using Google advertising products for the first time.   ,No Offer,Neutral Experience,Average Interview,"Pleasant experience chatting with team members, however the process took 6 months, and after all positive feedback, at the 6 month mark I was not given an offer with little to no explanation or feedback. 6 months of interviewing, completing six 1 on 1 video interviews is mentally draining and exhausting when you're anticipating next steps. HR needs to optimize this experience and take applicant's time and humanity into consideration.",Google
" Talked about project background, and one coding question in 45 minutes.   ",No Offer,Positive Experience,Average Interview,,Google
,No Offer,Positive Experience,Average Interview,,Google
 Two data structure questions for online assessment   ,No Offer,Neutral Experience,Average Interview,,Google
,No Offer,Positive Experience,Average Interview,,Google
 Tell us a little about yourself   ,No Offer,Positive Experience,Average Interview,,Google
 Various types of Medium Leetcode Questions   ,No Offer,Positive Experience,Average Interview,,Google
 The questions asked were similar to the ones on Leetcode.   ,No Offer,Positive Experience,Difficult Interview,,Google
 Case study question - pricing a product.   ,Accepted Offer,Positive Experience,Difficult Interview,"Recruiter screen. Then interview with the hiring manager, finally onsite interview with business partners and team. All interviews were case study based to solve a problem with the exception of the recruiter screen.",Google
,No Offer,Neutral Experience,Difficult Interview,,Google
 what experience do you have?   ,No Offer,Positive Experience,Easy Interview,,Google
" What as per you, is your biggest strength?   ",Declined Offer,Positive Experience,Easy Interview,,Google
 Tell us about yourself and why Google   ,No Offer,Positive Experience,Average Interview,Fairly straightforward. Asked about past experience and motivations for a PM role. Overall no serious curve balls until third round. A few situation-based questions but nothing out of the ordinary.,Google
 NDA - typical coding interview questions   ,Accepted Offer,Positive Experience,Average Interview,,Google
 Phone interview to calculate shortest path for a set of nodes   ,No Offer,Neutral Experience,Average Interview,"Recruiter interview, Phone interview with a software engineer. Fairly straightforward with a lot of materials shared for preparation. The recruiter was in touch throughout the process. She was very helpful in clarifying questions",Google
 LC medium question (C++) on google doc   ,No Offer,Negative Experience,Average Interview,I was contacted by a Google recruiter for a ML software engineer position. I was scheduled with an engineer but he forgot to interview on the date. We re-arranged the time and had a phone interview while coding on Google doc.,Google
 Do you feel you are strong enough to work here? what are your faults.   ,Accepted Offer,Negative Experience,Difficult Interview,,Google
 Explain Google AdWords like you would to someone who doesn’t understand the internet   ,No Offer,Neutral Experience,Difficult Interview,,Google
,No Offer,Positive Experience,Average Interview,,Google
 How many website domains are there in the world?   ,No Offer,Neutral Experience,Difficult Interview,,Google
 The interviewers asked leetcode easy questions.   ,No Offer,Positive Experience,Easy Interview,"Two phone interviews, both asked coding questions. I aced both questions and finished early, but didn't get an offer for whatever reason. Interviewers were really nice however and answered questions to the best of their ability.",Google
,No Offer,Positive Experience,Difficult Interview,"The whole interview process takes 2 to 2.5 months to complete. Google interviews for software developers consist of 5 to 7 interviews in total. This includes an initial phone screen with a Google recruiter, followed by 4 to 6 on-site interviews with different Google employees",Google
 If you had a meeting in an hour and had a lot of unread emails. What would you do?   ,No Offer,Neutral Experience,Difficult Interview,,Google
 Python coding interview asking to extract IP addresses from a log file and sort them by occurrences   ,No Offer,Positive Experience,Difficult Interview,,Google
 How did you get so pretty?   ,Declined Offer,Negative Experience,,,Google
 there is a NDP request   ,No Offer,Positive Experience,Average Interview,,Google
 Can you walk me through a project in your portfolio?   ,No Offer,Positive Experience,,,Google
" What is a linked list? Can you design one (explain components, write pseudocode)   ",No Offer,Neutral Experience,Average Interview,"2 round technical interview with 2 engineers for an internship position. Both were quick and around 45 minutes-1 hour long, completely technical with a few minutes for questions. The interviews were back to back with a few minutes in between.",Google
,No Offer,Positive Experience,Average Interview,First round was HR screening. Second Round consists of a tech interview for one hour. Third round has another tech+behavioral interview. There is a lot of flexibility and recruiters are very helpful. The guidance that they provide on the interview processes was so helpful. This is the only company that never asked for any visa related details.,Google
 How would you perform a breadth traversal?   ,No Offer,Positive Experience,Difficult Interview,The interview was a fairly standard tech internship interview with a lot of very difficult questions about programming concepts and algorithm design. The most difficult part was definitely the abstract questions.,Google
" Experience related to programming, why I start my own company, does google work well in my native country.   ",No Offer,Negative Experience,Easy Interview,"The same position, twice a year into the same team. They never answer if it’s a NO. The interview is so relaxed that one person didn’t switch on the camera, other one sit in a messy t-shirt in the untidy bedroom. And they tried to interview candidates.",Google
 Strategy and growth questions pertaining to the role.   ,No Offer,Neutral Experience,Difficult Interview,,Google
 What's the distance between one ridge of your fingerpad to another?   ,No Offer,Negative Experience,Difficult Interview,Completely technical. All questions about fingerprints. Very unexpected because there were no behavioral questions and only 1 round of interviewing before a decision was made. 2 Engineers interviewed me for low-level role.,Google
" Given a string A consisting of n characters and a string B consisting of m characters, write a function that will return the number of times A must be stated such that B is a substring of the repeated A. If B can never be a substring, return -1.   ",No Offer,Positive Experience,Difficult Interview,,Google
" leet code easy question, I don't remember what exactly it is now. One of the two interviews asked a question from the first 20 leet code question list.   ",Accepted Offer,Positive Experience,Easy Interview,"After submitting the application online, I got scheduled 2 back to back phone technical interviews. Each one is 45 min long, with 15 min break in between. They both start with an easy question and a follow up afterwards, as well as questions about runtime and efficiency.",Google
 find the common elements within two lists   ,No Offer,Neutral Experience,Average Interview,"Contact with hr recruiter, nice , then setup a mock interview that was also good and teaching. Then two interviews in which was asked technical questions. Interviewer wasn't cooperative, questions were vague and hard to understand.",Google
 Resume and your experience in the field   ,No Offer,Neutral Experience,Difficult Interview,"Same as always, contacted through a recruiter, submitted my resume and details. Contacted by HR but didn't hear back quickly since the process is difficult and takes time. I was asked personality questions and some experience questions but that was it",Google
 Algorithm question related to trees and json data structures.   ,Accepted Offer,Neutral Experience,Easy Interview,,Google
,No Offer,Neutral Experience,Difficult Interview,,Google
" No specific questions because of the NDA. They prepare you throughout the process for each step. You can find a lot of advice online. I recommend having 5-10+ stories to tell that exemplify creative thinking, collaboration, problem solving, conflict resolution, and leadership.   ",No Offer,Neutral Experience,Difficult Interview,,Google
 The final round case questions were about Google and role related hypothetical questions. My advice is to know about Google's products and how do they make money. Be familiar with the team/role you're interviewing and the possible tasks your role would work on (You should get some clues during the first round interview).   ,No Offer,Positive Experience,Average Interview,,Google
 2 Easy-Medium LC questions each   ,Accepted Offer,Positive Experience,Average Interview,,Google
" I don't remember the exact questions, but I do remember the critical point is using binary or.   ",No Offer,Neutral Experience,Average Interview,,Google
 what is your favorite google product?   ,Accepted Offer,Positive Experience,Difficult Interview,,Google
 What projects have you worked on before?   ,Accepted Offer,Positive Experience,Average Interview,Submitted my application with essay questions the day the application was released. Was contacted by a recruiter for an interview within 2 weeks. Interview was 2 45 minute interviews back-to-back with a 10 minute break in between.,Google
,No Offer,Positive Experience,Difficult Interview,"6-weeks in a combination of video interviews and panels. Be prepared for many video interviews with a very large number of people at once. At times felt like I was interrupting one of their internal meetings, as there was plenty of side chatter during the interview amongst the panelists",Google
" Tell me how you would make Google Maps, and what technical decision-making you would go through?   ",No Offer,Negative Experience,Difficult Interview,,Google
" Onsite included two standard leetcode questions, a behavioral question, a machine learning question, and a question about my current work.   ",No Offer,Positive Experience,Difficult Interview,,Google
" basic algorithm/data structure, complexity   ",Declined Offer,Neutral Experience,Easy Interview,,Google
 How to detect a circle in graph?   ,No Offer,Positive Experience,Average Interview,"Three rounds phone interview after internal referral, the first question is to implement the quick sort, the second interview is a simple hash problems, third round is to find a circle in graph.",Google
 Tell us about your previous sales experience.   ,No Offer,Positive Experience,Average Interview,,Google
 How Would You Describe Yourself?   ,No Offer,Neutral Experience,,,Google
 Design a class with the given specifications.   ,No Offer,Neutral Experience,Average Interview,,Google
 I was given a case study to role play   ,No Offer,Negative Experience,Average Interview,,Google
 write code to generate iid draws from distribution X when we only have access to a random number generator   ,No Offer,Negative Experience,Difficult Interview,"Sailed through the initial phone interview (a series of technical stats questions) and then moved to a virtual onsite. This was 5 back to back 45min interviews with other employees, and no break in between sessions. With one exception, everyone seemed rushed, unhappy, and totally uninterested in their work. One interviewer was nearly impossible to communicate with bc of echoing sounds on mic and poor English language skills. It was live coding and or doing math in a Google doc for 90% of the time on complex problems that interviewers seemed to expect a quick simple answer for, rather than a discussion of trade-offs under different scenarios. Responses to my follow up questions were generally misleading or unhelpful. The most useless ""brain teaser"" task was to derive the CDF of an exotic distribution I had not worked with before but could simply be looked up in 2s on Wikipedia. This came after three other questions I had already solved. I'm not sure what they're selecting on here but it was a genuinely bad experience and the interview day provided a strong signal that it would not be a good fit for me. Not surprised about the outcome, but it was a real waste of my time and the recruiter provided zero feedback about the rejection because of ""NDA policy"".",Google
,No Offer,Negative Experience,Average Interview,The interviewer was hard to hear over the phone. He asked me about the Google Home and how to improve it. I was anticipating that he would be more conversational and ask more questions; he didnt give me much feedback as I spoke.,Google
,No Offer,Negative Experience,Average Interview,"I received an email from Google approximately 1 week after I submitted my resume. The recruiter scheduled a phone interview for me two weeks out with confirmations. The morning of the interview, the recruiter reached out to wish me good luck, and to contact him immediately following the interview. The interviewer never showed up. I immediately connected my recruiter 15 minutes after the start time with no response. After an hour went by, I connected my recruiter again - no response. The recruiter did not get back to me until the next morning apologizing for his late reply - never apologized or provided an explanation for the no-show. I was rescheduled for later that week. The interviewer did show up this time; however, was very dry. There were no formal introductions, and I was not given an opportunity to provide any information relating to my professional experience. The interviewer went straight into his 4 questions and it was a robotic like experience (which is ironic because some of his questions were based on robots). He kept saying, 'interesting' after each of my answers, and I felt defeated and didn't give much more effort. His approach and the overall experience made me feel like they did not value my time or take my application seriously. As a product manager, user experience is important, and this entire experience has demonstrated to me that Google does not value their candidate experience during the application process.",Google
 How did you deal with a challenging communication scenario?   ,Declined Offer,Positive Experience,Average Interview,"I was first connected via LinkedIn and asked to do an initial interview with the manager (team manager, not hiring manager). This was followed by a technical presentation to full team consisting of 30 min of presentation followed to project-related technical questions.",Google
,Accepted Offer,Positive Experience,Average Interview,,Google
 1. Write a code to generate random normal distribution and plot it.   ,No Offer,Negative Experience,Average Interview,,Google
 What happens when you type google.com into a browser.   ,No Offer,Positive Experience,Difficult Interview,,Google
 Where do you see yourself in 5-10 years?   ,Declined Offer,Positive Experience,Difficult Interview,"Coding intensive and challenging. They really press your knowledge of software engineering a lot. Sometimes you just gotta write review. sometimes you just gotta do interviews, some times you just gotta write reviews.",Google
,Declined Offer,Positive Experience,Average Interview,,Google
"I believe I'm under NDA so I can't say exact questions, but watch the movie ""The Internship"" with Vince Vaughn and Owen Wilson. It's VERY similar to that. They test ""Googlyness"" which apparently I didn't have. The questions (other than the coding interview) weren't that difficult from a technical perspective...but the situational questions were difficult. They'd ask something like ""what if you were sitting in the middle of a street",No Offer,Negative Experience,Difficult Interview,"I interviewed with Google in July 2020 and it was a very ""different"" experience. It really started with my recruiter. In my opinion, the recruiter usually sets the tone for the entire interview experience and unfortunately he was mostly non-responsive. I'd ask simple questions and he would just disappear and would never answer me. Also, although ""coding"" wasn't in the job description, they usually give any technical position (and this was mostly program management and partner relationship development) a CODING INTERVIEW. I haven't coded since college, however they will give it to you anyway. Also, they rescheduled THREE of the interviews the day of the interview which made things a bit frustrating. Overall it wasn't an enjoyable process at all and although Google is revolutionary technology, I realized that I didn't want to work there.",Google
 Any questions about Google?   ,No Offer,Negative Experience,Easy Interview,"I applied to a specific sales role, and received an email from a Google recruiter about 3 days later requesting an interview. On the 12 minute phone call, the recruiter was upfront in telling me I was not qualified for the role I applied for, or for any role she recruits for, and there is not a role that is open that fits my 5 years of Technology experience, but that she would like to know if I had any questions about Google or GCP, and to tell her what kinds of roles I would be interested in, if and when a role opens up in the ambiguous future. It was a waste of time. I prepared for my interview, I was excited for my interview, and I believe the call was not valuable to myself or to Google.",Google
