question,offer,target_variable,difficulty,interview,source,length,text
,Declined Offer,1,Average Interview,"Headhunted by the Hiring Manager on LinkedIn then reached out by the recruiter. Contrary to all the crappy reviews, Andrea the recruiter I worked with was super professional and positive. She responded in under 2d every round and always gave an overview on what to expect. Everyone I met with were very professional and pleasant though there were hints of growing pains around cross-cultural / global collaboration and scale. No BS questions. The final round was a presentation to leadership. Unfortunately their PMM role is nested under Operations instead of Product so the pay was quite measly compared to the typical promising companies.",Tiktok,640,headhunted hiring manager linkedin reached contrary crappy review andrea worked super professional positive responded every always gave overview expect everyone met professional pleasant though hint growing pain around cross cultural global collaboration scale final presentation leadership unfortunately pmm role nested operation instead product pay quite measly compared typical promising company
 Q. How important is a company's culture?   ,Accepted Offer,1,Difficult Interview,"Generally Positive. I wasn't sure what to expect at first but as conversations developed I was able to learn more about the role, company and culture. The interviewers were polite, professional and informative.",Tiktok,210,generally positive sure expect first conversation developed able learn role company culture polite professional informative
 went over resume and asked coding questions   ,No Offer,1,Average Interview,"Interviewer was nice and first he asked about projects on my resume and then he started the coding problems. The coding platform was easy to use and the coding problems was about retrieve itinerary given flight tickets, it is a medium level coding problem. And then after that, I asked several question about the company. End of the process.",Tiktok,341,nice first asked project resume started coding problem coding platform easy use coding problem retrieve itinerary given flight ticket medium level coding problem asked several company end
 Walk me through your background   ,No Offer,0,Average Interview,"The most unprofessional interview process I've ever been apart of. The process took well over a month just to not hear anything back following the final interview despite following up. The job may be worth it if you have the patience to stomach potentially having to wait weeks before hearing from HR between interviews and having to go through a final interview with a hiring manager in another country who will provide zero beneficial information/context in regards to the roll and seems generally uninterested in speaking with you at all the entire time. I was pretty excited when i was reached out to by a head hunter and a HR representative for this role, but after going through such a discombobulated & unprofessional interview process i'm not that upset because it really changes how you view a company when you see how poorly they treat their prospective candidates.",Tiktok,875,unprofessional ever apart took well month not hear anything back following final despite following job may worth patience stomach potentially wait week hearing hr go final hiring manager another country provide zero beneficial information context regard roll seems generally uninterested speaking entire time pretty excited reached head hunter hr representative role going discombobulated unprofessional not upset really change view company see poorly treat prospective candidate
,Accepted Offer,1,Average Interview,"My interview was not too short and not too long. It was an initial Zoom call with the hiring manager, then another one with the HR recruiter afterwards. From there they set up time with a Team Lead an Account Manager to go into some of the more specific questions about being an Account Manager at TikTok. Overall the process took about 2-3 weeks.",Tiktok,347,not short not long initial zoom call hiring manager another hr afterwards set time team lead account manager go specific account manager tiktok overall took week
,No Offer,0,Easy Interview,"The interviewers and recruiters were all very friendly and professional. Had rounds of interviews mostly about my past experience and received very positive feedbacks. Then nothing for months. No offer, update, rejection whatsoever. Pinged the recruiter several times but heard nothing from them. Quite disrespectful to candidates who spent hours preparing for the interview.",Tiktok,375,friendly professional mostly past experience received positive feedback nothing month offer update rejection whatsoever pinged several time heard nothing quite disrespectful candidate spent hour preparing
 What interests you about TikTok?   ,No Offer,0,Easy Interview,"I reached out to a recruiter over LinkedIn, had a good phone screen and then was asked to schedule a 24 hour period to do a business case. Received the case, spent eight hours working on it to make it good and then got rejected over email with no feedback a week later.",Tiktok,269,reached linkedin good screen asked schedule hour period business case received case spent eight hour working make good got rejected email feedback week later
 How to design a database giving you some conditions? And decorator of Python.   ,No Offer,0,Difficult Interview,Needs lots of fundamental computer science knowledge. And need to pay more attention on computer networking and database. You need to prepare everything you learned. Hoping everyone can get an offer during this hard time.,Tiktok,221,need lot fundamental computer science knowledge need pay attention computer networking database need prepare everything learned hoping everyone get offer hard time
,Accepted Offer,1,Average Interview,"3 round tech interview. You can have next round interview only if you got positive feedback from last round interview. The process of each round: First self-intro, then mainly focus on solving coding problem, finally ask interviewer question. After pass 3 round tech interview, go to team match stage. Then offer call.",Tiktok,318,tech next got positive feedback last first self intro mainly focus solving coding problem finally pas tech go team match stage offer call
,Accepted Offer,1,Average Interview,"The interview process went quickly. I had an exploding offer elsewhere so I got through the whole process in a matter of six days. I had an initial screen with the recruiter, and then an interview with the immediate manager for the position and a last meeting with the Head of Technical Recruiting.",Tiktok,298,went quickly exploding offer elsewhere got whole matter six day initial screen immediate manager position last meeting head technical recruiting
 Why do you feel you’re a good fit for this role?   ,Declined Offer,0,Average Interview,"Slow, disorganized, poor communication. I can tell they are understaffed and experiencing some growing pains. I’m sure the Trump ban has a lot to do with the overall uncertainty right now. I can tell the recruiter meant well it just took too long to get clarity.",Tiktok,262,slow disorganized poor communication tell understaffed experiencing growing pain sure trump ban lot overall uncertainty right tell meant well took long get clarity
 Leet code medium question regarding Stacks   ,No Offer,1,Average Interview,I applied through Linkedin and a recruiter reached out. I had an initial 20mins call with the recruiter after which I was scheduled for a 1-hour interview with someone from the team.,Tiktok,182,applied linkedin reached initial min call scheduled hour someone team
 They ask general situational job related questions and also have a case study round.   ,No Offer,1,Easy Interview,"The interview process has been smooth, and the recruiter - both the external recruiter and internal recruiters - have been helpful, but everything halted now due to the uncertainty surrounding the company as a result of Trump. Will see what happens.",Tiktok,249,smooth external internal helpful everything halted due uncertainty surrounding company result trump see happens
 How do you deal with failure?   ,Accepted Offer,1,Average Interview,"The overall experience is positive. The recruiters of Tiktok are great to work with. I had several rounds of interviews, mostly about my past experience. The interviewers are friendly and professional.",Tiktok,201,overall experience positive tiktok great work several mostly past experience friendly professional
 What’s important for you   ,No Offer,0,Easy Interview,"First interview was via video zoom with a hiring team member. I felt good about it afterwards (I usually have a good sense when things don’t go well). I thought I’d at least make it to the next round... but after two weeks of hearing nothing, even though I followed up, I was just sent a rejection email today... good luck if you’re interviewing!",Tiktok,346,first via video zoom hiring team member felt good afterwards usually good sense thing go well thought least make next two week hearing nothing even though followed sent rejection email today good luck interviewing
 Conversations were very casual and conversational with good questions. Do your homework and make sure you are brushed up on TikTok and their ad offering. Received an offer a couple days later.   ,Accepted Offer,1,Average Interview,"I was reached out to by a TikTok employee who is their recruiter (from the US) and had a phone interview with her next day. I would try to not use a 3rd party recruiter if possible (as many do tend to be from China and difficult to coordinate with). She then set up 3 back to back interviews for about 30 min each - with different members of the brand partnerships team. (A seller, creative lead and finally Central lead). Received an offer a couple days later.",Tiktok,461,reached tiktok employee next day would try not use rd party possible many tend china difficult coordinate set back back min different member brand partnership team seller creative lead finally central lead received offer couple day later
,No Offer,0,,First phone screening then you get to pick the job from their word document. You wait for the first technical round of interview but don't get a response. When you follow up they tell you they are not moving forward with you but keeping resume on file. I can't hold my laugh getting rejected without giving interview. The process is broken at tiktok,Tiktok,349,first screening get pick job word document wait first technical get response follow tell not moving forward keeping resume file hold laugh getting rejected without giving broken tiktok
 talk about a project you did in current company   ,Declined Offer,1,Average Interview,"There are 4 rounds of interview in total(with designer, lead, PM, HR) with HR screening as the last round. Each round could take about 45min to 1h. Interviewer are pretty nice.",Tiktok,176,total designer lead pm hr hr screening last could take min pretty nice
 Multiple questions around metrics/data   ,Accepted Offer,1,Average Interview,"I was reached out to by a member of the coordination team who promptly scheduled an initial call, followed by several Zoom video interviews with the team in Los Angeles and Beijing.",Tiktok,181,reached member coordination team promptly scheduled initial call followed several zoom video team los angeles beijing
,No Offer,0,Easy Interview,"I applied online to three different roles about a week ago. The very next day, someone reached out to coordinate a video interview with me and someone in HR. I was told this was going to be a video interview; however, the interviewer did not make any effort to chat via video with me. Instead, we had a conference call via Zoom. The interviewer was based in Taiwan and the second she joined the call, I could tell it was going to be a terrible chat. She was very unenthusiastic and did not give me a better understanding of the role. She sounded like she was sleepy or occupied with something else. She asked me to tell her about my experience and I did, which I have to say, I honestly think I'm beyond qualified for the position I applied for. She asked if I had any questions for her and I was super confused because she hadn't told me anything about the company other than it's a start up company. She seemed super confused about the questions I was asking: (1) What is the culture like (2) What do you like about working at TikTok (3) Do you feel like TikTok offers opportunities to develop/grow their employees. I cannot stress this enough, this was the worst call I'ved had with a recruiter. The very next day, I received a survey to complete about my overall experience which I completed. The email stated that all answers would be confidential and not shared with the recruiting team. I filled it out honestly and critiqued my so-called video interview/interviewer. The next piece of communication I received from TikTok is that I was not being considered for the next round.",Tiktok,1584,applied online three different role week ago next day someone reached coordinate video someone hr told going video however not make effort chat via video instead conference call via zoom based taiwan second joined call could tell going terrible chat unenthusiastic not give better understanding role sounded like sleepy occupied something else asked tell experience say honestly think beyond qualified position applied asked super confused told anything company start company seemed super confused asking culture like like working tiktok feel like tiktok offer opportunity develop grow employee cannot stress enough worst call ved next day received survey complete overall experience completed email stated answer would confidential not shared recruiting team filled honestly critiqued called video next piece communication received tiktok not considered next
 Explain previous PMM roles you've done and how relevant that is.   ,No Offer,0,Easy Interview,"Overall, the process was very messy. HR asked simple questions but did not share the interview process or expectations. These were all Zoom interviews. There were weeks that went by without an update or response. I ultimately declined to continue to the process because this is always an indicator of how the company is run. So maybe I could have been on the path to an offer or not but after round 2, I said I don't think this is the role/company for me. I had other opportunities come my way that I opted to interview that were more put together and I felt more comfortable with.",Tiktok,581,overall messy hr asked simple not share expectation zoom week went without update response ultimately declined continue always indicator company run maybe could path offer not said think role company opportunity come way opted put together felt comfortable
"Basically no questions were asked. I had to mine to get anything out of the interviewer who either didn't like her job, or me. I assume the former as she didn't spend enough time to get to know me at all. I pressed her about leadership as the job was ""Lead"", supporting and mentoring others on a team. She finally asked what my management style was.   ",No Offer,0,Difficult Interview,"I was informed one day before the interview was scheduled for a specific time in the evening, due to interviewer being in Taiwan. I wrote back but did not receive a reply. I prepared and dialed into the meeting. The interviewer was 5 minutes late and bored, unenthusiastic, cold and unfriendly. She did not have any prepared questions to speak of, did not want to get to know me, or care about my experience. She asked me to ask her questions, which I did but she answered vaguely, the same apathy she had throughout the interview. The whole thing lasted no more than 10 minutes. Maybe this is how TikTok conducts business but in my opinion, it was a major fail. I'm not sure what the recruiter could hope to achieve from such a poor performance. Beware if you are sent an email for a last-minute Zoom interview.",Tiktok,812,informed day scheduled specific time evening due taiwan wrote back not receive reply prepared dialed meeting minute late bored unenthusiastic cold unfriendly not prepared speak not want get know care experience asked answered vaguely apathy throughout whole thing lasted minute maybe tiktok conduct business opinion major fail not sure could hope achieve poor performance beware sent email last minute zoom
" There was a particular emphasis on an enthusiasm for TikTok, combined with focus on cultural fit and relevant experience in programmatic ad sales and account management   ",Accepted Offer,1,Difficult Interview,"There were two preliminary interviews with the hr recruiter, one interview with the hiring manager, one interview each with two future team mates, a wrap up interview with recruiter, final meeting for offer.",Tiktok,207,two preliminary hr hiring manager two future team mate wrap final meeting offer
 Tell me about your experience.   ,No Offer,0,Easy Interview,"Applied online and received an email asking to speak via video conference at a specific time that worked for them (it was late in the evening my time). There was no consideration of my availability. Once on the call they seemed unprepared, disinterested and asked me only perfunctory questions. When I asked about the role and goals for the position the answers were vague and unhelpful. At the end they said they would follow up with me but never did. Based on this experience I do not want to work at TikTok.",Tiktok,510,applied online received email asking speak via video conference specific time worked late evening time consideration availability call seemed unprepared disinterested asked perfunctory asked role goal position answer vague unhelpful end said would follow never based experience not want work tiktok
 Tell me about a time where you had to make a tough decision.   ,Accepted Offer,1,Easy Interview,"I applied online through linkedin. I was contacted by a recruiter a day or two later. I had another call with the hiring manager, and then I had a 1.5 hour zoom interview with 3 people in leadership positions (zoom due to covid and the fact I am not located where this job is). The interview process took a little less than 2 weeks total. Overall a positive experience! I would reccomend coming to the interviews prepared with examples/situations that grew you/you were able to improve a process.",Tiktok,496,applied online linkedin contacted day two later another call hiring manager hour zoom people leadership position zoom due covid fact not located job took little le week total overall positive experience would reccomend coming prepared example situation grew able improve
 scenario walk-throughs   ,No Offer,1,Difficult Interview,"Email, HR interview, individual interview with team member, 4 interviews with Managers and other team members. It was one of the best, well-planned, well-coordinated interviews I've ever had, even though I was dissapointed not to receive an offer.",Tiktok,247,email hr individual team member manager team member best well planned well coordinated ever even though dissapointed not receive offer
 What kinds of ads have you seen on TikTok?   ,No Offer,0,Easy Interview,"Went for an initial phone interview with a recruiter. Ultimately, they needed me to relocate, which I wasn't able to do. Like many of the interview reviews here, it wasn't the most positive experience. The recruiter seemed less interested in if I would be a good fit for the company than in asking questions about my TikTok use. As a newer company who is expanding so quickly, I get the impression that there is a lack of clear leadership.",Tiktok,439,went initial ultimately needed relocate able like many review positive experience seemed le interested would good fit company asking tiktok use newer company expanding quickly get impression lack clear leadership
 Tell me about your success rate in the past year.   ,No Offer,0,Easy Interview,2 zoom interviews. The second one was the final one with 2 interviewers. (ps. they frequently changed interview time by emails) I had met 3 of them to interview me. Everything went well until the last interviewer who was not as professional as I expected. She told me in the first 3 mins that they would not hire me but the official rejection notice would be sent after their meeting. Then she asked me a few easy questions and done. Just brush me off...,Tiktok,454,zoom second final frequently changed time email met everything went well last not professional expected told first min would not hire official rejection notice would sent meeting asked easy done brush
 Random questions about the process in my current company.   ,No Offer,0,Easy Interview,"I just found it curious every time a negative review is posted, suddenly appears more 10 positive reviews talking about how great the recruiters are. My experience was: 5 interviews and never ever had any feedback. Unprofessional at least.",Tiktok,239,found curious every time negative review posted suddenly appears positive review talking great experience never ever feedback unprofessional least
,Accepted Offer,1,Easy Interview,"Straightforward, quick, communicative process. The time from a recruiter reaching out to getting the offer was just about 3 weeks long. 4 interview rounds - initial phone screen to gauge interest, second round also brief chat to explain experience, third speaking with multiple future team members (very conversational, seeing if you are a fit for the team), final chat to discuss salary expectations. The process was transparent and feedback was given regularly along the way! Reading reviews on here I got nervous, but that was not my experience WHATSOEVER.",Tiktok,559,straightforward quick communicative time reaching getting offer week long initial screen gauge interest second also brief chat explain experience third speaking multiple future team member conversational seeing fit team final chat discus salary expectation transparent feedback given regularly along way reading review got nervous not experience whatsoever
" Background, PM questions, why you are interested in TikTok   ",Accepted Offer,1,Difficult Interview,I got to meet the relevant people on the product team as well as the engineering leads I ended up working with. Fantastic to collaborate with them over practical questions.,Tiktok,172,got meet relevant people product team well engineering lead ended working fantastic collaborate practical
 How would you rank your excel skills?   ,No Offer,0,Easy Interview,"I was contacted via Linkedin by an external recruiter about my interest in open positions at TikTok. Spoke to the external recruiter, and was then asked to take a Microsoft Excel skills test. Moved onto the next stage, which was to speak with an internal recruiter. Here's where things get weird. I had scheduled a time with the external recruiters (everything was done only through the external recruiters) to speak with the internal recruiter. The day/time of the interview, the internal recruiter doesn't call. Waited 30 minutes (the length of the interview), and nothing. Contacted the external recruiters asking about why no one called, and apparently there was some major HR crisis. They are insistent on rescheduling the 30-minute interview for the same day later in the evening. Internal interviewer calls me, and the call lasts maybe 10 minutes. Didn't even bother to apologize for the inconvenience. Then goes on to ask the most generic questions that the external recruiters already asked. You could tell this internal recruiter just did not care about talking to me one bit. Waited a week and heard nothing back so I contacted the external recruiters about the status of my candidacy. Originally, they were super responsive (within minutes sometimes), and this time I heard nothing. That was over 2 weeks ago. Reading everyone else's comments, it seems like a common occurrence that when they're done with you they just ghost you - even if they contacted you first. I understand that the company is growing rapidly, but a bit more transparency would be greatly appreciated.",Tiktok,1585,contacted via linkedin external interest open position tiktok spoke external asked take excel skill test moved onto next stage speak internal thing get weird scheduled time external everything done external speak internal day time internal call waited minute length nothing contacted external asking called apparently major hr crisis insistent rescheduling minute day later evening internal call call last maybe minute even bother apologize inconvenience go generic external already asked could tell internal not care talking bit waited week heard nothing back contacted external status candidacy originally super responsive within minute sometimes time heard nothing week ago reading everyone else comment seems like common occurrence done ghost even contacted first understand company growing rapidly bit transparency would greatly appreciated
 Tell me about yourself and why TikTok.   ,No Offer,0,Easy Interview,"Received an email from the recruiter to set up a video call with a team member. Connected with the interviewer the same week. Had a great conversation with the interviewer and we both laid out substantive, mutual next-steps in the interview process and it sounded like an offer would be made at the end and to prepare to join the company. Ultimately, the recruiter did not offer any follow-up and I followed up with the recruiter a week later. The recruiter asked a few questions in that reply email and then in a subsequent email ultimately ended the application process. Felt like the recruiter dropped the ball and had no interest or ability to manage the application. Felt like if I could just continue speaking to teammates without the third party recruiter, things would have gone better. Or, if the team members decided to change their mind and move into a different direction, the recruiter could have communicated that in order to hold my interest for future applications. But she didn't care and ultimately did not execute her role well.",Tiktok,1047,received email set video call team member connected week great conversation laid substantive mutual next step sounded like offer would made end prepare join company ultimately not offer follow followed week later asked reply email subsequent email ultimately ended application felt like dropped ball interest ability manage application felt like could continue speaking teammate without third party thing would gone better team member decided change mind move different direction could communicated order hold interest future application care ultimately not execute role well
 Sell us a package as Disney+.   ,No Offer,0,,"I've never seen a more disorganized recruiting team. The hiring manager cancelled morning of, but they still wanted the interview to take place. The people I ended up meeting with weren't even the people it was supposed to be with. They didn't even really have positive things to say about the role, team, or working for a Chinese company. After a hectic scramble to organize the thing, got a canned response from a general email saying it wasn't moving forward.",Tiktok,462,never seen disorganized recruiting team hiring manager cancelled morning still wanted take place people ended meeting even people supposed even really positive thing say role team working chinese company hectic scramble organize thing got canned response general email saying moving forward
 Describe your background   ,Accepted Offer,1,Average Interview,Was contacted by a recruiter through LinkedIn. Also submitted application through TikTok career page. Had a phone interview with recruiter a week later. Was emailed in regards to a face to face interview a few days later. Face to face interview set up within a week. Wonderful office space. Was contacted by recruiter within an hour of leaving the interview.,Tiktok,358,contacted linkedin also submitted application tiktok career page week later emailed regard face face day later face face set within week wonderful office space contacted within hour leaving
 SQL technical interview   ,Accepted Offer,1,Average Interview,"The interview process was positive. Pretty similar to the other tech company's hiring process. HR screening, hiring manager phone interview, technical interview, onsite with multiple rounds. I really like the Los Angeles new office. And the thing that is the most attractive is the fast-growing business, which I believe will help me to grow and boost my career advance.",Tiktok,370,positive pretty similar tech company hiring hr screening hiring manager technical onsite multiple really like los angeles new office thing attractive fast growing business believe help grow boost career advance
,No Offer,0,Average Interview,"Had an initial call with individual on the team who wanted to discuss my background and presented a mini-case. Question was around what are 5 key metrics I would report to leadership in order to understand the health of the business. A week or so later, I was told they wanted to schedule another call with an individual based in China. The call was rescheduled several times (last-minute) and we finally landed on a late evening call - to which the interviewer showed up 15 minutes late. Discussion was mostly centered around my background and another mini-case. After this, I never heard back and my very reasonable emails to the coordinator (1 week and 2 weeks after interview) were all ignored and never heard anything back.",Tiktok,728,initial call individual team wanted discus background presented mini case around key metric would report leadership order understand health business week later told wanted schedule another call individual based china call rescheduled several time last minute finally landed late evening call showed minute late discussion mostly centered around background another mini case never heard back reasonable email coordinator week week ignored never heard anything back
 Why TikTok?   ,No Offer,1,Difficult Interview,"Long interview process even for an entry level position. Phone screen, video call, 2 onsite interviews. Only made it through the phone screen and the video call. Everyone I spoke to was nice.",Tiktok,191,long even entry level position screen video call onsite made screen video call everyone spoke nice
 How would you change the interview process to provide a better candidate experience?   ,Accepted Offer,1,Average Interview,"I interviewed at the Los Angeles Office. The interview process took approximately 1 week. I applied online but did not receive an interview invitation. I then reached out to the recruiter via LinkedIn to express my interest in the position. After 2 weeks or so, she was able to see my message and invited me for a first-round interview. She was super friendly and professional. After the first round phone interview, I was invited to an ""onsite interview"" to meet with four members of the HR team. Every interviewer was very engaged and was able to answer my questions about the role and the company. Overall a very positive experience.",Tiktok,636,interviewed los angeles office took approximately week applied online not receive invitation reached via linkedin express interest position week able see message invited first super friendly professional first invited onsite meet four member hr team every engaged able answer role company overall positive experience
 Why do you want to join TikTok?   ,Accepted Offer,1,Average Interview,My interview process was very quick. I got an offer from TikTok within about 2 weeks. I was also well informed before each phone call or Zoom meeting.,Tiktok,150,quick got offer tiktok within week also well informed call zoom meeting
 How did you learn about us and this job?   ,No Offer,0,Difficult Interview,"My worst interview experience ever. The interviewer who was super snobbish delayed 10 minutes, at the end of the interview she almost directly closed her laptop closed to my face without even thanking. Just the hr person who called me from Berlin was super polite, punctual and helpful and at the end, one week later they just sent a readymade template to me instead of at least a polite constructive feedback. It has been a gigantic waste of time for me.",Tiktok,455,worst experience ever super snobbish delayed minute end almost directly closed laptop closed face without even thanking hr person called berlin super polite punctual helpful end week later sent readymade template instead least polite constructive feedback gigantic waste time
,No Offer,1,Average Interview,I got an HR interview first. It’s nice and smooth with information about the company. It’s aimed at getting a general idea of the interviewee. The interviewer was nice and responsible.,Tiktok,184,got hr first nice smooth information company aimed getting general idea interviewee nice responsible
,No Offer,1,Average Interview,"After submitting an application, the coordinator emailed to schedule an interview with the recruiter. Then there was one SQL question (24 hours) exam. Then I spoke to a Data Analyst on the team. Both were positive experiences. I knew I did not make through because there were supposed to be 2 more interviews based on the email of the coordinator. The team is small (4 people) and they work with all operations, media, product, ...",Tiktok,431,submitting application coordinator emailed schedule sql hour exam spoke data analyst team positive experience knew not make supposed based email coordinator team small people work operation medium product
" Video interview with a technical manager about how to retrieve data from big data platform, and how to design a Datawarehouse for a specific situation   ",No Offer,1,Difficult Interview,"Video interview with a technical manager. The question is very technical and practical. You need to have a solid understanding of big data-related concepts. Such as HDFS, data warehouse...",Tiktok,188,video technical manager technical practical need solid understanding big data related concept hdfs data warehouse
 see above -- very standard and fair!   ,Accepted Offer,1,Average Interview,"After submitting my resume through LinkedIn, I was contacted by HR to set up a skype call with team members and leaders who are based in China. The interview consisted of 4 video calls in total, where i was asked to talk about myself, why I want to work for the company, what I could bring to the role, etc.",Tiktok,307,submitting resume linkedin contacted hr set skype call team member leader based china consisted video call total asked talk want work company could bring role etc
 I was asked absolutely no questions   ,No Offer,0,Easy Interview,"Unprofessional beyond any norm. I was interviewed for Tik Tok's office in Warsaw. I found out the hiring manager already had a preferred candidate choice, somebody from its previous work place. Just needed 2-3 more candidates involved in the interviewing process to validate the already made decision. I was asked absolutely no questions during the interview, it was all a monologue delivered by the hiring manager, not even a dissimulated curiosity for my work experience. Unprofessional to the max",Tiktok,499,unprofessional beyond norm interviewed tik tok office warsaw found hiring manager already preferred candidate choice somebody previous work place needed candidate involved interviewing validate already made decision asked absolutely monologue delivered hiring manager not even dissimulated curiosity work experience unprofessional max
 Where do you see yourself within 2-5 years?   ,No Offer,1,Average Interview,It was quick and process was very clear. People were really looked very experienced on what they were doing. I liked the interview process. It was a nice experince for me.,Tiktok,171,quick clear people really looked experienced liked nice experince
