interview,question,offer,target_variable,difficulty,source,length
The interview process took too long and I was denied employment after being offered the position due to background check online. Walmart wasted my time and efforts for no reason. Do not waste time on this job., Tell me about yourself   ,Accepted Offer,0,Average Interview,walmart,209
"I applied online and received an interview a few days after applying. The location was the Home Office in Bentonville. The two ladies that interviewed me were nice but I was really offended by some of the comments made during the interview. They were explaining to me the fact that Walmart has so many opportunities and then went on to state that I could be a janitor, work in the mailroom, or even work for a cafe within the office. Now take in mind that I have an MBA and I’m interviewing for a role that requires at least a bachelor’s degree or higher. Yet it was like they were suggesting to me that I should consider positions that barely require a GED. Not sure what that was all about. I don’t want to jump to the conclusion that they were racist but they definitely need a few HR courses in business etiquette.", If you could have the perfect job at Walmart what would it be.   ,No Offer,0,Easy Interview,walmart,818
"It was long and useless. I was very disappointed. Then I was not reimbursed for my costs, which were minimal, but still. They should have covered all costs upfront as opposed to requiring a reimbursement request.",,No Offer,0,Average Interview,walmart,212
3 interviews; not very difficult. Case study is used. Behavioral questions are asked. Pretty standard interview process. Very disorganized. Process was slow. Long long delay in finding out whether offer is extended., Why do you want to work here?   ,No Offer,0,Average Interview,walmart,215
Walked aground store asked 2 questions didn’t really listen to answer acted like it was an inconvenience. Manager pushed in house pronation we hitch doesn’t appear to be true . Walmart only interested in willing labor positions also no 1 on 1 training provided, Can u show on time   ,Accepted Offer,0,Easy Interview,walmart,260
Phone interview. Interviewer never came on the scheduled time. Recruiter has no courtesy to reply to me back of why the interviewer never came . This happened 2 times. This reflects walmart culture.,,No Offer,0,Average Interview,walmart,198
Short and easy if you take initiative and go in after you apply. Just ask to speak to a manager about a sit down interview. Make sure you have your availability very flexible., What is one time you went above and beyond to help a customer   ,Accepted Offer,0,Easy Interview,walmart,175
it was very easy and outgoeing spoke to the manager that was interviewing me and a day later i got the job it was very informal and annoying to talk to a person i did not really want to talk to and has no idea how to work as a overnight stocker, why do you want to work at walmart   ,Accepted Offer,0,Easy Interview,walmart,244
"Applied online and got called for an interview two weeks later. The interview with the department manager lasted about 5 minutes, including a brief tour of the work area. They said they would call me by the end of next week, but they didn't.", Why do you want to work for Walmart?   ,No Offer,0,Easy Interview,walmart,241
"Got in contact with a Senior Director in charge of the Global People Analytics group. He put me in touch with their team lead. The phone interview went okay, a good technical discussion in my opinion. But what was off putting the most was the job functions described was not anything like the original job description I applied to. An obvious disconnect with HR and teams. Also, the job was posted for an Analyst and the functions were more in line with what a data scientist would be performing. I don't know if this is just a way for Walmart to not pay people what they deserve, but I don't know many 2-3 year Analysts with advanced experience in NLP and AI frameworks. Worst part of it is, I followed up with the lead... twice... and no response. Highly unprofessional.", Why do you want to work for Walmart?   ,No Offer,0,Easy Interview,walmart,772
"Completely impersonal. and they want you to sacrifice all your morals and kindness for your fellow employees and customers to corporate. You genuinely have to give answers to the assessment that will make you feel like a horrible person, and they sneer at any sign of compassion."," If a newer employee is working slower than you, do you tell your supervisor, help them learn how to work faster, or give them time to adjust to the new job?   ",No Offer,0,Average Interview,walmart,279
"Very informal, quick, wasn't informed of everything I needed. The person I interviewed with was new to the position. And wasn't there for any of the training. Overall just wasn't a positive experience what so ever.", Why do you want to work for Walmart.   ,Accepted Offer,0,Easy Interview,walmart,214
It was barely an interview. They asked me one question and then offered me the job. They also didn’t seem like they cared about my answer at all really. Easiest interview I’ve ever had., Tell me one time where you went above and beyond for a customer or coworker   ,Accepted Offer,0,Easy Interview,walmart,185
"I passed the assessment on the application for this position, I actually have experience in. I then got an email stating I was selected for an interview (red flag probably was the fact that they scheduled the interview super far out, I waited a month for this) Just to be stood up.", No real questions because the associate at HR didn't ask me to leave my name or phone number. All she said was the HM was out and to call tomorrow. Then hung up on me.   ,Declined Offer,0,Difficult Interview,walmart,281
"I applied online. I was contacted by phone by the hiring manager and asked for best times to talk. The hiring manager said that they will be doing the interview by phone. Once on the phone for the interview, I was told there were two other managers listening and that they would be taking notes and possibly ask questions. When the interview was over, the hiring manager said that they would be comparing notes and would get back to me in a few days. After the interview, I had to reach out to them to find out I was not selected for the job. I later contacted the store that they were hiring for, and was told that the decision for who they were going to select for the position was already made before I even interviewed."," Describe a time when you had to accomplish a goal. What was the goal, what steps did you take and what were the results? (behavioral based - looking for STAR method response)   ",No Offer,0,Average Interview,walmart,723
Totally out of box. They were expecting a person from completely different background skills. Mine was totally different. It was a direct onsite interview which lasted only for an hour . Waste of time for both the company as well as for me., Backend automation process   ,No Offer,0,Average Interview,walmart,240
Informal and simple. You sit down with an assistant manager and they ask you very simple questions. They need more employees than the amount that apply because turn over is so bad., Why should we hire you?   ,Accepted Offer,0,Easy Interview,walmart,180
"very quick and filled with the pressure of being hired, it was barely an interview. I was forced to work on the weekends too. it was very fast and at the time I had other places I had interviews for.", why do you want to work for Walmart?   ,Accepted Offer,0,Easy Interview,walmart,199
"This was actually the 3rd attempt applying for this type of position. Each time went differently, the 1st being the worst. On the first application for the role, was stood up twice and given ludicrous excuses before calling in late. The main question asked was how to design a self-driving car, which I felt was a trap given I actually own one and worked in Los Angeles where the usual answer to that question would not suffice. On the second application, the recruiter was great but the hiring manager admitted to being a rookie and had a thick accent (much worse than mine) that made it difficult to understand her. The third application went okay but I think it didn't fly because the hiring manager wanted answers more hypothetical than what I was giving. I think because Walmart Ecommerce is still in growing/catch up stage your luck will be hit or miss.",,No Offer,0,Average Interview,walmart,859
First is a phone coding interview. Then the recruiter helped me to set up the onsite interview. It is a 4-round interview. Three are coding and one is about BH questions. It tooks more than 2 weeks to get the result. I asked for some feedbacks twice but no one replied to me anymore., Design singleton pattern   ,No Offer,0,Average Interview,walmart,283
"Quick and easy, talked to three of the managers on how I'd be a good fit. Also answered questions on how I'd react in customer related situations and if I was capable of handling the job.", How did you get so good looking and ripped?   ,Accepted Offer,0,Easy Interview,walmart,187
I talked with the hiring manager who told me they had no record of me even applying for the job so I showed him my glassdoor printout of when I applied and the manager stated to me that next time just apply to the company website online., When did you apply   ,No Offer,0,Easy Interview,walmart,237
"It started with putting in your phone interview availability. We set a date and before our interview time, the recruiter said something came up. we rescheduled again and he didn't call me and told me the week after there were technical difficulties. He called me saying he'll reply to my email to reschedule and I emailed him first with my availability but he never got back to me.", Tell me about yourself   ,No Offer,0,Average Interview,walmart,381
Joke. You have a beating heart? they'll hire you. They're pretty desperate to hire. If you get an interview just dress nice. Don't worry about them calling your past jobs bc they don't. Just make up some BS & you're in.," Tell me about a Time you did bla bla bla, kinda questions   ",Accepted Offer,0,Easy Interview,walmart,219
"Brief experience, was told that there would be a lot of training and flexibility in the work place which was a complete lie. I was never trained at all other than watching a video with a group of people working in completely separate areas.", Experience I had   ,Accepted Offer,0,Easy Interview,walmart,240
I was scheduled for an interview at 10am. I made it there at 9:45 and watched as the assistant manager and customer service manager Walked by multiple times but doing anything. They finally call me back at 10:26am. They don’t make eye contact or anything and just go through the process. Very unprofessional to be completely honest., Why do I want to work at Walmart?   ,Declined Offer,0,Easy Interview,walmart,332
"I was on time, the interviewer was late. She would ask me a question and then look at her watch like she had somewhere else better to be. I changed my child's daycare pick up time to meet with her.", Did you work a cash register at your last job.   ,Declined Offer,0,Easy Interview,walmart,197
"The interview process was long and frustrating due to having a very disorganized and lazy recruiter. It consisted of a recruiter interview, a technical interview, and I was then flown out for an on-site interview. It was here that things got interesting. I was supposed to be interviewing for a Advanced System Engineer Cybersecurity position, but was, instead, interviewed for an Identity Access & Management developer position. I did my best, but I'm not a developer. When asked about the change in positions, they wouldn't answer the question. It cost me PTO (which I don't have much of) and money. Everyone was friendly and professional, but bringing me out to interview for a job to which I did not apply was not acceptable."," On a technical level, how do you incorporate biometrics into a system?   ",No Offer,0,Difficult Interview,walmart,729
They take you in a quiet room and look at your application and then at you and scribble something on the application and then look at you again and scribble something else..., He asked me what I would do to go out of my way to help someone.   ,Accepted Offer,0,Easy Interview,walmart,174
boring stupid long process tiring needs improvement took long to gwt a call back not wanting to work poor attitude i didnt ike it so ion think yall will anyways, tell about yourself   ,Accepted Offer,0,Difficult Interview,walmart,160
Most negative experience ever. Walmart does not treat candidate with any respect. They bring 20+ people onsite every Friday. The VP guy will do a presentation talking about how Walmart is going to beat amazon. Then each candidate will match with a interviewer and go over the resume and some easy tech question. The interviewer is very racist and he is only going to hire people from his own race., Some question about navigation   ,No Offer,0,Easy Interview,walmart,397
Hiring process was quick. Placed application and interview got setup for the next day. Completed the interview and was offered job on spot but wanted to wait until I got an answer to how much the pay was. Ultimately I declined the offer because the pay was too low and they weren’t willing to budge. I was heavily recruited for the position and was told a set amount I’d make and that changed but If you are actively recruiting a candidate be prepared to pay them what they are looking for otherwise don’t waste their time., Tell me about a time where you had went above and beyond to help a customer   ,Declined Offer,0,Easy Interview,walmart,523
Quick and easy interview. You wait near one of the big doors to the back of the store and a manager will come to bring you into an office individually., Why do you want this job?   ,Accepted Offer,0,Easy Interview,walmart,151
"Lack of organization and clarity around the process, disconnect between the hiring managers and the recruiting team. Hiring manager ended up taking over scheduling to move things forward, which worked much better until the end."," Which of several open roles for which we are currently hiring are you most qualified for, and why?   ",No Offer,0,Average Interview,walmart,227
"You get two interviews on the same day, they ask you your idea of good customer service, about your employment history, schedule preferences and things of that nature. The interview process was welcoming but my later experiencing with working at this location was terrible.", What is an example of a time you provided excellent customer service?   ,Accepted Offer,0,Easy Interview,walmart,273
"This is not a design job. This is a printing job with minimal design needed. The interviewers made it very clear that it was in a warehouse, had weird hours and is a tedious job.", What’s one problem that you helped a coworker solve?   ,No Offer,0,Difficult Interview,walmart,178
"I applied in store. Got a call a couple weeks later to interview. The interview was fairly easy. The managers were friendly. Got the job a couple weeks later. Be prepared to answer the basic interview questions. Example, greatest strenghts, goals in five years...etc.", What are your greatest strenghts   ,Accepted Offer,0,Easy Interview,walmart,267
Process as short and sweet. Staff were very unprofessional and rude to each other. The whole experience was unpleasant and I did not take the job offer. I walked out of that place and never came back. I do not reccommend anyone work there. Its like modern day slavery., What times are you available to work?   ,Accepted Offer,0,Easy Interview,walmart,268
"Went to an exclusive hiring event which had a nice atmosphere and networking opportunities. After the second interview the hiring managers completely ghosted me. The least they could’ve done is tell me I didn’t get the job. Waste of time, effort, and energy. Thought this company was supposed to be professional.", Why Walmart   ,No Offer,0,,walmart,312
"Submitted resume then had an phone interview , then have an two person panel interview , then had an interview with the Market manager all interview questions were scripted by using your typical ""STAR"" questions.", Give me an example for when you.....   ,Accepted Offer,0,Average Interview,walmart,212
"I applied online. A recruiter reached out to me within a couple days, which was my initial phone interview. I ended up interviewing with the director who Id be reporting to 5 days later via skype. I then had to email the recruiter every 4-5 days for the next 6 weeks only to be told the hiring manager hasnt made a decision. After 6 weeks of getting the run around (never got a no), I stopped emailing the recruiter."," If you had two tasks equally as important but could accomplish one, what would you do?   ",No Offer,0,Average Interview,walmart,416
They will feed you lies about how great the company is and how much they love their job and how Walmart is one big happy family when in reality everyone is just out to get each other it’s so sad don’t show your a good worker they will get rid of you I now it doesn’t make sense, They will only ask you one question. Explain a time when you have Webt out of your way to help someone   ,Accepted Offer,0,Easy Interview,walmart,277
"Applied for multiple positions. Either no response, decline with not interaction, or took 6 weeks for an interaction. This process is much too long and leaves seekers wondering if the process is working."," Competency based questions - leadership, judgement, etc.   ",No Offer,0,Difficult Interview,walmart,203
"Getting an interview is almost a guarantee of employment. They only call in people that pass the assessment. You answer generic ""what would you do"" questions. Tell them what they want to hear, and the job is yours.", Describe a time you went out of your way to help someone.   ,Accepted Offer,0,Easy Interview,walmart,214
It was a joke. No one cared. I wanted to go home and cry afterwards. Please try to find good people who care. Have a nice day. Thank you, My name   ,No Offer,0,Difficult Interview,walmart,136
"Long, dragged-out. Interviewers seemed uninterested and inconvenienced. They spoke to me for 30 minutes each and made me wait another 6+ weeks before telling me in the generic email that they did not choose me for the position."," ""ux question"" Tell me what should be included on the side of this web page to improve profits give me anything you think of   ",No Offer,0,Average Interview,walmart,227
"Walmart labs was using a recruiting company to get candidates into interviews. There was no phone screen. All I did was one in-person interview and that was it. I was shuffled into a room with a very tired disgruntled employee who asked me 1 extremely difficult logical type of question and when I couldn't answer he treated me like a moron. I asked him for a solution to the problem and he was incredulous that I asked, despite me admitting I couldn't figure it out. He then proceeded to answer the question incorrectly himself (after thinking about it after the interview his answer was wrong). Would not want to work with someone like this."," You have 25 electronic horses, you don't have any way of measuring time. You have a racetrack with 5 lanes so that you can race the horses against each other. What is the least number of races required to find the top 3 fastest horses?   ",No Offer,0,Difficult Interview,walmart,643
"Only one round of interview with some stupid questions, even the interviewers don't have the strong technical sense. One round behavioral question then you can get the offer. The campus recruiting is so rude to the talent by giving the top CS school's student lowball salary. And no room to negotiate. The interaction with the recruiter is so bad compared to other big tech companies. No respect to the talent even they are fortune 1.", All of them are behavior questions.   ,Accepted Offer,0,Easy Interview,walmart,434
"Applied online; manager left a voicemail for me. I called back and he sounded bewildered and wanted to clarify that I was applying for the frozen foods position. I am a female, but I have a name which is usually a man's name. He had heard my voice on my voicemail message and had expected a man, I'm convinced. I went in for an interview the next day and I could tell from the moment he saw me that he was annoyed I was a woman. I am not heavy-set or elderly and am perfectly capable of doing the job, but he had clearly already made his mind up. I found him to be pretty rude. He asked me only one question, then said he wanted to see how much I could lift. Took me to the back room, spent 10 seconds showing me the freezer, never bothered to see what I could lift like he said he was going to do, then ushered me out of there. He then asked if I wanted to work in the deli, to which I said no. I was really disgusted by the whole experience.", When have you gone above and beyond for a customer?   ,No Offer,0,Easy Interview,walmart,943
"Was contacted by a recruiter. Recruiter asked some screening type questions then gave me a 'take home' code challenge to build two UI screens with framework of choice. I was asked to do an interview with an engineer, but when I had to reschedule I was told this would not be a problem then never heard from anyone again.", Demonstrate basic filter/map/reduce type transformations given an example string.   ,No Offer,0,Average Interview,walmart,320
Saw them interview folks who could not finish a sentence in English and hire them they hired folks from other countries that could not READ English they force me to then train these people and not pay me for that then treated them much better than me, If a customer gets upset what do you do   ,Accepted Offer,0,Average Interview,walmart,250
"I did a interview twice for this position, the first time they interviewed me in September after the interview i found out from my brother who works there that they weren't even hiring for the position. Next time the interviewed me was on October 9th. During that time again they interviewed me for a stocking position but they had already offered someone else the job, but said they would call me and let me know of any openings because I told my interviewer that I was willing to take any job they had available, except cart pusher but he said they would let me know if anything pops up and so far I haven't heard back.",,No Offer,0,Easy Interview,walmart,621
"They interview is going to go wel because they hire anybody. They will literally be nice but don’t trust upper management. All of them two faced. If you choose this job, make sure you outside life not busy because they don’t care.", How will you add to this company?   ,Accepted Offer,0,Easy Interview,walmart,230
"Very easy, called Walmart to see my application status and they set up a interview right away, interview was easy, asked a few questions then they asked me for my I’d and told me to go home and wait for a email to accept my orientation .",,Accepted Offer,0,Easy Interview,walmart,237
Month long background check. Because of a misdeamanor from 2013. By the time my background checked out the original position they offered was closed. I ended going in and interviewed with another department and was offered part time employment instead of the original full time position, Availability   ,Declined Offer,0,Easy Interview,walmart,286
Worst interview I’ve ever been too. They were an 1 hour 1/2 late for there own interview. I new it was a bad sign and I should have walked away...,,Accepted Offer,0,Easy Interview,walmart,146
"Panel of 3, In a very small room. Friendly outwardly, but seemed to be looking down their noses and judging, as if their mind was made up before the interview. Did not really listen to my answers, misterpreted my answers."," Last question, Name one of my weaknesses   ",No Offer,0,Average Interview,walmart,221
"I called for an interview. They schedule me for an interview. I come to the interview and had to wait 20 mins for someone to interview me but the assistant manager never showed up. so I had to reschedule but when I called the manager again, he never reschedule me and he said he’ll see what he can do with my application and said “ok bye” and never called me back. How unprofessional!", What’s your availability?   ,No Offer,0,Easy Interview,walmart,384
"3 people interviewing me at the same time,. 2 in front of me 1 on my right side. small room and even smaller table, Then we went in to an hour long interview question and answer form and when i was finished i was shown around the area i would be managing and how the process currently ran.", Name a time when you saved your company money. and how you were able to do this? and how i could come up with one of the ways in which i was able to do this for my company.   ,Declined Offer,0,Difficult Interview,walmart,289
First you fill out an application online and then you speak with the department manager. Then You speak with the assistant manger and then you speak with the store manager. After that you possibly get hired., Why do you want to work for Walmart?   ,Accepted Offer,0,Easy Interview,walmart,207
Simple didn't take long to get the position. Did most of it over the phone. Really don't meet your leads until the day you start working so that's rather disconcerting., What's your experience?   ,Accepted Offer,0,Easy Interview,walmart,168
"They hadn't read my resume, and were interviewing me for a position I hadn't applied for. The two people interviewing me must've been new to the interviewing process entirely. If you're looking for something easy, this is the place.", What hours are you available to work?   ,Declined Offer,0,Easy Interview,walmart,232
Group interview that consists of thirty people. You interview with two store managers and then if you are selected are called back and let known that you were selected.,,Accepted Offer,0,Easy Interview,walmart,168
"A complete joke. When reviewing applications, if you don't have completely open availability, you will be avoided, not professional at all, questions asked are ridiculous, and if you have ever worked for the company before, you better hope they took you out of the system under the right reason code or you will not be reconsidered.", Tell me about a time you provided great customer service.   ,Accepted Offer,0,Easy Interview,walmart,332
"Easy and quick, barely asked any questions. Just asked where I went to School for my education and how I liked it. Should have asked more questions. Only asked if i can work on weekends which I said yes to. They also asked if i can work atleast 40 hours per week. I was hesitant to say yes but i did and ended up working 40 hours every week i was assigned to do so.", Where do you go to school? Can you work on weekends?   ,Accepted Offer,0,Easy Interview,walmart,365
"i was interviewed by two managers everything was ok according to them.i was asked to do a UA & went immediately UA was clean. i started my computer at home for a background ck in two days it was completed by the company of their choice. I called walmart & was put on hold for ten minutes+ not good business practice Iwas waiting for pat that is in charge of the department, never heard a word from him or anyone else. in my past experience with employers I have never been treated like walmart has done Bottom line is a customer/applicant should always be respected no matter what the outcome is."," my experience & being on time for work. acceptance of the pay offered,hours&days of work desired.   ",Accepted Offer,0,Average Interview,walmart,596
"Lady came in and mumbled some of the questions on a piece of paper, checked her phone and let me have the paper to answer the questions myself. I'm pretty sure she knew they were going to hire anyone because I was informed that the CAP2 team was half the size it should be. Someone on my team worked 12 days in a row and we never met our goals because we never had enough people.", What was one time you had to help 2 customers at once   ,Accepted Offer,0,Easy Interview,walmart,379
I applied online and within a week they wanted me to come in for an interview. I wasn't really interviewed. They asked me a few questions and I was hired. Unless you plan on working as CAP II for only a summer then I would not recommend it. The managers are always blaming you even though CAP II are the hardest workers in the entire store. I was also harassed by another CAP II team member while I worked there which didn't make the experience any better., Why do you want to work at Wal-Mart?   ,Accepted Offer,0,Easy Interview,walmart,456
"Onsite interview - The overall interview experience was not good. couple of interviewers dialed in for interview, couple of folks knocked interview room to talk to interviewer in between.",,Declined Offer,0,Average Interview,walmart,187
"I applied online and within an hour of applying, I received a phone call from Walmart asking me to stop by for an interview. My interview lasted about 2 hours in which two different managers asked me questions about myself. I took a drug test that same day. A couple of days later, I returned for training (several hours on the computer) and began working.", What hours are you available to work?   ,Accepted Offer,0,Easy Interview,walmart,356
"i called they took me asked my times, I called they said i was hired did paper work. Worked the next week. Not hard, just want to see your schedule", times   ,Accepted Offer,0,Easy Interview,walmart,147
"I graduated college, and I applied to every Walmart within a 100 mile radius of me. The first Walmart to call was in Pocomoke City, Maryland. Over the phone I was offered a management training program, but upon interviewing I was offered a full time grocery position where I would intend to move into Assistant Manager.",,Accepted Offer,0,Average Interview,walmart,319
"I got called in for a interview and it went very well, they made it seem like I had already gotten the job. She told me she would call me Monday...Monday comes and no call so I called them on Friday and he told me she was no longer there so they had got a new hiring manager. Well I wait another 4 days and call them and he says they decided to go with someone else. I thought this process was very unprofessional and they all need to be fired there from so called management. This was in south Boston Virginia Walmart by the way!", Why do you think we would benefit hiring you   ,No Offer,0,Difficult Interview,walmart,530
"They called to set up an in-person, in-house, interview. A panel of 3 managers interviewed me. They seemed like they were happy with my interview AND they paid me my hourly wage (as an already existing Walmart associate) during the time that I spent interviewing. HOWEVER, they notified me of my rejection; stating that I didn’t utilize the STAR technique/method of interviewing. ALSO, I discovered that the person who got the job over me was some girl with a Bachelors in physical therapy from BGSU. Yet, I have a Bachelors in Business Administration from The Ohio State University, specializing in operations and logistics. Not to mention that I had been a Walmart employee more than twice as long as the candidate who got the job offer. ON TOP OF THAT, I later found out that they had 7 of these positions available within our facility, yet they couldn’t afford me not one of those positions.", Tell me about a time where you had to complete several tasks in a short amount of time?   ,No Offer,0,Average Interview,walmart,895
"The hiring manager Luntzyk had a video chat with me after that they send a coding challenge after that never heard from them , after a lot a series of stern email for wasting my time heard that they did not like the code.", Provided a coding challenge for some lazy loading of a scrollview   ,No Offer,0,,walmart,221
"The interview process was pleasant and thorough. It is 100% customer service and team based. There is a face to face with two people from management. If the interview goes well, they will go over multiple available positions and which one they think best suits you. It usually takes one day for them to reach out with an offer.", Tell me about a customer experience at work?   ,Accepted Offer,0,Easy Interview,walmart,327
The interview was very informal. They only ask one question that really has nothing to do with the position that I was applying for. There really wasn't an opportunity to explain what I have to offer for the position.," Name a time when you went above and beyond for a customer, associate, or anyone outside of the workplace?   ",No Offer,0,Average Interview,walmart,217
Have to go twice and meet two different people. They never tell you the production quotas and lied about the weight of the boxes. Also they wanted me to do background and drug test, Where you worked for before and how long   ,Accepted Offer,0,Easy Interview,walmart,180
"The person responsible for the interview didn't bother to show up, another manager had to do it. He was cold and distracted. The whole thing lasted maybe 5 minutes. I knew from how everyone was acting that they wouldn't offer me a job. Just filling a quota I guess."," Name a time that you went above and beyond for someone in your past? Co-worker, personal, family.   ",No Offer,0,Easy Interview,walmart,265
"They ask some questions like where do you see yourself in 5 years, or something off the wall question which is about normal, Followed by computer training that is as usual long and boring.", where do you see yourself in 5 years.   ,Accepted Offer,0,Easy Interview,walmart,188
I got a call the day after I put in my application to interview for a store opening. The person who interviewed me was the person that ended up being my Assistant Manager. He was kind and respectful the entire time. At the end of the interview I got a job offer and negotiated pay., What would interfere with your weekly schedule.   ,Accepted Offer,0,Easy Interview,walmart,281
Phone call interview and occasionally a panel with 5 to 10 questions based on scenarios. Some of the questions were repetitive in nature but always based on your past work experiences., Give a time you went above and beyond for a customer.   ,Accepted Offer,0,Easy Interview,walmart,184
"Waiting on the interview to take place took forever... Even though it was short, quick and to the point, they took absolutely way too long. But I really wanted the job so I stayed anyway.", Can you show up on time everyday from 2-11 p.m.?   ,Accepted Offer,0,Easy Interview,walmart,187
"I applied online in February, again in March, and again in April. I never heard back from the employer... At all. Not even to say I didn't get the job. It was a very frusterating process. I thought they would be helpful and a fair job, but I guess not.", Where I previously worked?   ,No Offer,0,Difficult Interview,walmart,252
Campus Interview where I was given a case challenge from a logistics engineering summer intern. 3 case studies. but only had to do one. They spent a lot of time going over their role., Describe your resume. How well do you know the skills what is a value   ,No Offer,0,Easy Interview,walmart,183
"The interviewer was nonchalant about the whole process and basically ignored my questions regarding the job. Waste of time, waste of effort in applying, and I would definitely not apply here again.", Do you have any experience with this position?   ,No Offer,0,Average Interview,walmart,197
"Was left in the ""Under Consideration"" status on the website for 3 months. I completed ALL assessments and the website said I would be informed if I was eliminated from consideration. Currently STILL reading ""under consideration"" but job posting has disappeared and no one ever called, eMailed, or otherwise messaged. I know people are busy but I gave up my time to apply and do the assessment testing. A form letter ""Thank You for Applying, ..."" would have been better than nothing. Would not re-apply after this experience.", Wish I knew !   ,No Offer,0,,walmart,524
Canned questions !! No real interaction with interviewer. It was clear she was only going through the motions to cover her HR requirements. Consideration for prior years of service was not given nor was the level of skills and knowledge., Years of experience   ,No Offer,0,Difficult Interview,walmart,237
"They basically just read out of A book on what they expect of you, and had a manager that has been there for 25 years talk yo us about his work experience. (Waste of time.) Then, we had to learn how to cashier by watching videos and answering questions.",,Accepted Offer,0,Easy Interview,walmart,253
They called me 8hours after I did my application and scheduled and interview. Very short asked a few questions and I was hired on the same day after my background check came back I was good to go I began work the next week., Why do you want to work at Walmart   ,Accepted Offer,0,Easy Interview,walmart,223
"No show by the interviewer on the first day. Lack of communication between recruiter and interviewer. Interview was rescheduled for another day. Walmart claims to be ""just looking for basic knowledge"" but even after you answer correctly their rejection tells me their requirements are diffferent.", Algorithms   ,No Offer,0,Easy Interview,walmart,296
"STAR interview. The interview was done in stages, each was a panel interview with predetermined questions. There where three interviewers and each would take turn asking questions. Each question had follow up questions if you didn't answer it sufficiently. All questions where asked as is on the interviewers sheets and they didn't deviate from the process.", Tell me about a time that you had to do something that was outside of your area of expertise?   ,Declined Offer,0,Easy Interview,walmart,357
"Very short, asked me a couple questions about my personality, gave me the job very quick. Hiring manager was on her phone the whole time I was talking to her.", Q: what’s one time you did something for someone else?   ,Accepted Offer,0,Easy Interview,walmart,158
the interview process isn't bad. they ask you a few questions and offer you a job on the spot. an interview is a group less than 12 people. its personnel which is HR and an assistant manager., why do you want to work at Walmart?   ,Accepted Offer,0,Easy Interview,walmart,191
"The interview was not a long process. The interviewer asked how I heard about the job, and what views I had about the company. Do you have open availability to work the position you applied?", How did you hear about the job? What are your views of the company? Why do you want to work for the company. Do you have open availability to work the position you applied?   ,No Offer,0,Easy Interview,walmart,190
"it was good and very professional. We sat and talked and had cupcakes, we also talked about tv shows and movies. Then we talked about going out of town on weekends because that is what our families like to do.", They did not ask any personal questions   ,No Offer,0,Easy Interview,walmart,209
Interview are easy. They ask basic questions and you answer to your best ability. They do want a college degree for management. Once you take the job you have to do a drug test and background check. Overall very easy., How do you handle an upset customer?   ,Declined Offer,0,Easy Interview,walmart,217
