question,offer,target_variable,interview,difficulty,source,length,text
 what was my responsibility at previous job? what can you contribute?   ,Accepted Offer,1,"Normal interview level with introduction, previous job background, knowledge on eCommerce business. My expectation at work if I get offered. The atmosphere was pretty relaxing and interviewers were quite friendly.",Average Interview,Shopee,213,normal level introduction previous job background knowledge ecommerce business expectation work get offered atmosphere pretty relaxing quite friendly
" What did you do in your past job, and how can you apply what you've learned from it to this company   ",Accepted Offer,1,"After submitting my application, HR called me a month after. There was a phone interview first before the actual personal interview at Shopee HQ. The same person who called me was also the one who interviewed me, and apart from him was the manager of the team I was gonna be assigned to.",Easy Interview,Shopee,287,submitting application hr called month first actual personal shopee hq person called also interviewed apart manager team gonna assigned
,No Offer,0,"It took me more than 4 months until an invitation for an ""interview"". When I arrived, i was asked to waif and about 30 mins after the scheduled time, all the candidates for the same position were gathered in a room to do a test, a math test. It was a mathematical question combined with elements of physics and you have to know the formula to complete the question. There were no extra papers given, no calculator and you are not allowed to write anything on the question paper. Only 30 minutes was given for this test eventhough the paper initially stated 45 minutes. The HR said that no points will be deducted however it does not seems to be so. Only people that passed the test are being interviewed while the rest did not have anymore chance to prove themselves.",Difficult Interview,Shopee,767,took month invitation arrived asked waif min scheduled time candidate position gathered room test math test mathematical combined element physic know formula complete extra paper given calculator not allowed write anything paper minute given test eventhough paper initially stated minute hr said point deducted however not seems people passed test interviewed rest not anymore chance prove
,Declined Offer,0,I was invited to come to Shopee office at Jakarta to be inyerviewed by HR and then continued the process to user interview. The HR interview was a little bit late than the time schedule and i had to wait around 60 minutes since there was urgent meeting for the interviewer,Average Interview,Shopee,272,invited come shopee office jakarta inyerviewed hr continued user hr little bit late time schedule wait around minute since urgent meeting
,No Offer,1,"Had to do a writing test and a behavioural interview. The writing test consisted of writing top 10 coolest things to purchase on Shopee. Then afterwards, there will be a Zoom interview with the SEO manager who will assess your behaviour and fit for the company.",Average Interview,Shopee,261,writing test behavioural writing test consisted writing top coolest thing purchase shopee afterwards zoom seo manager ass behaviour fit company
 First tell me about yourself   ,Accepted Offer,1,"Phone interview with HR first then direct interview with the cat managers. both interviews were quite fast, within 30 minutes, i think the phone interview was shorter and the hr person was very friendly",Average Interview,Shopee,202,hr first direct cat manager quite fast within minute think shorter hr person friendly
,No Offer,1,Overall good experience. The interviewer were really good and the whole process was really fast. So you better prepared with your CV knowledge and learn basic psychological concepts. Make sure you are prepared with your own questions.,Average Interview,Shopee,234,overall good experience really good whole really fast better prepared cv knowledge learn basic psychological concept make sure prepared
,Accepted Offer,1,"Received a call from recruiter about the upcoming group interview. The group interview consist of 10 people, a basic interview question, work background and all. The one who passed the group interview will be having an interview with hiring manager then the one who passed the interview with hiring manager will be having a test/assestment to be done. Afterwards, if you pass the test, you will be having a post-interview feedback. Week after, they will let you know if you got the position or not.",Average Interview,Shopee,498,received call upcoming group group consist people basic work background passed group hiring manager passed hiring manager test assestment done afterwards pas test post feedback week let know got position not
 What are your skills / interest.   ,No Offer,1,Very friendly and efficient process. The interviewer was detailed in sharing the various roles open for hiring in the organisation and would recommend the areas which your skills best fit the organisation.,Average Interview,Shopee,205,friendly efficient detailed sharing various role open hiring organisation would recommend area skill best fit organisation
 past experience and job scope for previous internship.   ,No Offer,0,"hr recruiter was very professional and screening phone call with her was great. however, the interview with a manager was one of the worst interview experiences ever. this manager made me feel so disrespected as a candidate and did not conduct the interview in a professional manner.",Average Interview,Shopee,283,hr professional screening call great however manager worst experience ever manager made feel disrespected candidate not conduct professional manner
 Tell me more about yourself   ,Declined Offer,1,"HR Manager was friendly and provided information before the interview took place. There was a better understanding of the happenings and the overall reputation of the company at present. The questions were as expected (i.e. tell me more about yourself, why are you applying for Shopee, etc. )",Average Interview,Shopee,292,hr manager friendly provided information took place better understanding happening overall reputation company present expected tell applying shopee etc
 What makes you applied shopee   ,No Offer,1,At first hr will contact you to ask for your available time slot. Then first round is with hr phone interview about 30 minutes. Then you need to take a test. After that you have to go for another round of interview with the team.,Average Interview,Shopee,229,first hr contact available time slot first hr minute need take test go another team
,No Offer,1,"For the HR interview, there will be 1 interviewer with 8 candidates in the same meeting room via Zoom. The interviewer will asked several questions and we answered it one by one. After asking some questions, she will explain about BD jobdesc dan gave us some time to ask some questions. She asked in English but it’s fine if you want to answer in Bahasa",Average Interview,Shopee,353,hr candidate meeting room via zoom asked several answered asking explain bd jobdesc dan gave time asked english fine want answer bahasa
 Q: What is the difference between optimistic and pessimistic locks?   ,No Offer,0,"1 coding test and 2 technical interviews. The coding test had 2 questions, and they were easy and medium difficulty, They were about heaps and double-ended queues. During the interview, there was a question on writing an SQL query and command line applications. Overall, the interview questions were much more difficult than the coding test. In the second interview, there were communication barriers because I could not speak mandarin well.",Difficult Interview,Shopee,441,coding test technical coding test easy medium difficulty heap double ended queue writing sql query command line application overall much difficult coding test second communication barrier could not speak mandarin well
 The recruiter didn't ask any work-relevant questions so I have nothing to say.   ,No Offer,0,Took less than 10 mins after waiting for more than a half-hour. The recruiter seemed very tired. She was working with her laptop while I introduce myself and didn't even give a glance. She didn't ask any work-relevant questions.,Average Interview,Shopee,228,took le min waiting half hour seemed tired working laptop introduce even give glance work relevant
,Accepted Offer,1,"First, I did an interview with the HR representative online in a group. After that, I received an email that I passed the interview and got an invitation for user interview on the same day.",Easy Interview,Shopee,189,first hr representative online group received email passed got invitation user day
 Unable to disclose interview questions   ,Declined Offer,1,"Online assessment followed by 2 rounds of interviews. One interviewer in the first round, and one interviewer in the final round. The interview is quite easy, make sure you know your stuff.",Easy Interview,Shopee,189,online assessment followed first final quite easy make sure know stuff
 they asked about the work experience based on your resume   ,No Offer,1,"I searched the career website. I applied online and waited for two days. After, the HR contacted me for an interview . The interview lasted around 20 minutes via phone call.",Easy Interview,Shopee,173,searched career website applied online waited two day hr contacted lasted around minute via call
 What have you done during MCO? What is this job about if you work during MCO? Explain it in more details   ,No Offer,0,"Phone call interview to ask about what you did during MCO and what do you understand about the role you applied, what do you think this role is about mostly not related to yourself",Average Interview,Shopee,180,call mco understand role applied think role mostly not related
" Tell me about yourself, Why Shopee? Where do you see yourself in 5years?   ",No Offer,0,"Heard back over a month after applying, went through 3 rounds of interviews didn't make it to the last round. Tedious process for an entry-level position. Standard interview questions not too hard. Recruiters were pleasant, hiring manager didn't seem to be interested, felt like they already had an answer.",Easy Interview,Shopee,306,heard back month applying went make last tedious entry level position standard not hard pleasant hiring manager seem interested felt like already answer
 How would you troubleshoot using the OSI layer?   ,No Offer,1,"They have a very extensive hiring process, I had to go through multiple interviews for an entry-level position. However, the process for my case was fast, the interview intervals happened in the span of a week or immediately the next day.",Average Interview,Shopee,238,extensive hiring go multiple entry level position however case fast interval happened span week immediately next day
 What are your expectations of what you will be doing?   ,Accepted Offer,1,"Apply through website, get an invitation for online math test, Immediately in the afternoon after the test i got an invitation for HR interview, Wait for 2 weeks until a user interview. It was challenging and very hard competitor all from reputable university. But it was a good experience. So glad i got accepted.",Average Interview,Shopee,314,apply website get invitation online math test immediately afternoon test got invitation hr wait week user challenging hard competitor reputable university good experience glad got accepted
 What are the things you are looking for in a company?   ,Accepted Offer,1,"Its only three weeks for me before I got hire. HR Initial Interview. After that, if you pass, interview with the Finance Manager and if qualified another final interview. Then wait a week, if you will get an offer",Difficult Interview,Shopee,213,three week got hire hr initial pas finance manager qualified another final wait week get offer
,Accepted Offer,1,"Overall process took 3 weeks. HR was fast and responsive throughout the whole process. There was 1 online assessment, then 2 technical interview round. Coding qns was of moderate difficulty compared to other interviews that I've been to. There was some Databse, O.S and Network-related questions too so make sure to read up on that.",Average Interview,Shopee,332,overall took week hr fast responsive throughout whole online assessment technical coding qns moderate difficulty compared databse network related make sure read
 What are some of the projects that you have done?   ,Accepted Offer,1,"Submit an online application form on their website. After about 2-4 weeks, received an email to complete a python and SQL test. After the test, There was a phone interview with hr on general questions and period of availability. Then there was a face-to-face interview with the hiring manager. Then an added second round face-to-face interview with the hiring managers again.",Average Interview,Shopee,375,submit online application form website week received email complete python sql test test hr general period availability face face hiring manager added second face face hiring manager
 How would you figure out the issue with a specific category?   ,Declined Offer,1,"Interviews scheduled pretty fast, recruiters and interviewers were great. Recruiter was prompt to answer questions. Interviewed through google hangouts within a week. Role was not exactly what I expected, but was cleared up with hiring manger.",Difficult Interview,Shopee,243,scheduled pretty fast great prompt answer interviewed hangout within week role not exactly expected cleared hiring manger
 Do you know how Shopee makes money   ,No Offer,0,"It was 2 rounds, the first round was the phone call with the HR. The HR was nice and the interview ended very smoothly. The second round was the user interview, the user was very rude but he explained about the job description really nice.",Average Interview,Shopee,239,first call hr hr nice ended smoothly second user user rude explained job description really nice
 Can you tell me more about you?   ,No Offer,0,"It was weird. I felt it was all starting out fine but when I mentioned that I read in some online postings that their team actually is very accommodating and assist their applicants in finding the right position --it started going south. I was told to re apply externally and that a different recruited might be assigned to me instead. I just clarified and said ""oh okey"" , out of respect to the system of the comapny. But it is my first time to experience this. I get an initial interview and asked to re apply externally. I don't know so I just followed the recruiter's instructions and re applied.",Easy Interview,Shopee,600,weird felt starting fine mentioned read online posting team actually accommodating assist applicant finding right position started going south told apply externally different recruited might assigned instead clarified said oh okey respect system comapny first time experience get initial asked apply externally know followed instruction applied
 How to market an existing product   ,No Offer,0,"4 rounds of 1 hour interviews with each individual member of the team. Started with HR thorough questions on background, experience, motivation, relevant internships etc. Interview structure typically first 30 mins on background, next 30 mins on case question.",Average Interview,Shopee,260,hour individual member team started hr thorough background experience motivation relevant internship etc structure typically first min background next min case
" After the test, I feel like it seems like two easy level leetcode problems. But with camera and mic on, I was kind of nervous in the first place. The description of the problem is long, but can be concluded into very short sentence. Finish both but only one get to run correctly, the first one cost me some time.   ",No Offer,1,"It was actually a good experience with Shopee, though I actually do not pass the online test. I actually miss the first test but was contacted by the HR team friendly.",Average Interview,Shopee,167,actually good experience shopee though actually not pas online test actually miss first test contacted hr team friendly
 why did i leave my previous job   ,No Offer,0,1st stage . Brief and short. just summary of the Resume . standard questions on why i left my previous job. and what i did in my previous jobs. the caller was kind to answer my questions on how was it like working for the company. quick 15 minute call .,Average Interview,Shopee,253,st stage brief short summary resume standard left previous job previous job caller kind answer like working company quick minute call
 How to design a dynamic array in Java   ,No Offer,0,One technical round. The interviewer provided a false link at the beginning. The interviewer does not even know Java and he kept asking how to design a dynamic size array in Java without reallocation. This is utterly disgusting.,Easy Interview,Shopee,228,technical provided false link beginning not even know java kept asking design dynamic size array java without reallocation utterly disgusting
 Tell me about yourself   ,No Offer,0,"Bad experience, got 2 stage interview, first is phone and second is video interview. After that, no reply, no update, even email the HR so many time also no reply on application status and didn't get any feedback at all. So dissapointed on Shopee Malaysia. Not professional at all.",Average Interview,Shopee,281,bad experience got stage first second video reply update even email hr many time also reply application status get feedback dissapointed shopee malaysia not professional
 What’s your fav prodyct and why？   ,No Offer,0,3 rounds of interview. The process took 2 weeks. The questions are easy in general. The recruiter is very friendly and she will explain to you how the company views the position.,Average Interview,Shopee,178,took week easy general friendly explain company view position
" Leetcode easy involving arrays, and one medium question involving recursion and data structures   ",No Offer,0,"I interviewed with multiple teams remotely. The recruiter was very friendly. However, one of the hiring managers were extremely rude. He showed up late for the interview even when it was rescheduled. The interview felt like a one-way process where they throw the candidate into the deep end. Furthermore, the hiring manager mocked my solution when it was incorrect and said that it was a complete waste of effort, then acted as if I was wasting his time. It was very disrespectful.",Average Interview,Shopee,481,interviewed multiple team remotely friendly however hiring manager extremely rude showed late even rescheduled felt like way throw candidate deep end furthermore hiring manager mocked solution incorrect said complete waste effort acted wasting time disrespectful
 What's the minimum salary you would take the offer for?   ,Accepted Offer,0,"The interview was a month long process. A recruiter of the specific department you applied for will reach out to you. They can only process one application at a time so you have to choose your best interest. Once you pass the screening, you'll take a skills assessment test according to your job application. Then a final interview with the head of your department.",Average Interview,Shopee,365,month long specific department applied reach application time choose best interest pas screening take skill assessment test according job application final head department
 Code test ask about merge range on a given array   ,No Offer,1,"HR contacted me within a few of my application submission and arranged a code test. The interview process was fast and efficient. I did not recieved an offer as I did not prepared myself well. However, I will still give a try in the future",Average Interview,Shopee,239,hr contacted within application submission arranged code test fast efficient not recieved offer not prepared well however still give try future
 Introduce yourself   ,No Offer,0,"The overall interview process is bad. Arranged a skype interview with the HR and the interview ended within 5 mins, just because I’m not a local. Please be specific before arranging the interview as you are wasting the candidate’s time.",Easy Interview,Shopee,236,overall bad arranged skype hr ended within min not local please specific arranging wasting candidate time
,No Offer,1,"I submitted my application online and was contacted by a recruiter. The first interview was a phone interview with the recruiter. They were pretty quick to respond. Unfortunately, I didn't make it to the next round.",Average Interview,Shopee,215,submitted application online contacted first pretty quick respond unfortunately make next
,No Offer,1,"HR is very nice, only ask some base background and a quick introduction. Then HR ask why I applied this position which is not really match with my previous experience. Finally, ask some technical questions.",Average Interview,Shopee,206,hr nice base background quick introduction hr applied position not really match previous experience finally technical
 To convince brand partner to apply more promotions to their products.   ,No Offer,1,"Situational questions on leadership, competence, and previous job employments. One on one via zoom meeting. Ended the interview with a case study asking how brand partners should be encouraged to apply more promotions to their products.",Average Interview,Shopee,236,situational leadership competence previous job employment via zoom meeting ended case study asking brand partner encouraged apply promotion product
 Situational questions - What will you do if the engineer on the project is not performing at the level that he/she is expected to be?   ,No Offer,0,First round phone screen with the recruiter. Second round 1-1 interview with same level as the position applying for. Final round with manager and skip-level manager. Both second and third round on the same day.,Average Interview,Shopee,211,first screen second level position applying final manager skip level manager second third day
" In your opinion, what is the strength and weakness that Shopee has? How would you recommend for improvement?   ",Accepted Offer,1,"I applied through LinkedIn, then after around 3 days, I was invited by email for joining math test the next day. The test is a general mathematics test you learnt in school. If you pass the test, you will be invited for the HR panel interview session about 1 hour later. The interview regards with your resumé and daily activity. In less than 2 hours later, you will receive Ms. Excel test invitation if you pass the HR interview session. This is a 6 sheets tests, from beginner to advanced level, and you need to finish it within 30 mins. Then, you will accept the user interview invitation within less than a week if you pass the test. This is deeper than the previous interview, the user may ask you things about your organizational challenge, your personality and knowledge in regards to the company and role in the division, as well as commitment and recommendation. However, I did not pass the test, so I was allocated to other users and finally got the offer after 3 days from the interview.",Average Interview,Shopee,998,applied linkedin around day invited email joining math test next day test general mathematics test learnt school pas test invited hr panel session hour later regard resum daily activity le hour later receive excel test invitation pas hr session sheet test beginner advanced level need finish within min accept user invitation within le week pas test deeper previous user may thing organizational challenge personality knowledge regard company role division well commitment recommendation however not pas test allocated user finally got offer day
 Its more about your resume   ,Accepted Offer,1,It was brief. Just basic questions about your previous jobs. Why did you left. What made you decide to apply in their company. After the initial interview you have to wait for another email or call if you ae qualified for the next round.,Average Interview,Shopee,237,brief basic previous job left made decide apply company initial wait another email call ae qualified next
 How do you implement a set?   ,No Offer,1,"Had a non-technical phone screen before moving on to technical interview a few weeks later. For technical interview, topics covered includes databases, operating systems, networking algo and data structures as well as a coding question.",Easy Interview,Shopee,236,non technical screen moving technical week later technical topic covered includes database operating system networking algo data structure well coding
" basic questions about yourself like education, internship etc   ",Declined Offer,0,"The HR is completely unprofessional, maybe she is too young I don't know but at first everything was okay then coming to user interview, she was the one who kept changing the day and time until the day we agreed for user interview, there was nothing happened, no one gives the information nor email and she just messaged me 2 hours later to move the interview to another day, how stupid was it? I Completely wasting my time and I had fully prepared for that user interview and when I was another day (because I had many things to do) she never replied my message and disappeared. Completely worst experience. the initial name of the HR is SA, based at Jakarta office, if there is a senior HR here, you have to look carefully for your employees.",Easy Interview,Shopee,744,hr completely unprofessional maybe young know first everything okay coming user kept changing day time day agreed user nothing happened give information email messaged hour later move another day stupid completely wasting time fully prepared user another day many thing never replied message disappeared completely worst experience initial name hr sa based jakarta office senior hr look carefully employee
,Accepted Offer,1,"You have to pass an online exam before qualifying for the interview. Each interview is around 15-20 min. 1st is a phone interview with a recruiter, then 2 interviews with different hiring manager thru video call.",Easy Interview,Shopee,212,pas online exam qualifying around min st different hiring manager thru video call
 Tell me about your latest eexperience and its workflow?   ,No Offer,1,"The interview is done in a quite serious and last for an hour, the interviewer asked you nicely and urge you to answer in a more detailed answers. Some questions are the usual interview questions but some are analitics questions",Difficult Interview,Shopee,228,done quite serious last hour asked nicely urge answer detailed answer usual analitics
 What is your favourite product in your company?   ,No Offer,0,HR will not ask you things that are already in your resume and asks mostly situation based questions. HR postponed the interview several times as well which was a little unprofessional in my opinion.,Difficult Interview,Shopee,199,hr not thing already resume asks mostly situation based hr postponed several time well little unprofessional opinion
,Accepted Offer,1,"I applied through the company's website, few weeks later I got an invitation for a Math test consisted of 20 multiple choice questions that should be finished within 20 minutes. I did the test at 10 am, then at 12pm I got the invitation for HR interview. The interview took place 1 hour after the invitation was sent (1 pm), few hours later they invited me to attend a user interview for the following day. The offer came to me few hours after the user interview.",Easy Interview,Shopee,463,applied company website week later got invitation math test consisted multiple choice finished within minute test pm got invitation hr took place hour invitation sent pm hour later invited attend user following day offer came hour user
 Network questions were pretty hard   ,No Offer,1,Did the coding test only but before that the recruiters were very friendly and helpful in the whole process. The network and OS questions were pretty hard and you have to study a fair bit for it but the coding questions were manageable,Average Interview,Shopee,235,coding test friendly helpful whole network pretty hard study fair bit coding manageable
 Talk about your previous project.   ,No Offer,0,First-round just a few simple questions about yourself and our previous projects. The second round will be a python test on pandas. It requires you to know about functions in Pandas but not from scratch.,Difficult Interview,Shopee,203,first simple previous project second python test panda requires know function panda not scratch
 Why Shopee.   ,No Offer,0,"Filling up of roles deemed as important to recruiter prioritised over what you initially stated for, resulting in misalignment. Interview with team was not conducted professionally. Interviewer was more keen on digging dirt on decision my job hunt despite clear, objective reasons stated. Questions were asked in relation to best practices and SOPs, as though they were seeking answers on how to do their job (they stated that there were 'relatively new').",Easy Interview,Shopee,456,filling role deemed important prioritised initially stated resulting misalignment team not conducted professionally keen digging dirt decision job hunt despite clear objective reason stated asked relation best practice sop though seeking answer job stated relatively new
" Elaborate on previous experience, projects and skills   ",Declined Offer,0,"Fast processing, from phone screening, to technical test and hiring manager interview. Phone screening will involve background checking and availability. They prefer longer work period as an intern. Background checking will ask about your past projects, internships and skills. It will then followed by an online technical test.",,Shopee,328,fast processing screening technical test hiring manager screening involve background checking availability prefer longer work period intern background checking past project internship skill followed online technical test
,No Offer,1,"The first step is an online assessment regarding reading comprehension and MS Excel. The next would be an interview with HR and, if you pass this phase, you'll move on to your first interview with a hiring manager. The last interview would be with a Senior Relationship Manager (which I have yet to take).",Average Interview,Shopee,305,first step online assessment regarding reading comprehension excel next would hr pas phase move first hiring manager last would senior relationship manager yet take
 Why do you want to be a product manager?   ,No Offer,0,The interview was quick (Around 15 mins). The overall experience was pleasant though the interviewer was not really friendly. This Shopee is based in Shenzhen and the interview was fully conducted in Chinese.,Difficult Interview,Shopee,208,quick around min overall experience pleasant though not really friendly shopee based shenzhen fully conducted chinese
 Some estimation question like how many buses are there in SG   ,Declined Offer,0,"During the salary negotiation phase, HR will keep low-balling you. And I mean LOW-BALL. Felt very insulted by the pay offered during the negotiation phase. Already stated my expected pay at the start but knowing that they couldn’t reach it, they still continued and wasted my time. Very bad experience. If you can’t afford people then don’t continue with the interview and waste people’s time.",Easy Interview,Shopee,393,salary negotiation phase hr keep low balling mean low ball felt insulted pay offered negotiation phase already stated expected pay start knowing reach still continued wasted time bad experience afford people continue waste people time
" We want to determine the success of our sales campaigns, how do you prove we are doing better than our competitor? How do we get the data?   ",No Offer,0,"1 GMAT test for 30 minutes followed by 8 SQL questions on excel format, followed by general interview by HR, and then the user (BI lead). User interview is average, the SQL test and GMAT test are hard. I didn't expect to have any company would expect you to do a GMAT test.",Difficult Interview,Shopee,273,gmat test minute followed sql excel format followed general hr user bi lead user average sql test gmat test hard expect company would expect gmat test
 Favorite/ least favorite shopee feature   ,No Offer,0,"I've interviewed with Shopee 3x over the past 2 years for different roles, and each of those three times have been a poor experience. Rude recruitment team, slow and disorganized, interviews felt more like an interrogation vs a conversation, told me that they are moving me to the case study round only to ghost me for 3+ weeks.",Average Interview,Shopee,328,interviewed shopee past year different role three time poor experience rude recruitment team slow disorganized felt like interrogation conversation told moving case study ghost week
 Why do I want to work in Shopee   ,Declined Offer,1,"The interview process took a lot of time-- around 4-5 weeks in total. Recruiter and hiring managers were not intimidating and really took the time to get to know me, as an applicant.",Easy Interview,Shopee,182,took lot time around week total hiring manager not intimidating really took time get know applicant
 how would you improve shopee’s current product?   ,Accepted Offer,1,had a phone interview with recruiter then a video call interview with department head. most of the questions were standard interview ones. but they put a lot of stress on making sure you put in enough time for their company,Average Interview,Shopee,223,video call department head standard put lot stress making sure put enough time company
 What do you expect to gain from this position?   ,No Offer,1,Basic self introduction of the candidates and afterwards an in-depth study or work experience (past & present) background check along with the job scope that comes with it. Candidates who passes the preliminary interview will be called again for another interview with the Hiring Manager on the next day.,Average Interview,Shopee,304,basic self introduction candidate afterwards depth study work experience past present background check along job scope come candidate pass preliminary called another hiring manager next day
 Mental Math Questions during the interview   ,Accepted Offer,1,"Hr will contact you. You'll take an exam if needed. If exam is okay, you'll be interviewed by hr. If okay, need is team lead and final is the department head.",Easy Interview,Shopee,158,hr contact take exam needed exam okay interviewed hr okay need team lead final department head
 Questions regarding technical support. What would you do when user has reported a problem?   ,No Offer,1,"First stage would be a phone call from the HR to know you better and ask a few questions regarding the job and to test your logic. Next, there is a written test for you to answer their question posted either by a flowchart or in words etc. Finally, the team lead will contact you for next interview to know you better and to see if you are a good fit for the position.",Average Interview,Shopee,368,first stage would call hr know better regarding job test logic next written test answer posted either flowchart word etc finally team lead contact next know better see good fit position
 Why do you want to work with Shopee   ,No Offer,0,It took about 4- weeks. HR will not contact you immediately about the feedback. You'll wait for a week. They also did not inform us that the interview is going to be a video call which left me unprepared.,Average Interview,Shopee,204,took week hr not contact immediately feedback wait week also not inform going video call left unprepared
,No Offer,1,"I applied online and the next 2 weeks I got an email to take a Math Test. After a few hours, I got an email again that said passed Math Test and going to have a phone interview with HR in the next 2 days. The interview went so well",Average Interview,Shopee,231,applied online next week got email take math test hour got email said passed math test going hr next day went well
" Merge two sorted lists, parse arithmetic expressions and evaluate them(includes brackets, eg: ((5*3)+15), some BST space/level questions and some Python syntax questions.   ",No Offer,0,"Online glider.ai assessment, screen and video recorded. Easy leetcode questions along with 6 MCQs testing on Networks, OS, DSA and Databases. Next round is a phone call with HR asking about resume and work experience, then 1.5 hour technical interview with a Senior Software Engineer. I got a leetcode hard question, along with 3-4 logical Data structures/Algo questions - one answer but need to think. Didn't make it to the next round but was told that it would be a system design interview, open ended questions.",Average Interview,Shopee,514,online glider ai assessment screen video recorded easy leetcode along mcqs testing network dsa database next call hr asking resume work experience hour technical senior software engineer got leetcode hard along logical data structure algo answer need think make next told would system design open ended
 Programming fundamentals and code trick question.   ,No Offer,0,"There are in total 4 interviews, 1 HR interview and 3 technical review. I was rejected after the first technical interview. It was a bad experience for me. The interview couldn't speak English very well and was generally uninterested in the discussion, trying to cut short the discussion time and time again.",Average Interview,Shopee,308,total hr technical review rejected first technical bad experience speak english well generally uninterested discussion trying cut short discussion time time
 Coding + Behaviour questions.   ,Declined Offer,0,Arrogant hiring manager claiming a senior data scientist in another well-established company that I’m working for (I have more than 5ys experiences) is equivalent to a data scientist in Shopee and a Sr. Data scientist in shopee is higher than a principal data scientist role in whatever companies. This happened in the final round of negotiations.,Easy Interview,Shopee,347,arrogant hiring manager claiming senior data scientist another well established company working experience equivalent data scientist shopee sr data scientist shopee higher principal data scientist role whatever company happened final negotiation
 Tell me more about your previous experience   ,Accepted Offer,1,"I applied online on Kalibrr and it only took 2 days for them to finally contacted me thru email. You will have three stages of selections; 1) Online Assessment, which the test will relate to your chosen functional, 2) HR Interview, 3) User Interview",Easy Interview,Shopee,249,applied online kalibrr took day finally contacted thru email three stage selection online assessment test relate chosen functional hr user
 What do you see yourself doing in 10 years   ,No Offer,0,"There are 4 stages in the interview, first was the HR interview then you’ll have an excel exam, if you pass both, you’ll have interviews with the supervisors. The process usually takes about 3 weeks before you get to the interview with the supervisors/trainers",Average Interview,Shopee,260,stage first hr excel exam pas supervisor usually take week get supervisor trainer
