question,offer,experience,difficulty,interview,source
" Can't say full details, but it involved implementing a cache with certain constraints and characteristics.   ",No Offer,Negative Experience,,,Apple
,No Offer,Negative Experience,Difficult Interview,,Apple
,No Offer,Negative Experience,Average Interview,,Apple
,No Offer,Neutral Experience,Difficult Interview,Referred and set up a phone call with the hiring manager. After hiring manager a chat with a team member after which again an interview with team member. There was a strong promise to go ahead but denied on the basis of found a better fit for the role.,Apple
,No Offer,Negative Experience,Average Interview,,Apple
" Experience, skills-based and role-related questions.   ",No Offer,Negative Experience,Easy Interview,,Apple
 What would you add to Facetime?   ,No Offer,Positive Experience,Average Interview,"Final interview consisted of 5 45-minute interviews with 1 or 2 people each. Each interview had an introduction, a technical portion (often dealing with multi-threading) and a chance to ask questions",Apple
 Explain the band gap theory   ,Accepted Offer,Positive Experience,Average Interview,,Apple
" The questions were specific to the team I interviewed for, and were all specific to a project I worked on in school, as it closely relates to their work. I was asked to describe my implementation details, and discuss the trade offs of various design decisions along with hypothetical changes.   ",Accepted Offer,Positive Experience,Easy Interview,,Apple
 What products do you use?   ,Accepted Offer,Positive Experience,Average Interview,"If your application is chosen you have to go to a hiring event which can hold 10-30 people in which you have to stand out. From there its an interview with a manager from the store, then the store leader, and then finally the market leader.",Apple
 What do you like about Apple?   ,Accepted Offer,Positive Experience,Easy Interview,The process took a couple of months. Think I received a total of 4 phone calls before I was accepted. I applied through my college at the time and was able to learn about some of Apple's process.,Apple
 LC Hard problem - Word Search 2   ,No Offer,Negative Experience,Difficult Interview,,Apple
 Do you use python   ,No Offer,Negative Experience,Average Interview,"Very unprofessional interview. Phone interview ask 10 + in only 30 minutes. Interviewer shows no respect, no trust during whole process. When I am thinking about the answer, interviewer even ask :are you searching the answer on computer ? Or sth like what’s wrong in your mind? which is very humiliating. Interviewer didn’t show any feedback to the your answer but keep asking more until drives you speechless. Interviewer always likes to ask skill or knowledge not in resume and will be happy if I did not get the answer right. Always hear about his mocking when stuck in question. Totally experience is very awful. Interviewer shows an very bad image of Apple as a company.",Apple
 Dive into the current projects that I’m working on   ,No Offer,Negative Experience,Easy Interview,"Applied online and got an email from the recruiter the next day for my availability. I gave my schedule but the recruiter scheduled a time that was not what I provided, but since it worked for me I accepted. The meeting was scheduled with 3 interviewers. Since I had not spoken to the recruiter, I emailed her and asked her the scope of the interview. But to my surprise I did not hear from the recruiter. Sent another email CCin the recruitment coordinator asking if they are proceeding with the scheduled interview and I got a response from the RC saying that the interview is still on. But, still no response from the recruiter or what to expect for the interview. On the telephonic interview day one of the interviewer called and said that the other 2 won’t be joining. I was asked about my background and some details on my current project. I thought it went well. But it has been 3weeks since then. I haven’t heard from the recruiter. I didn’t bother to ask her either. It’s such a shame that the recruiting team gets away with such antics. I’ve never had an experience where the recruiter not respond to you even before the interview. Well there is first for everything",Apple
 What’s is a time you went above and be young for your customer   ,No Offer,Negative Experience,Average Interview,I received an email asking me to sign up for a phone interview. After the phone interview was asked to attend a virtual get to know Apple after that was invited to interview with a senior manager who turned out to be a thoughtless uncaring person. Who was more interested in what was happening elsewhere,Apple
,Declined Offer,Positive Experience,Average Interview,"went through the first round with the recruiter, going to be in the second round with the hiring manager, the hiring manager will call you. make sure you confirm the phone interview time to the correct time zone",Apple
,No Offer,Positive Experience,Average Interview,,Apple
 Why do I want to work at apple?   ,Accepted Offer,Positive Experience,Average Interview,"I interviewed with 7 people, each on different Facetime. They all asked me the same basic questions about my background. I had a wrap up with the hiring manager and then HR does the hiring.",Apple
 What is the difference between Young's Modulus and stress and strain ratio?   ,Declined Offer,Positive Experience,Easy Interview,"Received phone screening through LinkedIn invitation. I exchanged a few emails with the recruiters and figure out a time to chat. After passing the phone screening, the recruiter explained more regarding the role and how the interview process works.",Apple
" In the first round, the interviewer described a memory model consisting of L3 cache and main memory and asked me how will I verify it.   ",No Offer,Positive Experience,Difficult Interview,,Apple
 How do you approach problems in a deadline environment   ,No Offer,Negative Experience,Difficult Interview,,Apple
" What class PA has the highest efficiency? If I have OFDM signal going in, which has high PAPR what class PA should I choose?   ",No Offer,Positive Experience,Average Interview,"I got this interview by reaching out to the hiring manager post's on LinkedIn. It was a 30 mins technical interview. I was asked questions on RF fundamentals, LNA design, PA design and linearity. Also I was asked to explain OFDM and types of PA classes and relation with PAPR. The interviewer said he was impressed and suggested referring me for other RF roles at Apple as he was also looking for someone with strong C/C++, OOP skills and I hadn't done that in a long time.",Apple
" Describe setup and hold time, describe how to fix these issues   ",Declined Offer,Neutral Experience,Easy Interview,Phone screen call. Then a technical phone call. The technical phone was with an engineer on the team and the hiring manager. The phone screen was with an HR representative.,Apple
 Tell me a little about yourself?   ,No Offer,Positive Experience,Difficult Interview,,Apple
 None   ,No Offer,Negative Experience,Average Interview,,Apple
 Role-play   ,No Offer,Positive Experience,Average Interview,,Apple
 Why apple?   ,Accepted Offer,Positive Experience,Average Interview,,Apple
 What were your experiences dealing with difficult customers?   ,Accepted Offer,Positive Experience,Average Interview,"Really good interview process overall. A recruiter reached with a phone call to get a general experience, then scheduled an in-store group interview with a manager. The final interview was one-on-one with a store manager.",Apple
 He was asking me deep technical details about how the app that I developed for other company worked. And some technical leetcode style easy questions.   ,No Offer,Negative Experience,Easy Interview,"Not recommended to accept or apply if you are self-identified as minority (Black, American Native or Latino) #EEOC. Your resume will not pass from the second technical interview, it seems that for the HR your resume doesn't worth anything. It took around one month and a half (a waste of time). It was for an iOS team. At the beginning everything was fine, some of the interviewers where nice. I solved all the technical white board test and answered all the questions they asked, even when the last white interviewer got very interested to ask questions of very old projects that I have done many years ago, and I barely remembered the details of their code base.",Apple
,No Offer,Neutral Experience,Average Interview,"I applied online. The process was relatively quick, since they were actively looking for SRE candidates. The process started with a phone screen with a recruiter. This was followed by multiple interviews over the course of a single day onsite.",Apple
,No Offer,Positive Experience,Average Interview,Phone interview with a senior member of the team in CoderPad. He was very friendly and supportive. He asked me about my background and we moved into the coding interview that lasted 1 hour.,Apple
,Declined Offer,Neutral Experience,Average Interview,,Apple
 Details about my experience   ,No Offer,Neutral Experience,Average Interview,,Apple
,No Offer,Negative Experience,,"Apple sourcer contact me through LinkedIn, make an appointment to have a phone screen, but the sourcer didn't dial to me at the time, and no text message back to me, just disappeared.",Apple
" SQL, Python, Cucumber   ",Declined Offer,Positive Experience,Average Interview,"Friendly and professional I explained my experience and manager followed up with some questions. Manager was interested in my experience with SQL, Python, Cucumber. It was interesting interview with some behavioral questions",Apple
 Basics of VLSI   ,No Offer,Negative Experience,Average Interview,"I got a call from a recruiting manager for this position. The first round was on phone and it was basics of VLSI and some things I had mentioned in my resume. This round was fine. Then I was called for an onsite interview which was not a very good experience for me. Although their recruiting email says that they are interested in your skills and not the current company products you are working on, I was asked multiple questions by several people about my current company projects (most of them confidential) that I was not even involved with. Some people asked me questions on my resume tasks and noted down my answers which gave me a feeling of free consultancy with a job candidate! It is not quite ethical and I did not hear back from them and was totally not comfortable with the whole process anyway. It was disappointing considering they are such a big organization.",Apple
 What project did you work on recently that didn't go as planned?   ,No Offer,Negative Experience,Easy Interview,Did not hear anything back. Interviewer talked almost the whole time. Recruiter was very engaged and then no word. I'm not impressed and could have at least received feedback that I wasn't the right fit.,Apple
 Explain the cases when lack of data can result in both underfitting and overfitting   ,No Offer,Positive Experience,Difficult Interview,Asked about ML questions on overfitting and underfitting. Explain the cases when lack of data can result in both overfitting and underfitting. Ask about Physical Design experiences. The questions are mainly on ML and Physical Design since this team is cross functional,Apple
 Types of hazards. What is TLB.   ,No Offer,Neutral Experience,Average Interview,"Virtual onsite on cisco webex. 6 rounds including a HR round. It was a verification role, which as a college student I had little experience of. So it was tough for me.",Apple
 What is semantics? What does regular expression mean?   ,No Offer,Neutral Experience,Average Interview,"By phone with a recruiter. She asked all about my previous experience in discourse analysis and Python experience. Although she was satisfied with my PhD experiences related to qualitative and quantitative research methods on transcription of English and Turkish, she said that Python experience is a must.",Apple
,No Offer,Positive Experience,Average Interview,"Applied through referral. Had an initial interview with the hiring manager for 45mins -dove deep into technical. I had no hopes of making it to the second round, but they set up a panel interview for me 3 weeks later. Panel started off with a presentation for about 30mins followed by questions on the presentation. Then spoke to 4/9 leads from Product Dev, Operations, EE and Concept Dev stage. They all left great reviews for me with the hiring manager but decided to cancel the interview and not waste my time, because they needed someone to be more hands-on with engineering than what I do in my current role. Hiring manager asked me to take 6-9 months to an year to beef up my technical understanding to show in my resume and presentation. Pretty disappointed. Whomever I spoke to about this role said EPMs needed to have technical background so they can communicate between technical and non-technical teams but no one said I needed to be an engineer more than a manager.",Apple
" RC circuit voltage and current plots, inductive load circuit, buck converter analysis, complex circuit analysis, low pass filter behavior, ADC related calculations.   ",No Offer,Neutral Experience,Difficult Interview,"2 technical ""screenings"" followed by a virtual onsite round with 6 interviewers over a 7 hour period (45 min slots and breaks), completely technical in nature. All questions are drawn from core basics . i.e RC circuits, RL circuits, op-amps, filters, bode plots, DC-DC converter drawings and analysis and some complex circuit analysis. The interviewers were a mixed bunch, a couple very engaged and interested, some extremely disengaged and wanting to get through the round with minimal interaction. Overall there is little emphasis in talking about your past projects, just many problems to solve on the spot. Be prepared with those and you'll likely do well.",Apple
 Design a product and present it with a group.   ,No Offer,Neutral Experience,,,Apple
 standard algo and data structures   ,No Offer,Negative Experience,Average Interview,,Apple
,No Offer,Negative Experience,Average Interview,,Apple
 My previous experience   ,Accepted Offer,Positive Experience,,,Apple
 How are you in the workplace?   ,No Offer,Neutral Experience,Average Interview,,Apple
" Given an array of numbers, return the first non-repeating number   ",No Offer,Positive Experience,Easy Interview,The initial phone screen was just a simple coderpad interview. The team was for Safari. They seemed to be looking specifically for students that have had Mac/iOS development experience. The total time lasted about an hour. It started off with a simple review of what the team was like but we quickly jumped into the technical portion. The last few minutes were left to answer questions.,Apple
 What is process capability and explain a time when you had to use it   ,No Offer,Neutral Experience,Difficult Interview,"Initially, there was a recruiter call, talking about my basic experience, trying to see if there is a match. Then there was first round technical phone screen with probably the team lead, which was purely technical, and then a second round technical phone screen which was more of behavioral.",Apple
 Basic stuff from stress-strain curve   ,No Offer,Positive Experience,Average Interview,Got a phone interview with the HR. Then a couple from the design teams. Was given a one week design challenge on battery door mechanism. About to have another round of interviews. Excited,Apple
 Consider an iPhone being held vertically. Estimate the sustained power to keep temperature not exceed certain value? (Very vague right?!)   ,No Offer,Negative Experience,Difficult Interview,First a call from recruiter. 15 min technical questions. If pass you go to phone interview stage. Then manager called me for 40 min technical interview. Very fundamental questions. Questions not asked clearly. For most of them not all needed input parameters are provided so you should ask what needed,Apple
 How will you verify for a DAC unit   ,No Offer,Neutral Experience,Difficult Interview,"It was a phone interview, I applied it online and they got back to me within 4-5 days. They were sweet and wanted to conform on which team i would prefer. They asked ""tell me about yourself"" and I just answered them. Later a technical team interviewed me for about 35 mins",Apple
 binary search   ,Declined Offer,Negative Experience,Average Interview,"simple to schedule, on time..fast. team was pleasant. Manager was a little odd. didn't get much feedback. was offered a role but poor salary especially for bay area. but low offer seems common in SEG (silicon engineering group). i think a lot of B players/engineers jumping on board because of the apple name",Apple
 Tell us about a time you worked with someone who had differing views than you.   ,No Offer,Positive Experience,Average Interview,"Campus interviews. Interview questions were mainly behavioral, about teamwork and problem solving. Employees were very friendly and food was provided, even though the process was less than an hour. There were many applicants, so despite feeling that it went well, I knew the chances were slim and it really was down to luck.",Apple
,Accepted Offer,Positive Experience,Easy Interview,It was an online interview with 2 managers. They go to know me personally and asked a lot of what if's and role-played. It took about 45 minutes. They were really easy going and down to earth.,Apple
 How to remove duplicates from linked lists?   ,No Offer,Negative Experience,Average Interview,,Apple
 Why Apple?   ,Accepted Offer,Positive Experience,Average Interview,"I had 4 interviews. The first was a phone screening that had a few basic behavioral questions. The second was a small group interview in store that again featured behavioral questions, but these were more focused on your professional experiences rather than your personality or background. That night I was invited to a third in store interview which featured basic questions that were geared toward your experience with technology and Apple products. The final interview was with the flagship leader and again, more behavioral questions that were a bit tougher, but they really just wanted to get to know your story.",Apple
 What's constraints you gave to your design?   ,No Offer,Neutral Experience,Difficult Interview,This is my second round interview. He first asked me about my resume. Then he focused on the flow of synthesis and DC. He asked me more on SDC.,Apple
 Questions on GD&T. Material Properties. Stress & Strain Curves. Beam Bending.   ,No Offer,Negative Experience,Difficult Interview,,Apple
" There is a factory that needs to transport a lot of Apple products(iPhone, iPad, etc.). Workers there hope they can have an app tells them how to load the products into the containers so that the loading rate of each container could be maximized. Briefly tell us how you'll design the app.   ",Declined Offer,Positive Experience,Easy Interview,First round interview(no online assessment whatsoever). Call me through FaceTime. Ask basic questions about my experience and personal information. Ask a simple question about App interface design problem.,Apple
 Q: Redesign the screen display from scratch for the next operating system....and go!   ,Declined Offer,Neutral Experience,Easy Interview,"The interview was informal in the lunch room - the first person I did talk with was precise, inspired, but a little distracted. Great people trying a turn around; they were dealing with an emergency and had to call off the informal interview. I'm hoping to get a real chance now we know how to reconnect.",Apple
 What is your background?   ,Accepted Offer,Positive Experience,,,Apple
,No Offer,Positive Experience,Average Interview,"The interview process took about 4 weeks. I did a phone interview with a manager for about 15 minutes and about a week later, I had an online interview with two managers.",Apple
 What assets do you bring to the team   ,No Offer,Negative Experience,Average Interview,"Initial phone call with the hiring manager, followed by a virtual onsite and then a call week the director of the team (2-3 weeks later). Overall, very unhappy with the process. From the time onsite interview was done, recruiter was telling about getting me an update for about 3 weeks and finally scheduled the interview call with director. After the final call, no response from the recruiter. I had a very good experience with all the interviews and the recruiter mentioned the feedback has been positive as well, but still no update on what happened after that. I feel it is very unprofessional to not provide an update after having spent long hours interviewing with them.",Apple
,No Offer,Positive Experience,Average Interview,"One of the friend help internal referral. Get the first phone interview only for 30 min with HR. HR taught a lot of the way of how communicate and how to answer the question during the next interview. However, in the 2nd phone interview with the hiring manager, nothing was used from previous call. Not hearing anything back after 2nd interview.",Apple
 “Tell me about a time you had to work with a problem you couldn’t control”   ,No Offer,Negative Experience,Difficult Interview,10 hours of FaceTime interviews plus a two week period to prepare and deliver a case study before a panel. The case study was very very broad and was incredibly difficult to properly scope for a 45 min presentation.,Apple
 Case Study questions - Approach & solution   ,No Offer,Negative Experience,Difficult Interview,"Case Study round with hiring manager, involved a lot of analytical approach & thinking. I was given a case study 2 days in advance. Presented approach and solution on the call",Apple
" What's my thought on the e-commerce trends? Give an example that I had to complete a task without receiving clear instructions. What business analytics tools do I use (Excel, SQL, Tableau… etc.)? Rate my proficiency in a scale from 1 to 10. Why this role? Why Apple?   ",No Offer,Positive Experience,Easy Interview,"I had a phone call with the recruiter; and then I interviewed with the hiring manager. They didn't move me to the next round. The hiring manager was looking for someone with a combination of business analytics, finance, and e-commerce experience.",Apple
 Situational questions.   ,Accepted Offer,Positive Experience,,,Apple
,No Offer,Neutral Experience,Difficult Interview,,Apple
 Question about digital circuit power and logic delays.   ,No Offer,Neutral Experience,Difficult Interview,"I had a phone call with the hiring manager for about 50 minutes. I introduced myself and he introduced his team briefly. I asked him a few questions about the position. After that, he started to ask several questions about general digital circuits.",Apple
 Typical product manager questions   ,No Offer,Negative Experience,Average Interview,,Apple
